scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,1.13494,211942
weak,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,1.21443,211942
weak,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.881546,211942
weak,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.994041,211942
weak,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,1.16834,211942
weak,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,1.32645,211942
weak,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,1.09299,211942
weak,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,1.01543,211942
weak,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,1.11986,211942
weak,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,1.18242,211942
weak,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,1.17881,211942
weak,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,1.28302,211942
weak,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,1.09416,211942
weak,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,1.22353,211942
weak,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,1.39553,211942
