scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,4.58077,211494
weak,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,5.79661,211494
weak,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,2.68131,211494
weak,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,4.09293,211494
weak,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,2.51151,211494
weak,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,6.25661,211494
weak,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,5.79347,211494
weak,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,4.05122,211494
weak,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,1.89417,211494
weak,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,1.6094,211494
weak,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,5.21167,211494
weak,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,3.56226,211494
weak,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,1.65544,211494
weak,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,3.48416,211494
weak,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,4.91549,211494
