scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
strong,512,262144,16,16384,BJ,0,4,1,309,9.99903e-09,0.190544,211486
strong,512,262144,16,16384,AS1,1,4,1,291,8.90873e-09,0.201597,211486
strong,512,262144,16,16384,AS2,2,4,1,289,8.49987e-09,0.209221,211486
strong,512,262144,16,16384,BJ,0,4,2,309,9.99903e-09,0.191826,211486
strong,512,262144,16,16384,AS1,1,4,2,291,8.90873e-09,0.201555,211486
strong,512,262144,16,16384,AS2,2,4,2,289,8.49987e-09,0.209904,211486
strong,512,262144,16,16384,BJ,0,4,3,309,9.99903e-09,0.190409,211486
strong,512,262144,16,16384,AS1,1,4,3,291,8.90873e-09,0.201695,211486
strong,512,262144,16,16384,AS2,2,4,3,289,8.49987e-09,0.210705,211486
strong,512,262144,16,16384,BJ,0,4,4,309,9.99903e-09,0.190427,211486
strong,512,262144,16,16384,AS1,1,4,4,291,8.90873e-09,0.201214,211486
strong,512,262144,16,16384,AS2,2,4,4,289,8.49987e-09,0.210597,211486
strong,512,262144,16,16384,BJ,0,4,5,309,9.99903e-09,0.190449,211486
strong,512,262144,16,16384,AS1,1,4,5,291,8.90873e-09,0.201331,211486
strong,512,262144,16,16384,AS2,2,4,5,289,8.49987e-09,0.209449,211486
strong,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,1.38895,211486
strong,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,1.6429,211486
strong,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,1.68001,211486
strong,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,1.38604,211486
strong,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,1.6475,211486
strong,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,1.6683,211486
strong,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,1.38987,211486
strong,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,1.64598,211486
strong,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,1.67012,211486
strong,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,1.38672,211486
strong,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,1.64671,211486
strong,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,1.67328,211486
strong,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,1.3886,211486
strong,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,1.64723,211486
strong,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,1.66839,211486
strong,2048,4194304,16,262144,BJ,0,4,1,1079,9.60647e-09,11.5489,211486
strong,2048,4194304,16,262144,AS1,1,4,1,1066,9.85554e-09,14.9367,211486
strong,2048,4194304,16,262144,AS2,2,4,1,1036,8.97052e-09,14.7072,211486
strong,2048,4194304,16,262144,BJ,0,4,2,1079,9.60647e-09,11.5464,211486
strong,2048,4194304,16,262144,AS1,1,4,2,1066,9.85554e-09,14.9774,211486
strong,2048,4194304,16,262144,AS2,2,4,2,1036,8.97052e-09,14.678,211486
strong,2048,4194304,16,262144,BJ,0,4,3,1079,9.60647e-09,11.5686,211486
strong,2048,4194304,16,262144,AS1,1,4,3,1066,9.85554e-09,14.9646,211486
strong,2048,4194304,16,262144,AS2,2,4,3,1036,8.97052e-09,14.6562,211486
strong,2048,4194304,16,262144,BJ,0,4,4,1079,9.60647e-09,11.5461,211486
strong,2048,4194304,16,262144,AS1,1,4,4,1066,9.85554e-09,14.9147,211486
strong,2048,4194304,16,262144,AS2,2,4,4,1036,8.97052e-09,14.7243,211486
strong,2048,4194304,16,262144,BJ,0,4,5,1079,9.60647e-09,11.544,211486
strong,2048,4194304,16,262144,AS1,1,4,5,1066,9.85554e-09,14.9879,211486
strong,2048,4194304,16,262144,AS2,2,4,5,1036,8.97052e-09,14.7234,211486
