scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,1.40537,211947
weak,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,1.66014,211947
weak,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,1.67935,211947
weak,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,1.4121,211947
weak,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,1.64639,211947
weak,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,1.67338,211947
weak,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,1.40568,211947
weak,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,1.64346,211947
weak,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,1.67877,211947
weak,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,1.39306,211947
weak,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,1.64769,211947
weak,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,1.67448,211947
weak,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,1.40237,211947
weak,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,1.64859,211947
weak,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,1.67437,211947
