scaling,n,p,method,overlap,local_unknowns,avg_iterations,avg_runtime,std_runtime
strong,512,1,AS,1,262144,201.0,2.8400659999999998,0.14615150556870765
strong,512,1,AS,2,262144,201.0,2.84191,0.11371493415554537
strong,512,1,BJ,0,262144,201.0,2.42921,0.09449705789070896
strong,512,2,AS,1,131072,310.0,2.470472,0.05347294334520971
strong,512,2,AS,2,131072,322.0,2.5616779999999997,0.06538743396096852
strong,512,2,BJ,0,131072,335.0,2.27555,0.050091736843515415
strong,512,4,AS,1,65536,288.0,1.213064,0.11332889141785515
strong,512,4,AS,2,65536,292.0,1.1534004,0.247483926651409
strong,512,4,BJ,0,65536,299.0,1.097718,0.10867640668516791
strong,512,8,AS,1,32768,281.0,0.3699782,0.0008095286900413065
strong,512,8,AS,2,32768,281.0,0.3812974,0.0007374949491352406
strong,512,8,BJ,0,32768,289.0,0.3497336,0.0006924054448081773
strong,512,16,AS,1,16384,291.0,0.2014784,0.00019904974252683637
strong,512,16,AS,2,16384,289.0,0.2099752,0.0006652098916883425
strong,512,16,BJ,0,16384,309.0,0.190731,0.000614332564658592
strong,512,32,AS,1,8192,295.0,0.1234888,0.0004087440519444922
strong,512,32,AS,2,8192,294.0,0.1345418,0.0004535060087804791
strong,512,32,BJ,0,8192,324.0,0.1154006,0.00038366951924801416
strong,1024,1,AS,1,1048576,383.0,22.08732,0.4643580913476151
strong,1024,1,AS,2,1048576,383.0,22.14278,0.41205413115269074
strong,1024,1,BJ,0,1048576,383.0,19.056779999999996,0.4398179475646709
strong,1024,2,AS,1,524288,618.0,19.72098,0.09129327467015359
strong,1024,2,AS,2,524288,583.0,18.50284,0.2084018785903816
strong,1024,2,BJ,0,524288,628.0,17.122059999999998,0.10061524735347083
strong,1024,4,AS,1,262144,553.0,9.476560000000001,0.6201914791014141
strong,1024,4,AS,2,262144,578.0,9.597718,1.0633750592429743
strong,1024,4,BJ,0,262144,577.0,8.413274,0.25723123921872293
strong,1024,8,AS,1,131072,538.0,3.110932,0.0014666185598172224
strong,1024,8,AS,2,131072,572.0,3.3528980000000006,0.0031681808660491665
strong,1024,8,BJ,0,131072,579.0,2.818974,0.004017764303689414
strong,1024,16,AS,1,65536,556.0,1.6460639999999997,0.0018612442075128081
strong,1024,16,AS,2,65536,551.0,1.6720199999999998,0.004900331621431288
strong,1024,16,BJ,0,65536,571.0,1.388036,0.001599446779358412
strong,1024,32,AS,1,32768,562.0,0.8615942000000001,0.004279609993913012
strong,1024,32,AS,2,32768,571.0,0.9169274,0.002536859042201603
strong,1024,32,BJ,0,32768,596.0,0.8208994000000001,0.0006047001736398128
strong,1024,64,AS,1,16384,567.0,0.6369362,0.017082302046269992
strong,1024,64,AS,2,16384,566.0,0.6891700000000001,0.014424434131015306
strong,1024,64,BJ,0,16384,636.0,0.6354188,0.011241623201299733
strong,2048,1,AS,1,4194304,764.0,187.9488,0.38649411379734766
strong,2048,1,AS,2,4194304,764.0,188.77100000000002,0.5021010854399852
strong,2048,1,BJ,0,4194304,764.0,164.6508,1.2860214617182655
strong,2048,2,AS,1,2097152,1150.0,153.17739999999998,0.3939540582352295
strong,2048,2,AS,2,2097152,1112.0,147.87359999999998,0.7896893693092264
strong,2048,2,BJ,0,2097152,1215.0,139.717,0.16854227956212914
strong,2048,4,AS,1,1048576,1069.0,72.30674,0.6517949317078152
strong,2048,4,AS,2,1048576,1115.0,76.18769999999999,0.4543957086064995
strong,2048,4,BJ,0,1048576,1146.0,67.65074,0.9814129166665765
strong,2048,8,AS,1,524288,1066.0,27.940019999999997,0.06646263611985352
strong,2048,8,AS,2,524288,1106.0,29.1784,0.06960585463881602
strong,2048,8,BJ,0,524288,1110.0,23.7795,0.03290417906588697
strong,2048,16,AS,1,262144,1066.0,14.95626,0.03011383403022593
strong,2048,16,AS,2,262144,1036.0,14.697820000000002,0.02986874620736489
strong,2048,16,BJ,0,262144,1079.0,11.550799999999999,0.010101237547944349
strong,2048,32,AS,1,131072,1072.0,8.514517999999999,0.002667258892570827
strong,2048,32,AS,2,131072,1101.0,8.999028,0.012606060843895015
strong,2048,32,BJ,0,131072,1102.0,6.261728,0.004771238832839942
strong,2048,64,AS,1,65536,1083.0,5.785738,0.07709520620635248
strong,2048,64,AS,2,65536,1103.0,6.22496,0.06660063625822196
strong,2048,64,BJ,0,65536,1147.0,4.36353,0.060960124671788594
strong,2048,128,AS,1,32768,1101.0,2.378116,0.04119458192529677
strong,2048,128,AS,2,32768,1095.0,2.57377,0.01588232035944366
strong,2048,128,BJ,0,32768,1233.0,2.2544899999999997,0.0404900179056518
weak,256,1,AS,1,65536,102.0,0.321548,0.046790864081570474
weak,256,1,AS,2,65536,102.0,0.3233256,0.04009399034518764
weak,256,1,BJ,0,65536,102.0,0.3016006,0.03596931479469689
weak,362,2,AS,1,65522,226.0,0.8897684,0.03090424977733637
weak,362,2,AS,2,65522,228.0,0.9021039999999999,0.013205143410807738
weak,362,2,BJ,0,65522,239.0,0.8089856000000001,0.0313733832778679
weak,512,4,AS,1,65536,288.0,0.8056000000000001,0.0008923275743806316
weak,512,4,AS,2,65536,292.0,0.827443,0.0012138002306805121
weak,512,4,BJ,0,65536,299.0,0.7192964,0.002567131726265672
weak,724,8,AS,1,65884,454.0,1.297334,0.0013730731954269915
weak,724,8,AS,2,65884,449.0,1.305198,0.0011153788594016345
weak,724,8,BJ,0,65884,462.0,1.1228639999999999,0.004397542495530925
weak,1024,16,AS,1,65536,556.0,1.6492539999999998,0.006386801233794547
weak,1024,16,AS,2,65536,551.0,1.67607,0.002770496345422621
weak,1024,16,BJ,0,65536,571.0,1.403716,0.006932649565642332
weak,1448,32,AS,1,66608,959.0,3.09831,0.013252405442031828
weak,1448,32,AS,2,66608,960.0,3.22331,0.004424098778282322
weak,1448,32,BJ,0,66608,1025.0,2.604524,0.003485696487073855
weak,2048,64,AS,1,65536,1083.0,5.695822,0.030996854195223984
weak,2048,64,AS,2,65536,1103.0,6.094564,0.018912587871573645
weak,2048,64,BJ,0,65536,1147.0,4.06141,0.010808306990458857
weak,2896,128,AS,1,66608,1900.0,10.45736,0.07646193824380859
weak,2896,128,AS,2,66608,1909.0,11.35484,0.22779381686077405
weak,2896,128,BJ,0,66608,2135.0,7.794002000000001,0.05058155661898902
