scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,32,8192,BJ,0,4,1,324,9.77187e-09,0.153589,0.015329,0.00510598,0.114452,0.0148819,0.00634175,213293
strong,512,262144,32,8192,AS1,1,4,1,295,7.55314e-09,0.157799,0.014139,0.00292151,0.129532,0.00845838,0.00490454,213293
strong,512,262144,32,8192,AS2,2,4,1,294,8.03923e-09,0.181615,0.0151843,0.004172,0.144515,0.0179878,0.00604713,213293
strong,512,262144,32,8192,AS1,1,4,2,295,7.55314e-09,0.164562,0.013784,0.00373694,0.130556,0.0143635,0.00577033,213293
strong,512,262144,32,8192,AS2,2,4,2,294,8.03923e-09,0.181548,0.0129851,0.00389555,0.145065,0.0177318,0.00564709,213293
strong,512,262144,32,8192,BJ,0,4,2,324,9.77187e-09,0.148316,0.0165207,0.00501186,0.114591,0.0105403,0.00631532,213293
strong,512,262144,32,8192,AS2,2,4,3,294,8.03923e-09,0.17117,0.0138007,0.00378281,0.143747,0.00838364,0.00571035,213293
strong,512,262144,32,8192,BJ,0,4,3,324,9.77187e-09,0.149491,0.0149606,0.00543396,0.114433,0.0112062,0.00635679,213293
strong,512,262144,32,8192,AS1,1,4,3,295,7.55314e-09,0.158466,0.0150639,0.00362279,0.129651,0.00930326,0.00565496,213293
strong,1024,1048576,32,32768,BJ,0,4,1,596,8.20908e-09,1.04769,0.0840753,0.0142279,0.840954,0.0517292,0.0484793,213293
strong,1024,1048576,32,32768,AS1,1,4,1,562,8.79959e-09,1.10082,0.0786041,0.0106872,0.917097,0.0423378,0.0420105,213293
strong,1024,1048576,32,32768,AS2,2,4,1,571,9.77984e-09,1.17932,0.0820503,0.00773626,0.991291,0.0456655,0.0423656,213293
strong,1024,1048576,32,32768,AS1,1,4,2,562,8.79959e-09,1.10348,0.0830955,0.0093512,0.91987,0.043848,0.0398079,213293
strong,1024,1048576,32,32768,AS2,2,4,2,571,9.77984e-09,1.18196,0.0861895,0.00967821,0.990095,0.047197,0.0414997,213293
strong,1024,1048576,32,32768,BJ,0,4,2,596,8.20908e-09,1.03577,0.082111,0.00873102,0.838901,0.0387874,0.0400417,213293
strong,1024,1048576,32,32768,AS2,2,4,3,571,9.77984e-09,1.17373,0.0784139,0.00797332,0.99033,0.0425207,0.0403492,213293
strong,1024,1048576,32,32768,BJ,0,4,3,596,8.20908e-09,1.04072,0.0865814,0.010648,0.839058,0.043637,0.0427047,213293
strong,1024,1048576,32,32768,AS1,1,4,3,562,8.79959e-09,1.10291,0.0767301,0.00918811,0.917302,0.0466849,0.0402454,213293
