scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
critical,1024,1048576,64,16384,BJ,0,4,1,636,9.97962e-09,0.582573,0.0397598,0.0072784,0.452325,0.0441457,0.0200258,213717
critical,1024,1048576,64,16384,AS1,1,4,1,567,8.98817e-09,0.608937,0.0362076,0.0072654,0.490265,0.0389008,0.0198235,213717
critical,1024,1048576,64,16384,AS2,2,4,1,566,8.47533e-09,0.697654,0.0339661,0.00515951,0.557436,0.0645697,0.0180866,213717
critical,1024,1048576,64,16384,BJ,0,4,2,636,9.97962e-09,0.582002,0.0464147,0.00510636,0.451258,0.036018,0.0220064,213717
critical,1024,1048576,64,16384,AS1,1,4,2,567,8.98817e-09,0.607738,0.0370469,0.00843923,0.487341,0.039931,0.0197003,213717
critical,1024,1048576,64,16384,AS2,2,4,2,566,8.47533e-09,0.674884,0.031582,0.00317054,0.536838,0.0633273,0.0196082,213717
critical,1024,1048576,64,16384,BJ,0,4,3,636,9.97962e-09,0.579018,0.0374298,0.0051154,0.451719,0.0417955,0.0218024,213717
critical,1024,1048576,64,16384,AS1,1,4,3,567,8.98817e-09,0.607191,0.036242,0.00717563,0.494505,0.0327884,0.018874,213717
critical,1024,1048576,64,16384,AS2,2,4,3,566,8.47533e-09,0.815281,0.0315744,0.00306116,0.539873,0.201032,0.0194628,213717
critical,1024,1048576,64,16384,BJ,0,4,4,636,9.97962e-09,0.581656,0.0462074,0.0135879,0.454163,0.0341712,0.0203793,213717
critical,1024,1048576,64,16384,AS1,1,4,4,567,8.98817e-09,0.59958,0.0345186,0.00546752,0.49294,0.030394,0.0181531,213717
critical,1024,1048576,64,16384,AS2,2,4,4,566,8.47533e-09,0.656032,0.0364519,0.0037617,0.537713,0.0390083,0.0195082,213717
critical,1024,1048576,64,16384,BJ,0,4,5,636,9.97962e-09,0.593246,0.0400776,0.00745138,0.451422,0.0549026,0.0201172,213717
critical,1024,1048576,64,16384,AS1,1,4,5,567,8.98817e-09,0.613916,0.0342763,0.00530101,0.491878,0.0454423,0.0185196,213717
critical,1024,1048576,64,16384,AS2,2,4,5,566,8.47533e-09,0.662458,0.0334826,0.00493588,0.544675,0.0424192,0.0184015,213717
