n,p,local_unknowns,bj_time,as1_time,as2_time,best_method,best_time
256,1,65536,0.3016006,0.321548,0.3233256,BJ,0.3016006
512,1,262144,2.42921,2.840066,2.84191,BJ,2.42921
1024,1,1048576,19.05678,22.08732,22.14278,BJ,19.05678
2048,1,4194304,164.6508,187.9488,188.771,BJ,164.6508
362,2,65522,0.8089856000000001,0.8897684,0.902104,BJ,0.8089856000000001
512,2,131072,2.27555,2.470472,2.561678,BJ,2.27555
1024,2,524288,17.122059999999998,19.72098,18.50284,BJ,17.122059999999998
2048,2,2097152,139.717,153.17739999999998,147.87359999999998,BJ,139.717
512,4,65536,0.9085072,1.0093320000000001,0.9904217,BJ,0.9085072
1024,4,262144,8.413274,9.47656,9.597718,BJ,8.413274
2048,4,1048576,67.65074,72.30674,76.18769999999999,BJ,67.65074
512,8,32768,0.3497336,0.3699782,0.3812974,BJ,0.3497336
724,8,65884,1.122864,1.297334,1.305198,BJ,1.122864
1024,8,131072,2.818974,3.110932,3.3528980000000006,BJ,2.818974
2048,8,524288,23.7795,27.94002,29.1784,BJ,23.7795
512,16,16384,0.190731,0.2014784,0.2099752,BJ,0.190731
1024,16,65536,1.395876,1.6476589999999995,1.674045,BJ,1.395876
2048,16,262144,11.5508,14.95626,14.697820000000002,BJ,11.5508
512,32,8192,0.1154006,0.1234888,0.1345418,BJ,0.1154006
1024,32,32768,0.8208994000000001,0.8615942000000001,0.9169274,BJ,0.8208994000000001
1448,32,66608,2.604524,3.09831,3.22331,BJ,2.604524
2048,32,131072,6.261728,8.514517999999999,8.999028,BJ,6.261728
1024,64,16384,0.6354188,0.6369362,0.6891700000000001,BJ,0.6354188
2048,64,65536,4.21247,5.74078,6.159762000000001,BJ,4.21247
2048,128,32768,2.25449,2.378116,2.57377,BJ,2.25449
2896,128,66608,7.794002000000001,10.45736,11.35484,BJ,7.794002000000001
