scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,1,262144,BJ,0,4,1,201,9.4415e-09,3.69958,0.252568,0.000268689,3.08757,0.000224226,0.181605,212466
strong,512,262144,1,262144,AS1,1,4,1,201,9.4415e-09,3.21824,0.33025,0.00033122,2.60555,0.000341385,0.13601,212466
strong,512,262144,1,262144,AS2,2,4,1,201,9.4415e-09,4.35326,0.42951,0.000360037,3.52134,0.000299802,0.205035,212466
strong,512,262144,1,262144,BJ,0,4,2,201,9.4415e-09,3.53076,0.260108,0.000289766,2.89325,0.000277538,0.178291,212466
strong,512,262144,1,262144,AS1,1,4,2,201,9.4415e-09,3.04924,0.296773,0.000337042,2.46514,0.000337637,0.149167,212466
strong,512,262144,1,262144,AS2,2,4,2,201,9.4415e-09,3.22666,0.356707,0.000353467,2.58711,0.000355816,0.141852,212466
strong,512,262144,1,262144,BJ,0,4,3,201,9.4415e-09,2.48674,0.186235,0.000284624,2.00927,0.000241393,0.162462,212466
strong,512,262144,1,262144,AS1,1,4,3,201,9.4415e-09,2.86886,0.273911,0.000286349,2.33836,0.00025271,0.126486,212466
strong,512,262144,1,262144,AS2,2,4,3,201,9.4415e-09,3.15876,0.294804,0.000326542,2.54721,0.000301659,0.13822,212466
strong,512,262144,1,262144,BJ,0,4,4,201,9.4415e-09,2.59618,0.17916,0.000252708,2.16597,0.000237517,0.121857,212466
strong,512,262144,1,262144,AS1,1,4,4,201,9.4415e-09,3.01174,0.321906,0.000348065,2.40193,0.000265238,0.130681,212466
strong,512,262144,1,262144,AS2,2,4,4,201,9.4415e-09,2.93795,0.275541,0.000352215,2.40572,0.000306549,0.127247,212466
strong,512,262144,1,262144,BJ,0,4,5,201,9.4415e-09,2.53408,0.174417,0.000250233,2.11021,0.000256338,0.122149,212466
strong,512,262144,1,262144,AS1,1,4,5,201,9.4415e-09,3.19892,0.300195,0.000314829,2.62005,0.000313798,0.147863,212466
strong,512,262144,1,262144,AS2,2,4,5,201,9.4415e-09,3.40677,0.36903,0.000360838,2.75876,0.000329387,0.137323,212466
strong,1024,1048576,1,1048576,BJ,0,4,1,383,9.32925e-09,24.2046,2.56477,0.00136933,18.7426,0.00116169,1.50097,212466
strong,1024,1048576,1,1048576,AS1,1,4,1,383,9.32925e-09,27.1871,2.51673,0.00143298,21.6333,0.00127219,1.4944,212466
strong,1024,1048576,1,1048576,AS2,2,4,1,383,9.32925e-09,26.1028,2.35376,0.00148818,20.6292,0.00124662,1.52315,212466
strong,1024,1048576,1,1048576,BJ,0,4,2,383,9.32925e-09,23.0712,2.2232,0.00119818,18.3068,0.00107506,1.36854,212466
strong,1024,1048576,1,1048576,AS1,1,4,2,383,9.32925e-09,25.921,2.34442,0.00148148,20.2829,0.00123873,1.66226,212466
strong,1024,1048576,1,1048576,AS2,2,4,2,383,9.32925e-09,26.2738,2.37982,0.0124697,20.8649,0.00119368,1.46983,212466
strong,1024,1048576,1,1048576,BJ,0,4,3,383,9.32925e-09,22.9772,2.28889,0.00127806,17.8857,0.00111861,1.45131,212466
strong,1024,1048576,1,1048576,AS1,1,4,3,383,9.32925e-09,27.3973,2.49346,0.00149912,21.7552,0.00137839,1.55114,212466
strong,1024,1048576,1,1048576,AS2,2,4,3,383,9.32925e-09,27.7695,2.41371,0.0014381,22.2167,0.0013585,1.5823,212466
strong,1024,1048576,1,1048576,BJ,0,4,4,383,9.32925e-09,23.0407,2.24463,0.00138773,18.1168,0.0009897,1.40211,212466
strong,1024,1048576,1,1048576,AS1,1,4,4,383,9.32925e-09,27.467,2.41329,0.00152107,21.9678,0.00122495,1.56498,212466
strong,1024,1048576,1,1048576,AS2,2,4,4,383,9.32925e-09,27.8292,2.45262,0.00148026,22.3126,0.00130303,1.53472,212466
strong,1024,1048576,1,1048576,BJ,0,4,5,383,9.32925e-09,22.0179,2.21008,0.00140536,17.3001,0.00102742,1.37543,212466
strong,1024,1048576,1,1048576,AS1,1,4,5,383,9.32925e-09,26.9302,2.40094,0.00142221,21.401,0.00135904,1.53779,212466
strong,1024,1048576,1,1048576,AS2,2,4,5,383,9.32925e-09,26.9304,2.34513,0.00140391,21.5316,0.00111309,1.54979,212466
strong,2048,4194304,1,4194304,BJ,0,4,1,764,9.63899e-09,207.136,22.5554,0.00447366,153.738,0.00314805,15.1317,212466
strong,2048,4194304,1,4194304,AS1,1,4,1,764,9.63899e-09,237.594,22.5248,0.00464241,184.085,0.00392922,15.1996,212466
strong,2048,4194304,1,4194304,AS2,2,4,1,764,9.63899e-09,236.855,22.4635,0.0155383,183.518,0.00385734,15.3477,212466
strong,2048,4194304,1,4194304,BJ,0,4,2,764,9.63899e-09,207.798,23.0746,0.00429546,154.443,0.00306547,15.0765,212466
strong,2048,4194304,1,4194304,AS1,1,4,2,764,9.63899e-09,241.252,23.0507,0.00459816,186.896,0.0034294,15.4964,212466
strong,2048,4194304,1,4194304,AS2,2,4,2,764,9.63899e-09,238.888,22.702,0.0155731,184.932,0.0146635,15.5478,212466
strong,2048,4194304,1,4194304,BJ,0,4,3,764,9.63899e-09,205.184,22.5044,0.00456251,151.424,0.00317543,15.5187,212466
strong,2048,4194304,1,4194304,AS1,1,4,3,764,9.63899e-09,235.965,22.2863,0.00473424,182.45,0.00436308,15.5274,212466
strong,2048,4194304,1,4194304,AS2,2,4,3,764,9.63899e-09,242.831,23.7131,0.00451985,187.798,0.00323276,15.4272,212466
strong,2048,4194304,1,4194304,BJ,0,4,4,764,9.63899e-09,209.468,23.4933,0.00444059,154.121,0.00315196,15.9511,212466
strong,2048,4194304,1,4194304,AS1,1,4,4,764,9.63899e-09,243.408,23.1239,0.00455326,187.911,0.00349594,16.2041,212466
strong,2048,4194304,1,4194304,AS2,2,4,4,764,9.63899e-09,243.837,23.6006,0.00467539,188.279,0.0035132,16.0423,212466
strong,2048,4194304,1,4194304,BJ,0,4,5,764,9.63899e-09,212.107,23.559,0.0139032,156.774,0.00269736,15.6247,212466
strong,2048,4194304,1,4194304,AS1,1,4,5,764,9.63899e-09,240.83,22.8753,0.00458008,185.407,0.00378668,16.2911,212466
strong,2048,4194304,1,4194304,AS2,2,4,5,764,9.63899e-09,241.495,22.9438,0.00464971,186.569,0.00358293,15.8956,212466
