scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,2896,8386816,128,66608,BJ,0,4,1,2135,9.62245e-09,20.4401,1.18545,0.657067,6.37696,13.4745,0.345561,212464
weak,2896,8386816,128,66608,AS1,1,4,1,1900,9.50244e-09,20.972,1.51885,0.655254,8.89368,11.8939,0.430799,212464
weak,2896,8386816,128,66608,AS2,2,4,1,1909,9.94903e-09,27.2205,1.5159,0.833308,13.1456,17.9524,0.478033,212464
weak,2896,8386816,128,66608,BJ,0,4,2,2135,9.62245e-09,17.3282,1.14926,0.631244,6.47454,10.3475,0.346005,212464
weak,2896,8386816,128,66608,AS1,1,4,2,1900,9.50244e-09,22.4726,1.59287,0.866666,8.64965,13.4657,0.434609,212464
weak,2896,8386816,128,66608,AS2,2,4,2,1909,9.94903e-09,24.1311,1.46084,0.782777,12.5453,14.6516,0.480306,212464
weak,2896,8386816,128,66608,BJ,0,4,3,2135,9.62245e-09,13.4426,0.88857,0.329136,6.34528,6.45449,0.320265,212464
weak,2896,8386816,128,66608,AS1,1,4,3,1900,9.50244e-09,20.6486,1.43757,0.651927,8.49841,11.5613,0.427754,212464
weak,2896,8386816,128,66608,AS2,2,4,3,1909,9.94903e-09,19.3071,1.16134,0.48138,10.2436,9.8049,0.459714,212464
weak,2896,8386816,128,66608,BJ,0,4,4,2135,9.62245e-09,15.187,1.04703,0.536862,6.45194,8.21166,0.336894,212464
weak,2896,8386816,128,66608,AS1,1,4,4,1900,9.50244e-09,14.5338,1.21863,0.515761,8.34954,5.71206,0.394996,212464
weak,2896,8386816,128,66608,AS2,2,4,4,1909,9.94903e-09,21.125,1.44362,0.754689,11.199,11.6089,0.456453,212464
weak,2896,8386816,128,66608,BJ,0,4,5,2135,9.62245e-09,13.9872,1.00617,0.472968,6.41036,7.01885,0.32228,212464
weak,2896,8386816,128,66608,AS1,1,4,5,1900,9.50244e-09,17.9774,1.40669,0.634902,8.59833,8.87698,0.397825,212464
weak,2896,8386816,128,66608,AS2,2,4,5,1909,9.94903e-09,19.9763,1.23227,0.545091,11.7165,10.8121,0.429632,212464
