scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,2048,4194304,16,262144,BJ,0,4,1,1079,9.60647e-09,11.5628,1.12496,0.022151,8.91138,0.194428,0.756965,216365
strong,2048,4194304,16,262144,AS1,1,4,1,1066,9.85554e-09,14.8795,1.62532,0.0131017,11.3862,0.147346,0.971676,216365
strong,2048,4194304,16,262144,AS2,2,4,1,1036,8.97052e-09,14.6032,1.5831,0.0197309,11.2396,0.0894446,0.951624,216365
strong,2048,4194304,16,262144,BJ,0,4,2,1079,9.60647e-09,11.5427,1.15395,0.0591991,8.91416,0.126373,0.771495,216365
strong,2048,4194304,16,262144,AS1,1,4,2,1066,9.85554e-09,14.8878,1.57592,0.0241526,11.4406,0.280403,0.897235,216365
strong,2048,4194304,16,262144,AS2,2,4,2,1036,8.97052e-09,14.6277,1.5283,0.0508702,11.3015,0.240832,0.880644,216365
strong,2048,4194304,16,262144,BJ,0,4,3,1079,9.60647e-09,11.5583,1.15329,0.041865,8.91179,0.14706,0.76775,216365
strong,2048,4194304,16,262144,AS1,1,4,3,1066,9.85554e-09,14.9483,1.56748,0.0272253,11.3893,0.385706,0.911298,216365
strong,2048,4194304,16,262144,AS2,2,4,3,1036,8.97052e-09,14.6585,1.58967,0.0136391,11.1626,0.225792,0.949932,216365
strong,2048,4194304,16,262144,BJ,0,4,4,1079,9.60647e-09,11.5504,1.13982,0.0192572,8.91011,0.132523,0.785158,216365
strong,2048,4194304,16,262144,AS1,1,4,4,1066,9.85554e-09,14.8559,1.63017,0.013643,11.3098,0.17892,0.98363,216365
strong,2048,4194304,16,262144,AS2,2,4,4,1036,8.97052e-09,14.6254,1.55726,0.0246187,11.2085,0.305225,0.880006,216365
strong,2048,4194304,16,262144,BJ,0,4,5,1079,9.60647e-09,11.5444,1.14284,0.0382218,8.91506,0.155928,0.755605,216365
strong,2048,4194304,16,262144,AS1,1,4,5,1066,9.85554e-09,14.8766,1.63894,0.108237,11.3213,0.312562,0.90779,216365
strong,2048,4194304,16,262144,AS2,2,4,5,1036,8.97052e-09,14.679,1.59103,0.0198184,11.2816,0.128189,0.940843,216365
