grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
256,1,CG,1,470,9.6476e-09,0.158779,216642
256,1,CG,2,470,9.6476e-09,0.152096,216642
256,1,CG,3,470,9.6476e-09,0.156559,216642
256,1,CG,4,470,9.6476e-09,0.154153,216642
256,1,CG,5,470,9.6476e-09,0.151975,216642
362,2,CG,1,663,9.84677e-09,0.224126,216643
362,2,CG,2,663,9.84677e-09,0.236915,216643
362,2,CG,3,663,9.84677e-09,0.239256,216643
362,2,CG,4,663,9.84677e-09,0.226094,216643
362,2,CG,5,663,9.84677e-09,0.231877,216643
512,1,CG,1,941,9.84818e-09,1.34248,216644
512,1,CG,2,941,9.84818e-09,1.34084,216644
512,1,CG,3,941,9.84818e-09,1.34034,216644
512,1,CG,4,941,9.84818e-09,1.34196,216644
512,1,CG,5,941,9.84818e-09,1.33319,216644
512,2,CG,1,941,9.84818e-09,0.69497,216645
512,2,CG,2,941,9.84818e-09,0.681496,216645
512,2,CG,3,941,9.84818e-09,0.692187,216645
512,2,CG,4,941,9.84818e-09,0.679017,216645
512,2,CG,5,941,9.84818e-09,0.685427,216645
512,4,CG,1,941,9.84818e-09,0.322213,216646
512,4,CG,2,941,9.84818e-09,0.329448,216646
512,4,CG,3,941,9.84818e-09,0.327022,216646
512,4,CG,4,941,9.84818e-09,0.322557,216646
512,4,CG,5,941,9.84818e-09,0.327497,216646
512,8,CG,1,941,9.84818e-09,0.169208,216647
512,8,CG,2,941,9.84818e-09,0.171444,216647
512,8,CG,3,941,9.84818e-09,0.167849,216647
512,8,CG,4,941,9.84818e-09,0.169519,216647
512,8,CG,5,941,9.84818e-09,0.169799,216647
512,16,CG,1,941,9.84818e-09,0.091812,216648
512,16,CG,2,941,9.84818e-09,0.0902316,216648
512,16,CG,3,941,9.84818e-09,0.0903344,216648
512,16,CG,4,941,9.84818e-09,0.0902251,216648
512,16,CG,5,941,9.84818e-09,0.092367,216648
512,32,CG,1,941,9.84818e-09,0.0533766,216649
512,32,CG,2,941,9.84818e-09,0.0531537,216649
512,32,CG,3,941,9.84818e-09,0.0538997,216649
512,32,CG,4,941,9.84818e-09,0.0527529,216649
512,32,CG,5,941,9.84818e-09,0.0527874,216649
724,8,CG,1,1336,9.99247e-09,0.455873,216650
724,8,CG,2,1336,9.99247e-09,0.459861,216650
724,8,CG,3,1336,9.99247e-09,0.461023,216650
724,8,CG,4,1336,9.99247e-09,0.455426,216650
724,8,CG,5,1336,9.99247e-09,0.4565,216650
1024,1,CG,1,1898,9.95882e-09,10.8111,216371
1024,1,CG,2,1898,9.95882e-09,10.8058,216371
1024,1,CG,3,1898,9.95882e-09,10.7993,216371
1024,1,CG,4,1898,9.95882e-09,10.8244,216371
1024,1,CG,5,1898,9.95882e-09,10.864,216371
1024,2,CG,1,1898,9.95871e-09,5.47152,216651
1024,2,CG,2,1898,9.95871e-09,5.45312,216651
