grid_size,processes,scaling_sources,methods_present,missing_methods,complete
256,1,weak,AS1;AS2;BJ,CG,no
362,2,weak,AS1;AS2;BJ,CG,no
512,1,strong,AS1;AS2;BJ,CG,no
512,2,strong,AS1;AS2;BJ,CG,no
512,4,strong;weak,AS1;AS2;BJ,CG,no
512,8,strong,AS1;AS2;BJ,CG,no
512,16,strong,AS1;AS2;BJ,CG,no
512,32,strong,AS1;AS2;BJ,CG,no
724,8,weak,AS1;AS2;BJ,CG,no
1024,1,strong,AS1;AS2;BJ;CG,,yes
1024,2,strong,AS1;AS2;BJ,CG,no
1024,4,strong,AS1;AS2;BJ,CG,no
1024,8,strong,AS1;AS2;BJ,CG,no
1024,16,strong;weak,AS1;AS2;BJ,CG,no
1024,32,strong,AS1;AS2;BJ,CG,no
1024,64,strong,AS1;AS2;BJ;CG,,yes
1448,32,weak,AS1;AS2;BJ,CG,no
2048,1,strong,AS1;AS2;BJ,CG,no
2048,2,strong,AS1;AS2;BJ,CG,no
2048,4,strong,AS1;AS2;BJ,CG,no
2048,8,strong,AS1;AS2;BJ,CG,no
2048,16,strong,AS1;AS2;BJ,CG,no
2048,32,strong,AS1;AS2;BJ;CG,,yes
2048,64,strong;weak,AS1;AS2;BJ,CG,no
2048,128,strong,AS1;AS2;BJ,CG,no
2896,128,weak,AS1;AS2;BJ;CG,,yes
