crossover_rank,scaling,grid_size,processes,method,R_T,R_T_ci_lower,R_T_ci_upper,runtime_penalty_pct,ci_lower_runtime_penalty_pct,R_k,R_k_ci_lower,R_k_ci_upper,iteration_change_pct,iteration_reduction_pct,R_C,R_C_ci_lower,R_C_ci_upper,per_iteration_cost_change_pct,decomposition_pattern,runtime_conclusion,screening_RT_le_1_20
1,strong,2048,1,BJ,1.33462265299193,1.32210693239803,1.34814732970093,33.462265299193,32.210693239803,0.199686356508102,0.199686356508102,0.199686356508102,-80.0313643491898,80.0313643491898,6.68359459469521,6.62091770072624,6.75132419297876,568.359459469521,iteration_gain_but_per_iteration_penalty,CG_faster,False
2,strong,512,1,BJ,1.43160203080846,1.42909782816002,1.4352389376028,43.160203080846,42.909782816002,0.213602550478215,0.213602550478215,0.213602550478215,-78.6397449521785,78.6397449521785,6.70217667159581,6.69045301641082,6.71920318549369,570.217667159581,iteration_gain_but_per_iteration_penalty,CG_faster,False
3,strong,2048,1,AS1,1.53622800330551,1.52127026339912,1.55090611284516,53.622800330551,52.127026339912,0.199686356508102,0.199686356508102,0.199686356508102,-80.0313643491898,80.0313643491898,7.69320463435456,7.61829846566102,7.76671045516435,669.320463435456,iteration_gain_but_per_iteration_penalty,CG_faster,False
4,strong,2048,1,AS2,1.54245081772932,1.52745954407237,1.55652120068787,54.245081772932,52.745954407237,0.199686356508102,0.199686356508102,0.199686356508102,-80.0313643491898,80.0313643491898,7.72436757674395,7.64929347594358,7.79482999192645,672.436757674395,iteration_gain_but_per_iteration_penalty,CG_faster,False
5,strong,2048,16,BJ,1.55928167637642,1.5511304550074,1.5662415477426,55.928167637642,55.11304550074,0.282017773131208,0.282017773131208,0.282017773131208,-71.7982226868792,71.7982226868792,5.52901917869896,5.50011596001698,5.55369801822353,452.901917869896,iteration_gain_but_per_iteration_penalty,CG_faster,False
6,strong,2048,8,BJ,1.56255382452512,1.54417393070266,1.58188417293625,56.255382452512,54.417393070266,0.290120230005227,0.290120230005227,0.290120230005227,-70.9879769994773,70.9879769994773,5.3858837230929,5.32253104402556,5.45251247356223,438.58837230929,iteration_gain_but_per_iteration_penalty,CG_faster,False
7,strong,2048,4,BJ,1.57136953190129,1.55625686001491,1.58560326474523,57.136953190129,55.625686001491,0.299529534762154,0.299529534762154,0.299529534762154,-70.0470465237846,70.0470465237846,5.246125505283,5.19567080839184,5.29364580359096,424.6125505283,iteration_gain_but_per_iteration_penalty,CG_faster,False
8,strong,512,1,AS2,1.67397791548051,1.67070307894214,1.67838086866684,67.397791548051,67.070307894214,0.213602550478215,0.213602550478215,0.213602550478215,-78.6397449521785,78.6397449521785,7.83688168391622,7.82155023524651,7.85749451450494,683.688168391622,iteration_gain_but_per_iteration_penalty,CG_faster,False
9,strong,2048,32,BJ,1.70650472996286,1.69851674443379,1.71594263406696,70.650472996286,69.851674443379,0.288029273392577,0.288029273392577,0.288029273392577,-71.1970726607423,71.1970726607423,5.92476143088739,5.89702818893257,5.95752860067168,492.476143088739,iteration_gain_but_per_iteration_penalty,CG_faster,False
10,strong,2048,4,AS1,1.74222752912763,1.72500150075932,1.7582043242962,74.222752912763,72.500150075932,0.279404077365395,0.279404077365395,0.279404077365395,-72.0595922634605,72.0595922634605,6.23551218563358,6.17385944050997,6.29269386787394,523.551218563358,iteration_gain_but_per_iteration_penalty,CG_faster,False
11,strong,2048,4,AS2,1.82524972292409,1.80710902776754,1.84174525558592,82.524972292409,80.710902776754,0.291427077888134,0.291427077888134,0.291427077888134,-70.8572922111866,70.8572922111866,6.26314389229379,6.20089608990009,6.31974650033338,526.314389229379,iteration_gain_but_per_iteration_penalty,CG_faster,False
12,strong,2048,8,AS1,1.84729726699998,1.82550812687433,1.86977998144824,84.729726699998,82.550812687433,0.278619968635651,0.278619968635651,0.278619968635651,-72.1380031364349,72.1380031364349,6.63016823972037,6.55196444035757,6.71086135930672,563.016823972037,iteration_gain_but_per_iteration_penalty,CG_faster,False
13,strong,2048,8,AS2,1.9278616183823,1.905137458993,1.95163375268729,92.78616183823,90.5137458993,0.289074751698902,0.289074751698902,0.289074751698902,-71.0925248301098,71.0925248301098,6.66907644840026,6.590466472068,6.75131169781334,566.907644840026,iteration_gain_but_per_iteration_penalty,CG_faster,False
14,strong,2048,16,AS2,1.97597848916629,1.96545864660682,1.98527301714911,97.597848916629,96.545864660682,0.270778881338212,0.270778881338212,0.270778881338212,-72.9221118661788,72.9221118661788,7.29738774087861,7.25853743428348,7.33171289923987,629.738774087861,iteration_gain_but_per_iteration_penalty,CG_faster,False
15,strong,1024,8,BJ,2.00543382872309,1.97786618082551,2.03601323717129,100.543382872309,97.786618082551,0.305057955742887,0.305057955742887,0.305057955742887,-69.4942044257113,69.4942044257113,6.57394370797311,6.48357514888917,6.67418501580503,557.394370797311,iteration_gain_but_per_iteration_penalty,CG_faster,False
16,strong,2048,16,AS1,2.00984023454584,1.9987144615671,2.01964165258053,100.984023454584,99.87144615671,0.278619968635651,0.278619968635651,0.278619968635651,-72.1380031364349,72.1380031364349,7.21355416263825,7.17362244836373,7.24873261048133,621.355416263825,iteration_gain_but_per_iteration_penalty,CG_faster,False
17,strong,1024,4,BJ,2.01995716391273,2.01157705763557,2.02756645751862,101.995716391273,101.157705763557,0.304004214963119,0.304004214963119,0.304004214963119,-69.5995785036881,69.5995785036881,6.64450380780998,6.61693805093989,6.66953403183769,564.450380780998,iteration_gain_but_per_iteration_penalty,CG_faster,False
18,strong,1024,32,BJ,2.02137439426741,2.01124944246775,2.03215875492412,102.137439426741,101.124944246775,0.314014752370917,0.314014752370917,0.314014752370917,-68.5985247629083,68.5985247629083,6.43719563812004,6.40495208356341,6.47153912222481,543.719563812004,iteration_gain_but_per_iteration_penalty,CG_faster,False
19,weak,1024,16,BJ,2.02733739462223,2.00600140832968,2.0480244220418,102.733739462223,100.600140832968,0.300842992623815,0.300842992623815,0.300842992623815,-69.9157007376185,69.9157007376185,6.73885529771101,6.66793462873859,6.80761883193578,573.885529771101,iteration_gain_but_per_iteration_penalty,CG_faster,False
20,strong,2048,64,BJ,2.03453600107614,1.95039191716788,2.16106467970125,103.453600107614,95.039191716788,0.299790904338735,0.299790904338735,0.299790904338735,-70.0209095661265,70.0209095661265,6.78651677429584,6.50584086755387,7.2085732036068,578.651677429584,iteration_gain_but_per_iteration_penalty,CG_faster,False
21,strong,2048,128,BJ,2.0508010072286,1.99092544073497,2.11285145747358,105.08010072286,99.092544073497,0.322268687924726,0.322268687924726,0.322268687924726,-67.7731312075274,67.7731312075274,6.36363718869151,6.17784325730088,6.55617978612646,536.363718869151,iteration_gain_but_per_iteration_penalty,CG_faster,False
22,strong,512,32,BJ,2.05082296782761,2.03163998727519,2.07017156095186,105.082296782761,103.163998727519,0.344314558979809,0.344314558979809,0.344314558979809,-65.5685441020191,65.5685441020191,5.95624818742525,5.90053465440108,6.01244271251759,495.624818742525,iteration_gain_but_per_iteration_penalty,CG_faster,False
23,strong,512,8,BJ,2.05673734606089,2.04376572693437,2.06920181004622,105.673734606089,104.376572693437,0.307120085015941,0.307120085015941,0.307120085015941,-69.2879914984059,69.2879914984059,6.69685066658581,6.65461435655793,6.73743565139618,569.685066658581,iteration_gain_but_per_iteration_penalty,CG_faster,False
24,weak,256,1,BJ,2.07079587673645,2.02985850470019,2.10894694776663,107.079587673645,102.985850470019,0.217021276595745,0.217021276595745,0.217021276595745,-78.2978723404255,78.2978723404255,9.54190256927579,9.35326958048126,9.71769672010115,854.190256927579,iteration_gain_but_per_iteration_penalty,CG_faster,False
25,strong,1024,64,BJ,2.07976372532392,2.0624465841065,2.09984579084617,107.976372532392,106.24465841065,0.33508956796628,0.33508956796628,0.33508956796628,-66.491043203372,66.491043203372,6.20659048846666,6.15491134690901,6.2665209292862,520.659048846666,iteration_gain_but_per_iteration_penalty,CG_faster,False
26,strong,512,16,BJ,2.10948148021156,2.08834124066063,2.12897060885937,110.948148021156,108.834124066063,0.328374070138151,0.328374070138151,0.328374070138151,-67.1625929861849,67.1625929861849,6.42401965333034,6.35964112447138,6.48337004186624,542.401965333034,iteration_gain_but_per_iteration_penalty,CG_faster,False
27,strong,1024,32,AS1,2.12637190887273,2.11546027113156,2.1378776609964,112.637190887273,111.546027113156,0.296101159114858,0.296101159114858,0.296101159114858,-70.3898840885142,70.3898840885142,7.18123466733174,7.14438362029841,7.22009217183483,618.123466733174,iteration_gain_but_per_iteration_penalty,CG_faster,False
