scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_type,source_file
strong,512,262144,1,262144,AS1,1,4,1,201,9.4415e-09,3.21824,0.33025,0.00033122,2.60555,0.000341385,0.13601,212466,original,timing_strong_p1_212466.csv
strong,512,262144,1,262144,AS1,1,4,2,201,9.4415e-09,3.04924,0.296773,0.000337042,2.46514,0.000337637,0.149167,212466,original,timing_strong_p1_212466.csv
strong,512,262144,1,262144,AS1,1,4,3,201,9.4415e-09,2.86886,0.273911,0.000286349,2.33836,0.00025271,0.126486,212466,original,timing_strong_p1_212466.csv
strong,512,262144,1,262144,AS1,1,4,4,201,9.4415e-09,3.01174,0.321906,0.000348065,2.40193,0.000265238,0.130681,212466,original,timing_strong_p1_212466.csv
strong,512,262144,1,262144,AS1,1,4,5,201,9.4415e-09,3.19892,0.300195,0.000314829,2.62005,0.000313798,0.147863,212466,original,timing_strong_p1_212466.csv
strong,512,262144,1,262144,AS2,2,4,1,201,9.4415e-09,2.24251,0.214671,0.000219615,1.83079,0.00021976,0.0939083,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,AS2,2,4,2,201,9.4415e-09,2.24218,0.216529,0.00021904,1.83068,0.000215245,0.0923418,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,AS2,2,4,3,201,9.4415e-09,2.24715,0.213827,0.000222321,1.83644,0.000217097,0.0942457,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,AS2,2,4,4,201,9.4415e-09,2.24037,0.215811,0.000221339,1.82957,0.000199631,0.0922302,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,AS2,2,4,5,201,9.4415e-09,2.24145,0.215905,0.000217694,1.82956,0.000190898,0.0932903,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,BJ,0,4,1,201,9.4415e-09,1.91913,0.130805,0.000183409,1.59541,0.000147102,0.0920866,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,BJ,0,4,2,201,9.4415e-09,1.91734,0.128673,0.000171452,1.59604,0.000166626,0.0917988,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,BJ,0,4,3,201,9.4415e-09,1.91656,0.129036,0.000166307,1.59575,0.000147623,0.0910063,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,BJ,0,4,4,201,9.4415e-09,1.91792,0.128952,0.00018287,1.59528,0.000179826,0.0931168,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,1,262144,BJ,0,4,5,201,9.4415e-09,1.91908,0.128952,0.000171491,1.59627,0.000177467,0.0930003,216671,full_rerun,full_strong_n512_p1_216671.csv
strong,512,262144,2,131072,AS1,1,4,1,310,8.5658e-09,2.44237,0.243534,0.0303733,1.98038,0.0303866,0.112875,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS1,1,4,2,310,8.5658e-09,2.46528,0.255491,0.0306994,1.97987,0.0320202,0.113142,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS1,1,4,3,310,8.5658e-09,2.42824,0.242902,0.0345318,1.97695,0.0251478,0.0998143,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS1,1,4,4,310,8.5658e-09,2.49605,0.246593,0.0338289,2.01721,0.0333936,0.112209,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS1,1,4,5,310,8.5658e-09,2.55398,0.282687,0.0661793,2.01961,0.0595113,0.115377,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS2,2,4,1,322,7.74869e-09,2.67468,0.290035,0.0691808,2.12809,0.0545476,0.103371,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS2,2,4,2,322,7.74869e-09,2.60216,0.269862,0.0493493,2.09524,0.0433066,0.116615,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS2,2,4,3,322,7.74869e-09,2.56884,0.25045,0.0230001,2.08373,0.0272417,0.117087,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS2,2,4,4,322,7.74869e-09,2.59142,0.260353,0.030416,2.09301,0.0353082,0.123105,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,AS2,2,4,5,322,7.74869e-09,2.6207,0.271663,0.0475498,2.11603,0.0334595,0.113602,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,BJ,0,4,1,335,7.05933e-09,2.29848,0.195175,0.0436256,1.85489,0.0818829,0.118962,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,BJ,0,4,2,335,7.05933e-09,2.26641,0.177725,0.0327451,1.83567,0.0786424,0.110616,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,BJ,0,4,3,335,7.05933e-09,2.27384,0.198015,0.0529259,1.83687,0.0640206,0.117887,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,BJ,0,4,4,335,7.05933e-09,2.27595,0.188527,0.0318004,1.83961,0.0400487,0.109498,212467,original,timing_strong_p2_212467.csv
strong,512,262144,2,131072,BJ,0,4,5,335,7.05933e-09,2.28821,0.197233,0.049445,1.83443,0.083234,0.108785,212467,original,timing_strong_p2_212467.csv
strong,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,0.808537,0.0727686,0.00113528,0.665621,0.00427927,0.0302619,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,0.806405,0.0712208,0.00329497,0.666097,0.00632862,0.027618,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.806652,0.0716697,0.00112621,0.66558,0.00422026,0.0294861,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,0.807393,0.0717653,0.00249028,0.665687,0.00343845,0.0309212,216356,stability_rerun,stability_strong_n512_p4_216356.csv
