scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,1,262144,AS2,2,4,1,201,9.4415e-09,2.24251,0.214671,0.000219615,1.83079,0.00021976,0.0939083,216671
strong,512,262144,1,262144,BJ,0,4,1,201,9.4415e-09,1.91913,0.130805,0.000183409,1.59541,0.000147102,0.0920866,216671
strong,512,262144,1,262144,AS2,2,4,2,201,9.4415e-09,2.24218,0.216529,0.00021904,1.83068,0.000215245,0.0923418,216671
strong,512,262144,1,262144,BJ,0,4,2,201,9.4415e-09,1.91734,0.128673,0.000171452,1.59604,0.000166626,0.0917988,216671
strong,512,262144,1,262144,AS2,2,4,3,201,9.4415e-09,2.24715,0.213827,0.000222321,1.83644,0.000217097,0.0942457,216671
strong,512,262144,1,262144,BJ,0,4,3,201,9.4415e-09,1.91656,0.129036,0.000166307,1.59575,0.000147623,0.0910063,216671
strong,512,262144,1,262144,AS2,2,4,4,201,9.4415e-09,2.24037,0.215811,0.000221339,1.82957,0.000199631,0.0922302,216671
strong,512,262144,1,262144,BJ,0,4,4,201,9.4415e-09,1.91792,0.128952,0.00018287,1.59528,0.000179826,0.0931168,216671
strong,512,262144,1,262144,AS2,2,4,5,201,9.4415e-09,2.24145,0.215905,0.000217694,1.82956,0.000190898,0.0932903,216671
strong,512,262144,1,262144,BJ,0,4,5,201,9.4415e-09,1.91908,0.128952,0.000171491,1.59627,0.000177467,0.0930003,216671
