scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,1448,2096704,32,66608,AS1,1,4,1,959,9.15483e-09,3.08841,0.272209,0.00568438,2.53233,0.0605314,0.102676,216673
weak,1448,2096704,32,66608,AS2,2,4,1,960,9.97051e-09,3.20136,0.265246,0.0139423,2.59057,0.135049,0.0939103,216673
weak,1448,2096704,32,66608,BJ,0,4,1,1025,9.50055e-09,2.59941,0.165177,0.0100103,2.10136,0.110538,0.0980432,216673
weak,1448,2096704,32,66608,AS1,1,4,2,959,9.15483e-09,3.07946,0.266508,0.013771,2.46181,0.140844,0.0935791,216673
weak,1448,2096704,32,66608,AS2,2,4,2,960,9.97051e-09,3.20922,0.265099,0.0145042,2.58934,0.143823,0.0943207,216673
weak,1448,2096704,32,66608,BJ,0,4,2,1025,9.50055e-09,2.6004,0.16626,0.00946177,2.14679,0.0618434,0.100412,216673
weak,1448,2096704,32,66608,AS1,1,4,3,959,9.15483e-09,3.08225,0.261544,0.0108901,2.49946,0.114484,0.0920358,216673
weak,1448,2096704,32,66608,AS2,2,4,3,960,9.97051e-09,3.20199,0.267142,0.0164009,2.59223,0.133055,0.0931916,216673
weak,1448,2096704,32,66608,BJ,0,4,3,1025,9.50055e-09,2.60172,0.167891,0.0121693,2.14914,0.0570389,0.10072,216673
weak,1448,2096704,32,66608,AS1,1,4,4,959,9.15483e-09,3.07884,0.272099,0.0170058,2.47222,0.123516,0.0941069,216673
weak,1448,2096704,32,66608,AS2,2,4,4,960,9.97051e-09,3.20452,0.263133,0.0139614,2.59175,0.143805,0.0914976,216673
weak,1448,2096704,32,66608,BJ,0,4,4,1025,9.50055e-09,2.59661,0.167819,0.0164125,2.09803,0.110912,0.0967246,216673
weak,1448,2096704,32,66608,AS1,1,4,5,959,9.15483e-09,3.07972,0.267501,0.0112411,2.47006,0.131502,0.0936184,216673
weak,1448,2096704,32,66608,AS2,2,4,5,960,9.97051e-09,3.20155,0.272652,0.0194275,2.58717,0.130635,0.094082,216673
weak,1448,2096704,32,66608,BJ,0,4,5,1025,9.50055e-09,2.60452,0.167847,0.0107034,2.1479,0.0623318,0.10062,216673
