scaling,grid_size,processes,method,runs,iterations,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,cv_pct,repeat_check,residual_check,iteration_limit_check,iteration_consistency_check,timing_nonnegative_check,halo_check,phase_check,quality_check,cv_status,job_ids
strong,512,1,AS1,5,201,9.4415e-09,3.0694000000000004,0.1287448397412494,2.86886,3.21824,4.194462753021746,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212466
strong,512,1,AS2,5,201,9.4415e-09,2.242732,0.0023278865951759,2.24037,2.24715,0.1037969135490104,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216671
strong,512,1,BJ,5,201,9.4415e-09,1.918006,0.000995863444454,1.91656,1.91913,0.051921810695799,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216671
strong,512,2,AS1,5,310,8.5658e-09,2.4771840000000003,0.0447275899641373,2.42824,2.55398,1.8055820627025427,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212467
strong,512,2,AS2,5,322,7.74869e-09,2.61156,0.0357397593724412,2.56884,2.67468,1.3685214726998909,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212467
strong,512,2,BJ,5,335,7.05933e-09,2.280578,0.0113690833403577,2.26641,2.29848,0.4985176275644929,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212467
strong,512,4,AS1,5,288,8.47553e-09,0.8070798,0.0008131237052256,0.806405,0.808537,0.100748860921273,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216356
strong,512,4,AS2,5,292,8.75927e-09,0.82897,0.0010095478195707,0.827149,0.829965,0.1217833962110458,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216356
strong,512,4,BJ,5,299,9.16747e-09,0.7144162000000002,0.0006225571138457,0.713299,0.715153,0.0871420768238176,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216356
strong,512,8,AS1,5,281,9.59095e-09,0.3715984,0.0013066477107468,0.370076,0.373381,0.3516289926831917,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216357
strong,512,8,AS2,5,281,9.7634e-09,0.3813854,0.0007165005512907,0.380884,0.382797,0.1878678500254022,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216357
strong,512,8,BJ,5,289,9.81919e-09,0.3487482,0.0006395305778459,0.347748,0.349595,0.1833788899400661,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216357
strong,512,16,AS1,5,291,8.90873e-09,0.2014622,0.0002219571129745,0.201183,0.201775,0.1101730810914204,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216358
strong,512,16,AS2,5,289,8.49987e-09,0.2106771999999999,0.0004553589353466,0.209909,0.211186,0.2161405863314158,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216358
strong,512,16,BJ,5,309,9.99903e-09,0.1919502,0.000916901390554,0.190944,0.193017,0.4776767049755995,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216358
