scaling,grid_size,processes,selected_source_type,selected_source_file
strong,512,1,original,results/phase5/raw/timing_strong_p1_212466.csv
strong,512,2,original,results/phase5/raw/timing_strong_p2_212467.csv
strong,512,4,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n512_p4_216356.csv
strong,512,8,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n512_p8_216357.csv
strong,512,16,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n512_p16_216358.csv
strong,512,32,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n512_p32_216359.csv
strong,1024,1,original,results/phase5/raw/timing_strong_p1_212466.csv
strong,1024,2,original,results/phase5/raw/timing_strong_p2_212467.csv
strong,1024,4,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n1024_p4_216360.csv
strong,1024,8,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n1024_p8_216361.csv
strong,1024,16,original,results/phase5/raw/timing_strong_p16_212470.csv
strong,1024,32,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n1024_p32_216362.csv
strong,1024,64,critical_rerun,results/phase5/critical_rerun/raw/critical_n1024_p64_213717.csv
strong,2048,1,original,results/phase5/raw/timing_strong_p1_212466.csv
strong,2048,2,critical_rerun,results/phase5/critical_rerun/raw/critical_n2048_p2_213718.csv
strong,2048,4,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n2048_p4_216363.csv
strong,2048,8,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n2048_p8_216364.csv
strong,2048,16,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n2048_p16_216365.csv
strong,2048,32,original,results/phase5/raw/timing_strong_p32_212471.csv
strong,2048,64,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n2048_p64_216366.csv
strong,2048,128,stability_rerun,results/phase5/stability_rerun/raw/stability_strong_n2048_p128_216367.csv
weak,256,1,original,results/phase5/raw/timing_weak_p1_212457.csv
weak,362,2,original,results/phase5/raw/timing_weak_p2_212458.csv
weak,512,4,stability_rerun,results/phase5/stability_rerun/raw/stability_weak_n512_p4_216368.csv
weak,724,8,stability_rerun,results/phase5/stability_rerun/raw/stability_weak_n724_p8_216369.csv
weak,1024,16,stability_rerun,results/phase5/stability_rerun/raw/stability_weak_n1024_p16_216370.csv
weak,1448,32,original,results/phase5/raw/timing_weak_p32_212462.csv
weak,2048,64,original,results/phase5/raw/timing_weak_p64_212463.csv
weak,2896,128,critical_rerun,results/phase5/critical_rerun/raw/critical_n2896_p128_213719.csv
