scaling,grid_size,processes,method,iteration_reduction_pct,time_per_iteration_change_pct,runtime_change_pct
strong,512,1,AS1,0.0,60.030781968356735,60.03078196835673
strong,512,1,AS2,0.0,16.930395421077936,16.930395421077936
strong,512,2,AS1,7.462686567164179,17.380633472120074,8.620884705543947
strong,512,2,AS2,3.8805970149253732,19.136273882055878,14.513075194095514
strong,512,4,AS1,3.678929765886288,17.28538134820195,12.970534542749705
strong,512,4,AS2,2.3411371237458196,18.81625423571729,16.034602798760694
strong,512,8,AS1,2.7681660899653977,9.58557316683027,6.552062490931848
strong,512,8,AS2,2.7681660899653977,12.471791203785667,9.358385218905783
strong,512,16,AS1,5.825242718446602,11.447541800656275,4.955451987025812
strong,512,16,AS2,6.472491909385114,17.35175947939691,9.756176341571884
strong,512,32,AS1,8.950617283950617,16.570855616219422,6.137044465384969
strong,512,32,AS2,9.25925925925926,34.6138923433077,22.149643052260686
strong,1024,1,AS1,0.0,16.989617696745146,16.989617696745164
strong,1024,1,AS2,0.0,16.99230606461101,16.992306064611018
strong,1024,2,AS1,1.5923566878980893,16.545764096998195,14.689939827937717
strong,1024,2,AS2,7.165605095541402,15.526457237113508,7.248287530632443
strong,1024,4,AS1,4.15944540727903,23.752390516295783,18.604977392567722
strong,1024,4,AS2,-0.1733102253032929,24.42050944021879,24.636142905453145
strong,1024,8,AS1,7.081174438687392,21.38204353981276,12.78676929951514
strong,1024,8,AS2,1.2089810017271156,22.75759151599659,21.273475556390416
strong,1024,16,AS1,2.626970227670753,19.376517716596794,16.240532137351703
strong,1024,16,AS2,3.502626970227671,21.12669738792024,16.8840810170649
strong,1024,32,AS1,5.704697986577181,11.558434309586902,5.194362553670862
strong,1024,32,AS2,4.194630872483222,17.816183240171803,12.874229245198142
strong,1024,64,AS1,10.849056603773585,16.737841370023368,4.072886881766106
strong,1024,64,AS2,11.0062893081761,34.9994245606173,20.140997329102817
strong,2048,1,AS1,0.0,15.105794125524511,15.105794125524497
strong,2048,1,AS2,0.0,15.572054338466334,15.572054338466321
strong,2048,2,AS1,5.349794238683128,15.247730777099685,9.082214315773369
strong,2048,2,AS2,8.477366255144032,16.036795262516026,6.199931137380932
strong,2048,4,AS1,6.719022687609075,18.859378780668422,10.873190154044096
strong,2048,4,AS2,2.7050610820244327,19.386085711952894,16.156619170006525
strong,2048,8,AS1,3.963963963963964,23.102699215216617,18.222952579658475
strong,2048,8,AS2,0.36036036036036034,23.82511007071038,23.378893457842956
strong,2048,16,AS1,1.2048192771084338,30.467157546298907,28.895264081885674
strong,2048,16,AS2,3.985171455050973,31.983404380155704,26.723639423393248
strong,2048,32,AS1,2.722323049001815,40.518830045476925,36.69345354696122
strong,2048,32,AS2,0.09074410163339383,127.7437903050145,127.53712624847638
strong,2048,64,AS1,5.579773321708806,42.75925656317628,34.79361365119433
strong,2048,64,AS2,3.8360941586748036,52.20451298752645,46.36580455557251
strong,2048,128,AS1,10.70559610705596,16.481739733313564,4.011675138992897
strong,2048,128,AS2,11.19221411192214,27.533423346022246,13.259609540871345
weak,256,1,AS1,0.0,14.772059736973024,14.772059736973034
weak,256,1,AS2,0.0,15.44077024063466,15.440770240634663
weak,362,2,AS1,5.439330543933054,21.698046810905865,15.078487779350318
weak,362,2,AS2,4.602510460251046,19.957473010276974,14.436417767126144
weak,512,4,AS1,3.678929765886288,17.323704618986998,13.007447927318584
weak,512,4,AS2,2.3411371237458196,18.68472737739501,15.906155164546302
weak,724,8,AS1,1.7316017316017316,18.49702135796451,16.44512488423351
weak,724,8,AS2,2.813852813852814,20.59944393705092,17.205953090337367
weak,1024,16,AS1,2.626970227670753,21.114948644214145,17.933295002071922
weak,1024,16,AS2,3.502626970227671,24.148763144918625,19.800295083800634
weak,1448,32,AS1,6.439024390243903,26.659709527599087,18.504059938504906
weak,1448,32,AS2,6.341463414634147,31.536434980739863,23.19510007952221
weak,2048,64,AS1,5.579773321708806,-57.28045338621483,-59.664107251325774
weak,2048,64,AS2,3.8360941586748036,-54.64803386628581,-56.387777989985395
weak,2896,128,AS1,11.007025761124122,49.32899596239887,32.89231490798962
weak,2896,128,AS2,10.585480093676814,60.43986943830964,43.456538996596294
