scaling,grid_size,processes,method,n_CG,n_M,R_T,R_T_ci_lower,R_T_ci_upper,R_k,R_k_ci_lower,R_k_ci_upper,R_C,R_C_ci_lower,R_C_ci_upper,runtime_conclusion,screening_RT_le_1_20,bootstrap_seed,bootstrap_samples,ci_level
strong,512,1,BJ,5,5,1.43160203080846,1.42909782816002,1.4352389376028,0.213602550478215,0.213602550478215,0.213602550478215,6.70217667159581,6.69045301641082,6.71920318549369,CG_faster,False,20260802,10000,0.95
strong,512,1,AS1,5,5,2.29100392457765,2.20884890376665,2.37110949027298,0.213602550478215,0.213602550478215,0.213602550478215,10.7255457364556,10.3409294449971,11.1005673151586,CG_faster,False,20260802,10000,0.95
strong,512,1,AS2,5,5,1.67397791548051,1.67070307894214,1.67838086866684,0.213602550478215,0.213602550478215,0.213602550478215,7.83688168391622,7.82155023524651,7.85749451450494,CG_faster,False,20260802,10000,0.95
strong,512,2,BJ,5,5,3.32145872953779,3.29185596570629,3.35111451601811,0.356004250797024,0.356004250797024,0.356004250797024,9.32982884923899,9.24667601113318,9.41313062559116,CG_faster,False,20260802,10000,0.95
strong,512,2,AS1,5,5,3.60779785715347,3.54801109607814,3.67425546011523,0.329436769394261,0.329436769394261,0.329436769394261,10.9514122051013,10.7699304561598,11.1531431869949,CG_faster,False,20260802,10000,0.95
strong,512,2,AS2,5,5,3.80350453249646,3.75219580847285,3.86078910979643,0.342189160467588,0.342189160467588,0.342189160467588,11.1152104505564,10.9652678750713,11.282616622107,CG_faster,False,20260802,10000,0.95
strong,512,4,BJ,5,5,2.19316009889872,2.17691505373263,2.20995321651736,0.317747077577046,0.317747077577046,0.317747077577046,6.90221957546386,6.85109386475722,6.95507015633054,CG_faster,False,20260802,10000,0.95
strong,512,4,AS1,5,5,2.47762468710418,2.45923704115822,2.49650604064551,0.30605738575983,0.30605738575983,0.30605738575983,8.09529455057303,8.03521547128434,8.1569867508591,CG_faster,False,20260802,10000,0.95
strong,512,4,AS2,5,5,2.54482460949803,2.525497280956,2.56468138961717,0.310308182784272,0.310308182784272,0.310308182784272,8.20095875869058,8.13867445677944,8.26494927270466,CG_faster,False,20260802,10000,0.95
strong,512,8,BJ,5,5,2.05673734606089,2.04376572693437,2.06920181004622,0.307120085015941,0.307120085015941,0.307120085015941,6.69685066658581,6.65461435655793,6.73743565139618,CG_faster,False,20260802,10000,0.95
strong,512,8,AS1,5,5,2.19149606224914,2.17652633397969,2.2059237862594,0.298618490967056,0.298618490967056,0.298618490967056,7.33878218710476,7.28865224297113,7.38709709206441,CG_faster,False,20260802,10000,0.95
strong,512,8,AS2,5,5,2.24921474984637,2.23512438764493,2.2629094337773,0.298618490967056,0.298618490967056,0.298618490967056,7.53206789895173,7.48488273585012,7.57792803268483,CG_faster,False,20260802,10000,0.95
