scaling,grid_size,processes,n_CG,n_BJ,n_AS1,n_AS2,scaling_uses,cg_reused_across_scaling,complete
strong,512,1,5,5,5,5,1,False,True
strong,512,2,5,5,5,5,1,False,True
strong,512,4,5,5,5,5,2,True,True
strong,512,8,5,5,5,5,1,False,True
strong,512,16,5,5,5,5,1,False,True
strong,512,32,5,5,5,7,1,False,True
strong,1024,1,5,5,5,5,1,False,True
strong,1024,2,5,5,5,5,1,False,True
strong,1024,4,5,5,5,5,1,False,True
strong,1024,8,5,5,5,5,1,False,True
strong,1024,16,5,5,5,5,2,True,True
strong,1024,32,5,5,5,5,1,False,True
strong,1024,64,5,5,5,5,1,False,True
strong,2048,1,5,5,5,5,1,False,True
strong,2048,2,5,5,5,5,1,False,True
strong,2048,4,5,5,5,5,1,False,True
strong,2048,8,5,5,5,5,1,False,True
strong,2048,16,5,5,5,5,1,False,True
strong,2048,32,5,5,5,5,1,False,True
strong,2048,64,5,5,5,5,2,True,True
strong,2048,128,5,5,5,5,1,False,True
weak,256,1,5,5,5,5,1,False,True
weak,362,2,5,5,5,5,1,False,True
weak,512,4,5,5,5,5,2,True,True
weak,724,8,5,5,5,5,1,False,True
weak,1024,16,5,5,5,5,2,True,True
weak,1448,32,5,5,5,5,1,False,True
weak,2048,64,5,5,5,5,2,True,True
weak,2896,128,7,5,5,5,1,False,True
