scaling,grid_size,processes,method,n_CG,n_M,T_CG_mean_s,T_M_mean_s,k_CG_mean,k_M_mean,C_CG_s_per_iter,C_M_s_per_iter,R_T,R_k,R_C,R_k_times_R_C,identity_abs_error,identity_pass,screening_RT_le_1_20
strong,512,1,BJ,5,5,1.339762,1.918006,941.0,201.0,0.0014237640807651434,0.0095423184079602,1.4316020308084572,0.21360255047821466,6.702176671595812,1.4316020308084574,2.220446049250313e-16,True,False
strong,512,1,AS1,5,5,1.339762,3.0694000000000004,941.0,201.0,0.0014237640807651434,0.015270646766169156,2.2910039245776495,0.21360255047821466,10.725545736455562,2.291003924577649,4.440892098500626e-16,True,False
strong,512,1,AS2,5,5,1.339762,2.2427319999999997,941.0,201.0,0.0014237640807651434,0.011157870646766167,1.6739779154805106,0.21360255047821466,7.8368816839162205,1.6739779154805103,2.220446049250313e-16,True,False
strong,512,2,BJ,5,5,0.6866194,2.2805779999999998,941.0,335.0,0.0007296699256110521,0.006807695522388059,3.3214587295377904,0.35600425079702447,9.329828849238988,3.321458729537791,4.440892098500626e-16,True,False
strong,512,2,AS1,5,5,0.6866194,2.4771840000000003,941.0,310.0,0.0007296699256110521,0.00799091612903226,3.607797857153469,0.3294367693942614,10.951412205101336,3.607797857153469,0.0,True,False
strong,512,2,AS2,5,5,0.6866194,2.61156,941.0,322.0,0.0007296699256110521,0.008110434782608695,3.80350453249646,0.3421891604675877,11.115210450556424,3.8035045324964596,4.440892098500626e-16,True,False
strong,512,4,BJ,5,5,0.3257474,0.7144162000000001,941.0,299.0,0.0003461715196599363,0.002389351839464883,2.1931600988987174,0.3177470775770457,6.902219575463856,2.193160098898717,4.440892098500626e-16,True,False
strong,512,4,AS1,5,5,0.3257474,0.8070798,941.0,288.0,0.0003461715196599363,0.0028023604166666667,2.4776246871041794,0.30605738575983,8.09529455057303,2.4776246871041794,0.0,True,False
strong,512,4,AS2,5,5,0.3257474,0.82897,941.0,292.0,0.0003461715196599363,0.0028389383561643836,2.544824609498034,0.310308182784272,8.200958758690582,2.544824609498034,0.0,True,False
strong,512,8,BJ,5,5,0.1695638,0.3487482,941.0,289.0,0.0001801953241232731,0.0012067411764705882,2.056737346060893,0.3071200850159405,6.696850666585814,2.056737346060893,0.0,True,False
strong,512,8,AS1,5,5,0.1695638,0.3715984,941.0,281.0,0.0001801953241232731,0.0013224142348754449,2.191496062249136,0.29861849096705634,7.338782187104758,2.191496062249136,0.0,True,False
strong,512,8,AS2,5,5,0.1695638,0.3813854,941.0,281.0,0.0001801953241232731,0.0013572434163701067,2.2492147498463706,0.29861849096705634,7.532067898951725,2.2492147498463706,0.0,True,False
strong,512,16,BJ,5,5,0.09099402,0.19195020000000002,941.0,309.0,9.669927736450584e-05,0.0006211980582524272,2.109481480211557,0.3283740701381509,6.42401965333034,2.109481480211557,0.0,True,False
strong,512,16,AS1,5,5,0.09099402,0.2014622,941.0,291.0,9.669927736450584e-05,0.0006923099656357389,2.214015822138642,0.30924548352816156,7.159411988427705,2.2140158221386423,4.440892098500626e-16,True,False
strong,512,16,AS2,5,5,0.09099402,0.21067719999999998,941.0,289.0,9.669927736450584e-05,0.0007289868512110726,2.3152862133137977,0.3071200850159405,7.538700092485411,2.315286213313798,4.440892098500626e-16,True,False
strong,512,32,BJ,5,5,0.05319406,0.1090916,941.0,324.0,5.6529287991498406e-05,0.00033670246913580245,2.0508229678276106,0.3443145589798087,5.956248187425252,2.0508229678276106,0.0,True,False
strong,512,32,AS1,5,5,0.05319406,0.1157866,941.0,295.0,5.6529287991498406e-05,0.00039249694915254236,2.176682885269521,0.3134962805526036,6.943249474707183,2.1766828852695204,4.440892098500626e-16,True,False
