scaling,grid_size,processes,method,mean_iterations,mean_total_time,runs,bj_iterations,bj_total_time,iteration_reduction_pct,runtime_change_pct,quadrant
strong,512,1,AS1,201.0,2.24511,10,201.0,1.9255209999999998,0.0,16.59753386226377,right-upper: fewer iterations but slower
strong,512,2,AS1,310.0,1.737997,10,335.0,1.614645,7.462686567164178,7.639574024011453,right-upper: fewer iterations but slower
strong,512,4,AS1,288.0,0.806694,10,299.0,0.7148165,3.678929765886285,12.853298713725847,right-upper: fewer iterations but slower
strong,512,8,AS1,281.0,0.3703344,10,289.0,0.3477764,2.768166089965396,6.486351575322535,right-upper: fewer iterations but slower
strong,512,16,AS1,291.0,0.2021502,10,309.0,0.1925171,5.825242718446599,5.003763302065112,right-upper: fewer iterations but slower
strong,512,32,AS1,295.0,0.1174086,10,324.0,0.10962449999999999,8.950617283950614,7.100693731784435,right-upper: fewer iterations but slower
strong,1024,1,AS1,383.0,17.06468,10,383.0,14.83194,0.0,15.05359379824891,right-upper: fewer iterations but slower
strong,1024,2,AS1,618.0,13.513300000000001,10,628.0,12.14648,1.5923566878980888,11.25280739769876,right-upper: fewer iterations but slower
strong,1024,4,AS1,553.0,6.349165,10,577.0,5.589979,4.159445407279028,13.581195922202948,right-upper: fewer iterations but slower
strong,1024,8,AS1,538.0,3.1080650000000003,10,579.0,2.8159970000000003,7.081174438687388,10.371744003988637,right-upper: fewer iterations but slower
strong,1024,16,AS1,556.0,1.6466239999999999,10,571.0,1.390338,2.626970227670755,18.433359370167523,right-upper: fewer iterations but slower
strong,1024,32,AS1,562.0,0.8094493,10,596.0,0.7682632,5.7046979865771785,5.360936199989785,right-upper: fewer iterations but slower
strong,1024,64,AS1,567.0,0.607625,10,636.0,0.5718483,10.849056603773588,6.256327071357903,right-upper: fewer iterations but slower
strong,2048,1,AS1,764.0,159.1093,10,764.0,136.7896,0.0,16.316810634726608,right-upper: fewer iterations but slower
strong,2048,2,AS1,1150.0,113.83279999999999,10,1215.0,102.44839999999999,5.349794238683126,11.11232581475161,right-upper: fewer iterations but slower
strong,2048,4,AS1,1069.0,53.91884,10,1146.0,48.68491,6.719022687609078,10.750620674866207,right-upper: fewer iterations but slower
strong,2048,8,AS1,1066.0,27.90659,10,1110.0,23.70288,3.963963963963968,17.73501785437044,right-upper: fewer iterations but slower
