grid_size,processes,method,mean_total_time,std_total_time,baseline_total_time,normalised_runtime
256,1,AS1,0.3677042,0.0028239339510689,0.3677042,1.0
362,2,AS1,0.9165486,0.0135613756322874,0.3677042,2.49262477828646
512,4,AS1,0.8078412,0.0035627071392411,0.3677042,2.196986599554751
724,8,AS1,1.297562,0.0025238256675134,0.3677042,3.5288201766528644
1024,16,AS1,1.6450020000000003,0.0022611448427732,0.3677042,4.473710118078609
1448,32,AS1,3.0817360000000003,0.0035337719224647,0.3677042,8.381019308455004
2048,64,AS1,5.63061,0.0175461585539399,0.3677042,15.312879211061501
2896,128,AS1,10.35894,0.0508903370002598,0.3677042,28.17193820467648
256,1,AS2,0.3698466,0.0064605310184225,0.3698466,1.0
362,2,AS2,0.9114348,0.0162956017796213,0.3698466,2.4643590072208315
512,4,AS2,0.8285628,0.0006842211338448,0.3698466,2.240287730102156
724,8,AS2,1.30604,0.0017768849146751,0.3698466,3.5313018965160152
1024,16,AS2,1.6710439999999998,0.0019776814708137,0.3698466,4.5182083598984
1448,32,AS2,3.2037280000000004,0.0029719044399173,0.3698466,8.662315673579263
2048,64,AS2,6.097404,0.0502730634037751,0.3698466,16.486305403375344
2896,128,AS2,11.18242,0.0266454799168642,0.3698466,30.235292145446245
256,1,BJ,0.3203778,0.0044572163689908,0.3203778,1.0
362,2,BJ,0.7964551999999999,0.0090641774784036,0.3203778,2.4859874810302087
512,4,BJ,0.7148566,0.0003780484625018,0.3203778,2.231292555226985
724,8,BJ,1.114312,0.0013862957837344,0.3203778,3.4781186461733617
1024,16,BJ,1.394858,0.0037839101469247,0.3203778,4.353791055435177
1448,32,BJ,2.600532,0.0026066791133546,0.3203778,8.11707927328298
2048,64,BJ,4.116894,0.0562533428695575,0.3203778,12.85012257403603
2896,128,BJ,7.794987999999999,0.0939303383151578,0.3203778,24.330612171005605
256,1,CG,0.1547124,0.0026305513946699,0.1547124,1.0
362,2,CG,0.2316536,0.0058839210939644,0.1547124,1.497317603501723
512,4,CG,0.3257473999999999,0.0028653370203171,0.1547124,2.105502855621139
724,8,CG,0.4577366,0.0022651515269403,0.1547124,2.9586290433087457
1024,16,CG,0.6880246000000001,0.0080742917113515,0.1547124,4.447119946429634
1448,32,CG,1.01127,0.0044549253641335,0.1547124,6.536450859788872
2048,64,CG,2.051772,0.0398894263684,0.1547124,13.261845850752753
2896,128,CG,3.1082185714285715,0.4062691196882245,0.1547124,20.090300269587775
