scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_file,time_per_iteration,preconditioner_time_per_iteration,reduction_time_per_iteration
strong,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,1.94823,0.144126,0.00914496,1.58356,0.132752,0.0790197,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.003411961471103327,0.002773309982486865,0.0002324903677758319
strong,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,2.30248,0.200036,0.0119961,1.91017,0.141374,0.0789692,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004141151079136691,0.0034355575539568345,0.00025426978417266186
strong,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,2.36857,0.203276,0.0130921,1.97136,0.150077,0.078603,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004298675136116152,0.003577785843920145,0.0002723720508166969
strong,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,2.53846,0.20915,0.0509872,1.65729,0.730151,0.0788871,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004445639229422067,0.002902434325744308,0.001278723292469352
strong,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,2.68644,0.213164,0.0248836,2.05393,0.493644,0.0806947,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004831726618705037,0.0036941187050359707,0.0008878489208633094
strong,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,2.64174,0.235294,0.037347,2.03488,0.405038,0.0819028,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004794446460980036,0.0036930671506352083,0.0007350961887477314
strong,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,2.14587,0.217112,0.0586425,1.64217,0.324373,0.0811531,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.0037580910683012256,0.002875954465849387,0.0005680788091068301
strong,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,2.62657,0.227442,0.0303906,2.0003,0.436305,0.099159,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004724046762589928,0.0035976618705035974,0.0007847212230215827
strong,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,2.6358,0.237808,0.0404223,2.03439,0.398763,0.0811556,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004783666061705989,0.0036921778584392017,0.0007237078039927404
strong,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,2.23321,0.177471,0.0423666,1.61512,0.408693,0.0796808,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.003911050788091068,0.0028285814360770574,0.0007157495621716287
strong,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,2.6547,0.229019,0.041364,2.036,0.460997,0.0801933,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004774640287769785,0.0036618705035971226,0.0008291312949640288
strong,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,2.60331,0.224385,0.0366999,2.01272,0.36378,0.0824064,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.00472470054446461,0.0036528493647912884,0.0006602177858439202
strong,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,2.23362,0.166565,0.0237095,1.63435,0.41223,0.0801344,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.0039117688266199655,0.0028622591943957966,0.0007219439579684763
strong,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,2.6318,0.238887,0.0321478,2.02152,0.444191,0.0858321,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004733453237410072,0.003635827338129497,0.0007989046762589928
strong,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,2.724,0.241799,0.0535317,2.08847,0.484263,0.0823181,212470,results/phase5/raw/timing_strong_p16_212470.csv,0.004943738656987296,0.0037903266787658804,0.0008788802177858439
strong,512,262144,1,262144,BJ,0,4,1,201,9.4415e-09,3.69958,0.252568,0.000268689,3.08757,0.000224226,0.181605,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.01840587064676617,0.015361044776119402,1.1155522388059702e-06
