scaling,grid_size,processes,method,repeats,mean_total_time,std_total_time,cv_total_time,min_total_time,max_total_time,status
strong,512,1,BJ,5,2.969468,0.5310452344725447,0.17883514301974116,2.48674,3.69958,PASS
strong,512,1,AS1,5,3.0694000000000004,0.12874483974124948,0.04194462753021746,2.86886,3.21824,PASS
strong,512,1,AS2,5,3.4166799999999995,0.49175055550553265,0.14392643019116005,2.93795,4.35326,PASS
strong,512,2,BJ,5,2.2805779999999998,0.011369083340357761,0.00498517627564493,2.26641,2.29848,PASS
strong,512,2,AS1,5,2.4771840000000003,0.044727589964137365,0.01805582062702543,2.42824,2.55398,PASS
strong,512,2,AS2,5,2.61156,0.03573975937244126,0.013685214726998907,2.56884,2.67468,PASS
strong,512,4,BJ,5,0.7144162000000001,0.0006225571138457989,0.0008714207682381767,0.713299,0.715153,PASS
strong,512,4,AS1,5,0.8070798,0.000813123705225689,0.0010074886092127308,0.806405,0.808537,PASS
strong,512,4,AS2,5,0.82897,0.0010095478195707066,0.0012178339621104583,0.827149,0.829965,PASS
strong,512,8,BJ,5,0.3487482,0.0006395305778459616,0.001833788899400661,0.347748,0.349595,PASS
strong,512,8,AS1,5,0.3715984,0.0013066477107468574,0.003516289926831917,0.370076,0.373381,PASS
strong,512,8,AS2,5,0.3813854,0.0007165005512907805,0.0018786785002540226,0.380884,0.382797,PASS
strong,512,16,BJ,5,0.19195020000000002,0.0009169013905540733,0.004776767049755995,0.190944,0.193017,PASS
strong,512,16,AS1,5,0.2014622,0.0002219571129745596,0.001101730810914204,0.201183,0.201775,PASS
strong,512,16,AS2,5,0.21067719999999998,0.00045535893534660946,0.002161405863314158,0.209909,0.211186,PASS
strong,512,32,BJ,5,0.1090916,0.0008109511945857169,0.007433672203778448,0.108216,0.110461,PASS
strong,512,32,AS1,5,0.1157866,0.0004666920183590045,0.004030622009446728,0.115128,0.116365,PASS
strong,512,32,AS2,5,0.1360428,0.01861570466461047,0.13683711791149897,0.12614,0.173268,PASS
strong,1024,1,BJ,5,23.06232,0.693312112688073,0.030062548463817736,22.0179,24.2046,PASS
strong,1024,1,AS1,5,26.980520000000002,0.5618110693106716,0.020822840675816166,25.921,27.467,PASS
strong,1024,1,AS2,5,26.98114,0.7232016084052915,0.02680396782364613,26.1028,27.8292,PASS
strong,1024,2,BJ,5,17.29374,0.13474406257791063,0.007791493487117919,17.1182,17.4512,PASS
strong,1024,2,AS1,5,19.83418,0.10602277868458339,0.005345458127564809,19.7285,20.0374,PASS
strong,1024,2,AS2,5,18.54724,0.40457462896232227,0.02181319856551823,17.7658,18.8836,PASS
strong,1024,4,BJ,5,5.58887,0.007684719903809112,0.001375004232306193,5.57971,5.60224,PASS
strong,1024,4,AS1,5,6.628677999999999,0.009384042625649094,0.0014156733251561014,6.61397,6.64152,PASS
strong,1024,4,AS2,5,6.965752,0.010196863047035582,0.0014638567446896733,6.9504,6.97893,PASS
strong,1024,8,BJ,5,2.810796,0.002295531311047521,0.0008166837120330046,2.80831,2.81472,PASS
strong,1024,8,AS1,5,3.170206,0.0034209624376774646,0.0010790978370735103,3.16527,3.17579,PASS
strong,1024,8,AS2,5,3.40875,0.003183061419451421,0.0009337913955119681,3.40415,3.41311,PASS
strong,1024,16,BJ,5,2.219878,0.19033176060762963,0.08573973912423549,1.94823,2.53846,PASS
strong,1024,16,AS1,5,2.580398,0.14055470599023004,0.05447016545131023,2.30248,2.68644,PASS
strong,1024,16,AS2,5,2.594684,0.1198577234223978,0.04619357248219737,2.36857,2.724,PASS
strong,1024,32,BJ,5,0.766943,0.002000229286856883,0.0026080546883626068,0.764428,0.770039,PASS
strong,1024,32,AS1,5,0.8067808,0.0024015070601603613,0.002976653708368322,0.80336,0.809754,PASS
strong,1024,32,AS2,5,0.865681,0.012977870472461937,0.014991515896111774,0.85709,0.891423,PASS
strong,1024,64,BJ,5,0.583699,0.004927037730726259,0.008441059057367339,0.579018,0.593246,PASS
strong,1024,64,AS1,5,0.6074724,0.004606620045108996,0.007583258177834904,0.59958,0.613916,PASS
strong,1024,64,AS2,5,0.7012617999999999,0.058754833375306265,0.08378444879687767,0.656032,0.815281,PASS
strong,2048,1,BJ,5,208.33859999999999,2.330938832316283,0.011188223556826643,205.184,212.107,PASS
strong,2048,1,AS1,5,239.8098,2.6743241688321917,0.011151855215392331,235.965,243.408,PASS
strong,2048,1,AS2,5,240.78119999999998,2.5709281125694647,0.010677445384313497,236.855,243.837,PASS
strong,2048,2,BJ,5,130.695,0.9411745852922306,0.007201305216666519,129.069,131.951,PASS
strong,2048,2,AS1,5,142.565,1.662226939981417,0.011659432118552358,140.772,145.402,PASS
strong,2048,2,AS2,5,138.798,3.4397541191195593,0.02478244729116817,136.279,145.599,PASS
strong,2048,4,BJ,5,48.744479999999996,0.04058730836111361,0.0008326544536143089,48.666,48.7751,PASS
strong,2048,4,AS1,5,54.044560000000004,0.11192902393928078,0.0020710507022220328,53.8709,54.1694,PASS
strong,2048,4,AS2,5,56.61994,0.0856479678684795,0.0015126820669269432,56.4993,56.7545,PASS
strong,2048,8,BJ,5,23.69616,0.05512029027499709,0.0023261275360647923,23.5895,23.7453,PASS
strong,2048,8,AS1,5,28.014300000000002,0.0192685235552703,0.0006878102810089954,27.9893,28.0468,PASS
strong,2048,8,AS2,5,29.23606,0.028285798556873732,0.0009674969389470993,29.208,29.2862,PASS
strong,2048,16,BJ,5,11.55172,0.0077813623485862805,0.0006736107132605604,11.5427,11.5628,PASS
strong,2048,16,AS1,5,14.889619999999999,0.031162888184505484,0.0020929270313483814,14.8559,14.9483,PASS
strong,2048,16,AS2,5,14.63876,0.026736686406509072,0.0018264310916026407,14.6032,14.679,PASS
strong,2048,32,BJ,5,10.526616,1.1025336385906777,0.10473770854666661,8.8619,11.901,PASS
strong,2048,32,AS1,5,12.6502,1.7822358934776283,0.140885985476722,10.8095,14.8016,PASS
strong,2048,32,AS2,5,13.36954,1.0905446228375981,0.0815693451560486,11.8329,14.7877,PASS
strong,2048,64,BJ,5,4.174404,0.2540312052169969,0.060854484907784896,4.03825,4.68222,PASS
strong,2048,64,AS1,5,5.62683,0.012987250671331422,0.002308093663986902,5.60782,5.64236,PASS
strong,2048,64,AS2,5,6.1099,0.04095849801933653,0.006703628213119124,6.08029,6.18859,PASS
strong,2048,128,BJ,5,2.267382,0.05439278753658429,0.02398924730662248,2.22623,2.36794,PASS
strong,2048,128,AS1,5,2.358342,0.013725301308168089,0.005819894361448886,2.34319,2.38252,PASS
strong,2048,128,AS2,5,2.568028,0.02396236999964739,0.009331039225291698,2.54796,2.61367,PASS
weak,256,1,BJ,5,0.3203778,0.004457216368990845,0.013912375854353344,0.313166,0.325074,PASS
