scaling,grid_size,processes,local_unknowns,method,iteration_reduction_pct,runtime_change_pct,time_per_iteration_change_pct,preconditioner_time_per_iteration_change_pct
strong,512,1,262144,AS1,0.0,3.3653166156362135,3.3653166156361936,1.3431956087710528
strong,512,1,262144,AS2,0.0,15.06034077484585,15.060340774845859,12.667828117267943
strong,512,2,131072,AS1,7.462686567164179,8.620884705543968,17.38063347212009,17.137549235208095
strong,512,2,131072,AS2,3.8805970149253732,14.513075194095538,19.1362738820559,18.901252120348833
strong,512,4,65536,AS1,3.678929765886288,12.970534542749723,17.285381348201966,15.735691587540757
strong,512,4,65536,AS2,2.3411371237458196,16.034602798760712,18.816254235717288,17.68367076657167
strong,512,8,32768,AS1,2.7681660899653977,6.552062490931848,9.585573166830264,10.129536026873897
strong,512,8,32768,AS2,2.7681660899653977,9.358385218905783,12.471791203785676,14.396687153215403
strong,512,16,16384,AS1,5.825242718446602,4.955451987025797,11.44754180065628,13.621581353255241
strong,512,16,16384,AS2,6.472491909385114,9.75617634157191,17.35175947939698,21.413698782471656
strong,512,32,8192,AS1,8.950617283950617,6.137044465385059,16.570855616219493,23.290860311876994
strong,512,32,8192,AS2,9.25925925925926,24.705110200968722,37.43012144596551,36.477625909741576
strong,1024,1,1048576,AS1,0.0,16.989617696745178,16.989617696745164,18.47020541880646
strong,1024,1,1048576,AS2,0.0,16.992306064611018,16.992306064611018,19.039976978926877
strong,1024,2,524288,AS1,1.5923566878980893,14.689939827937742,16.545764096998216,18.247066541911305
strong,1024,2,524288,AS2,7.165605095541402,7.2482875306324654,15.526457237113544,17.50197070673547
strong,1024,4,262144,AS1,4.15944540727903,18.60497739256771,23.752390516295783,21.66841937464148
strong,1024,4,262144,AS2,-0.1733102253032929,24.636142905453163,24.420509440218808,22.55840921915071
strong,1024,8,131072,AS1,7.081174438687392,12.786769299515157,21.382043539812766,20.036567966861906
strong,1024,8,131072,AS2,1.2089810017271156,21.273475556390437,22.757591515996587,21.914388796786
strong,1024,16,65536,AS1,2.626970227670753,16.240532137351703,19.37651771659681,26.557739875097862
strong,1024,16,65536,AS2,3.502626970227671,16.8840810170649,21.126697387920256,29.23402473204437
strong,1024,32,32768,AS1,5.704697986577181,5.194362553670862,11.558434309586897,14.552527127586812
strong,1024,32,32768,AS2,4.194630872483222,12.874229245198142,17.816183240171803,22.117328358238563
strong,1024,64,16384,AS1,10.849056603773585,4.0728868817661255,16.737841370023343,21.895537450052128
strong,1024,64,16384,AS2,11.0062893081761,20.140997329102838,34.99942456061731,35.013480379532915
strong,2048,1,4194304,AS1,0.0,15.105794125524511,15.105794125524508,20.27890979883191
strong,2048,1,4194304,AS2,0.0,15.572054338466323,15.572054338466312,20.843088903309525
strong,2048,2,2097152,AS1,5.349794238683128,9.082214315773369,15.247730777099665,22.77720474009768
strong,2048,2,2097152,AS2,8.477366255144032,6.199931137380932,16.036795262516023,23.26426950430087
strong,2048,4,1048576,AS1,6.719022687609075,10.873190154044128,18.859378780668436,19.886611114352036
strong,2048,4,1048576,AS2,2.7050610820244327,16.156619170006543,19.386085711952905,20.2291144051312
strong,2048,8,524288,AS1,3.963963963963964,18.22295257965849,23.10269921521664,23.27036958609323
strong,2048,8,524288,AS2,0.36036036036036034,23.378893457842956,23.825110070710398,24.28078466398862
strong,2048,16,262144,AS1,1.2048192771084338,28.89526408188564,30.46715754629887,29.12304860944821
strong,2048,16,262144,AS2,3.985171455050973,26.723639423393227,31.983404380155676,31.335019684079988
strong,2048,32,131072,AS1,2.722323049001815,20.17347265255994,23.536536252911453,31.157082677281256
strong,2048,32,131072,AS2,0.09074410163339383,27.007007760138677,27.122363807150627,35.14149670914768
strong,2048,64,65536,AS1,5.579773321708806,34.79361365119428,42.75925656317621,42.92907569141802
strong,2048,64,65536,AS2,3.8360941586748036,46.365804555572474,52.2045129875264,59.03015673422261
strong,2048,128,32768,AS1,10.70559610705596,4.011675138992897,16.48173973331357,22.499595180784304
strong,2048,128,32768,AS2,11.19221411192214,13.259609540871365,27.533423346022246,35.15455450324198
weak,256,1,65536,AS1,0.0,14.77205973697305,14.772059736973041,13.656543409351784
weak,256,1,65536,AS2,0.0,15.440770240634647,15.440770240634638,14.307732579918664
weak,362,2,65522,AS1,5.439330543933054,15.078487779350304,21.698046810905858,19.632227184870963
weak,362,2,65522,AS2,4.602510460251046,14.436417767126144,19.95747301027697,19.448200247146886
weak,512,4,65536,AS1,3.678929765886288,13.007447927318584,17.32370461898698,16.1827595438103
weak,512,4,65536,AS2,2.3411371237458196,15.906155164546288,18.684727377395017,17.783427625961345
weak,724,8,65884,AS1,1.7316017316017316,16.445124884233493,18.497021357964492,17.154185371472796
weak,724,8,65884,AS2,2.813852813852814,17.205953090337346,20.599443937050932,19.496267071266416
weak,1024,16,65536,AS1,2.626970227670753,17.933295002071922,21.114948644214127,21.041070192737198
weak,1024,16,65536,AS2,3.502626970227671,19.800295083800634,24.14876314491865,24.045417478295604
weak,1448,32,66608,AS1,6.439024390243903,18.48890194398003,26.643508334285237,33.81695826448017
weak,1448,32,66608,AS2,6.341463414634147,26.653609721110154,35.22911454597701,47.02260449459352
weak,2048,64,65536,AS1,5.579773321708806,18.3772435570656,25.372759335137808,57.36689814921612
weak,2048,64,65536,AS2,3.8360941586748036,19.230796845988486,23.98705710095088,62.10118842497374
weak,2896,128,66608,AS1,11.007025761124122,32.89231490798958,49.328995962398835,50.257042318031985
weak,2896,128,66608,AS2,10.585480093676814,43.456538996596265,60.43986943830959,56.11117622251758
