processes,block_height,method,runs,iterations,total_mean,total_sd,prec_mean,prec_sd,total_cv_pct,prec_per_iter_ms,iteration_change_vs_bj_pct,runtime_change_vs_bj_pct
2,256.0,AS1,10,310.0,1.737997,0.006014273854755869,1.4175650000000002,0.0006670373969192756,0.34604627365616103,4.572790322580646,-7.462686567164178,7.639574024011453
2,256.0,BJ,10,335.0,1.614645,0.006383365970325572,1.3364319999999998,0.000574781117759921,0.39534176059292114,3.989349253731343,0.0,0.0
4,128.0,AS1,10,288.0,0.806694,0.001960754729972974,0.6657884000000001,0.0017629230272476815,0.24306053224307778,2.311765277777778,-3.678929765886285,12.853298713725847
4,128.0,BJ,10,299.0,0.7148165,0.001098886936859267,0.597188,0.0007694329802595678,0.15372993444601055,1.9972842809364553,0.0,0.0
8,64.0,AS1,10,281.0,0.3703344,0.0018236643940764386,0.309612,0.0008803128231865493,0.4924372119026584,1.1018220640569396,-2.768166089965396,6.486351575322535
8,64.0,BJ,10,289.0,0.3477764,0.0005715511447903111,0.28899299999999994,0.00020380437243155646,0.16434443072914412,0.9999757785467126,0.0,0.0
16,32.0,AS1,10,291.0,0.2021502,0.0005329871376392593,0.1655132,0.00022844877860135065,0.263658971220043,0.5687738831615121,-5.825242718446599,5.003763302065112
16,32.0,BJ,10,309.0,0.1925171,0.0007910439586043484,0.15512900000000002,8.002499609497059e-05,0.41089542622673436,0.5020355987055016,0.0,0.0
32,16.0,AS1,10,295.0,0.1174086,0.0021057448510628687,0.09213827999999999,0.0009580068485025464,1.7935184058602767,0.31233315254237287,-8.950617283950614,7.100693731784435
32,16.0,BJ,10,324.0,0.10962449999999999,0.001766709386275953,0.08305222999999999,0.0020114411478395823,1.6116008613730994,0.2563340432098765,0.0,0.0
