grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
512,2,CG,1,941,9.84818e-09,0.692909,218967
512,2,CG,2,941,9.84818e-09,0.674331,218967
512,2,CG,3,941,9.84818e-09,0.707287,218967
512,2,CG,4,941,9.84818e-09,0.669149,218967
512,2,CG,5,941,9.84818e-09,0.682138,218967
512,2,CG,6,941,9.84818e-09,0.701297,218967
512,2,CG,7,941,9.84818e-09,0.67351,218967
512,2,CG,8,941,9.84818e-09,0.695457,218967
512,2,CG,9,941,9.84818e-09,0.67118,218967
512,2,CG,10,941,9.84818e-09,0.702658,218967
1024,2,CG,1,1898,9.95871e-09,5.50765,218967
1024,2,CG,2,1898,9.95871e-09,5.63399,218967
1024,2,CG,3,1898,9.95871e-09,5.50055,218967
1024,2,CG,4,1898,9.95871e-09,5.50694,218967
1024,2,CG,5,1898,9.95871e-09,5.59402,218967
1024,2,CG,6,1898,9.95871e-09,5.5244,218967
1024,2,CG,7,1898,9.95871e-09,5.50031,218967
1024,2,CG,8,1898,9.95871e-09,5.49673,218967
1024,2,CG,9,1898,9.95871e-09,5.47965,218967
1024,2,CG,10,1898,9.95871e-09,5.52683,218967
2048,2,CG,1,3826,9.8528e-09,56.779,218967
2048,2,CG,2,3826,9.8528e-09,57.5076,218967
2048,2,CG,3,3826,9.8528e-09,61.2775,218967
2048,2,CG,4,3826,9.8528e-09,56.8943,218967
2048,2,CG,5,3826,9.8528e-09,57.6295,218967
2048,2,CG,6,3826,9.8528e-09,56.875,218967
2048,2,CG,7,3826,9.8528e-09,56.6228,218967
2048,2,CG,8,3826,9.8528e-09,58.1805,218967
2048,2,CG,9,3826,9.8528e-09,56.5874,218967
2048,2,CG,10,3826,9.8528e-09,57.0587,218967
