grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
362,2,CG,1,663,9.84677e-09,0.222755,218975
362,2,CG,2,663,9.84677e-09,0.269532,218975
362,2,CG,3,663,9.84677e-09,0.231687,218975
362,2,CG,4,663,9.84677e-09,0.223849,218975
362,2,CG,5,663,9.84677e-09,0.254499,218975
362,2,CG,6,663,9.84677e-09,0.236613,218975
362,2,CG,7,663,9.84677e-09,0.223225,218975
362,2,CG,8,663,9.84677e-09,0.231033,218975
362,2,CG,9,663,9.84677e-09,0.224159,218975
362,2,CG,10,663,9.84677e-09,0.236064,218975
