scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,1,262144,BJ,0,4,1,201,9.4415e-09,1.92313,0.130187,0.000163043,1.59727,0.000178625,0.0928824,218966
strong,512,262144,1,262144,AS1,1,4,1,201,9.4415e-09,2.25372,0.218377,0.00022664,1.83556,0.000186342,0.0951586,218966
strong,512,262144,1,262144,AS2,2,4,1,201,9.4415e-09,2.26438,0.218404,0.000228131,1.84636,0.000230087,0.0948649,218966
strong,512,262144,1,262144,BJ,0,4,2,201,9.4415e-09,1.92567,0.130452,0.000171745,1.59692,0.000178456,0.0960853,218966
strong,512,262144,1,262144,AS1,1,4,2,201,9.4415e-09,2.25503,0.216897,0.000209085,1.83541,0.000217057,0.0979353,218966
strong,512,262144,1,262144,AS2,2,4,2,201,9.4415e-09,2.25202,0.217149,0.000214273,1.83532,0.000230497,0.0946378,218966
strong,512,262144,1,262144,BJ,0,4,3,201,9.4415e-09,1.92436,0.131118,0.00017815,1.5967,0.000188284,0.0944751,218966
strong,512,262144,1,262144,AS1,1,4,3,201,9.4415e-09,2.25175,0.217323,0.000227405,1.83511,0.000205185,0.0946014,218966
strong,512,262144,1,262144,AS2,2,4,3,201,9.4415e-09,2.25171,0.217437,0.000196889,1.83448,0.000221983,0.0955013,218966
strong,512,262144,1,262144,BJ,0,4,4,201,9.4415e-09,1.92846,0.13016,0.000175545,1.59668,0.000139117,0.0969592,218966
strong,512,262144,1,262144,AS1,1,4,4,201,9.4415e-09,2.25433,0.219163,0.000224644,1.83573,0.000217492,0.0948539,218966
strong,512,262144,1,262144,AS2,2,4,4,201,9.4415e-09,2.25278,0.218031,0.000231212,1.83449,0.000199642,0.0956857,218966
strong,512,262144,1,262144,BJ,0,4,5,201,9.4415e-09,1.92688,0.131157,0.000170659,1.59875,0.000155454,0.0949144,218966
strong,512,262144,1,262144,AS1,1,4,5,201,9.4415e-09,2.25124,0.215864,0.000219046,1.83469,0.000240093,0.0960675,218966
strong,512,262144,1,262144,AS2,2,4,5,201,9.4415e-09,2.25159,0.217283,0.000219385,1.83463,0.000208293,0.0951361,218966
strong,512,262144,1,262144,BJ,0,4,6,201,9.4415e-09,1.92526,0.131491,0.00018631,1.59662,0.000188473,0.0946755,218966
strong,512,262144,1,262144,AS1,1,4,6,201,9.4415e-09,2.17372,0.217527,0.000235806,1.75482,0.000194838,0.0972895,218966
strong,512,262144,1,262144,AS2,2,4,6,201,9.4415e-09,2.17652,0.220634,0.000222126,1.75576,0.000227271,0.0956171,218966
strong,512,262144,1,262144,BJ,0,4,7,201,9.4415e-09,1.92378,0.130493,0.000163279,1.5963,0.00015681,0.0950061,218966
strong,512,262144,1,262144,AS1,1,4,7,201,9.4415e-09,2.25354,0.217709,0.000230206,1.83409,0.000218897,0.0971122,218966
strong,512,262144,1,262144,AS2,2,4,7,201,9.4415e-09,2.25352,0.217899,0.000237592,1.83499,0.00023288,0.096389,218966
strong,512,262144,1,262144,BJ,0,4,8,201,9.4415e-09,1.92532,0.131973,0.000160182,1.59649,0.000171229,0.0948295,218966
strong,512,262144,1,262144,AS1,1,4,8,201,9.4415e-09,2.24939,0.216061,0.000214935,1.83429,0.000239116,0.0946598,218966
strong,512,262144,1,262144,AS2,2,4,8,201,9.4415e-09,2.2515,0.217428,0.000223345,1.83421,0.000208168,0.0956538,218966
strong,512,262144,1,262144,BJ,0,4,9,201,9.4415e-09,1.92715,0.132234,0.000165244,1.59681,0.000153531,0.0961166,218966
strong,512,262144,1,262144,AS1,1,4,9,201,9.4415e-09,2.25742,0.218873,0.00023147,1.83548,0.000204407,0.0991285,218966
strong,512,262144,1,262144,AS2,2,4,9,201,9.4415e-09,2.25277,0.216161,0.000232071,1.83508,0.000231541,0.0965204,218966
strong,512,262144,1,262144,BJ,0,4,10,201,9.4415e-09,1.9252,0.130923,0.000166808,1.59639,0.000185094,0.095926,218966
strong,512,262144,1,262144,AS1,1,4,10,201,9.4415e-09,2.25096,0.216454,0.000235514,1.83483,0.000207807,0.0953635,218966
strong,512,262144,1,262144,AS2,2,4,10,201,9.4415e-09,2.25171,0.217839,0.000217286,1.83418,0.000215356,0.0954409,218966
strong,1024,1048576,1,1048576,BJ,0,4,1,383,9.32925e-09,14.8063,1.00146,0.000521806,12.3275,0.000446302,0.712192,218966
strong,1024,1048576,1,1048576,AS1,1,4,1,383,9.32925e-09,17.0051,1.29103,0.000691741,14.1565,0.000540762,0.774165,218966
strong,1024,1048576,1,1048576,AS2,2,4,1,383,9.32925e-09,17.2203,1.35446,0.000846085,14.2713,0.000693395,0.781677,218966
strong,1024,1048576,1,1048576,BJ,0,4,2,383,9.32925e-09,14.8385,1.00135,0.000514302,12.3566,0.000281389,0.713076,218966
strong,1024,1048576,1,1048576,AS1,1,4,2,383,9.32925e-09,16.9805,1.28439,0.00067429,14.1459,0.000519484,0.775194,218966
strong,1024,1048576,1,1048576,AS2,2,4,2,383,9.32925e-09,17.0276,1.28978,0.000683381,14.1699,0.000446281,0.790751,218966
strong,1024,1048576,1,1048576,BJ,0,4,3,383,9.32925e-09,14.8072,1.00467,0.000521105,12.3267,0.000381791,0.715383,218966
strong,1024,1048576,1,1048576,AS1,1,4,3,383,9.32925e-09,16.9123,1.3124,0.000685474,14.049,0.000538131,0.760806,218966
strong,1024,1048576,1,1048576,AS2,2,4,3,383,9.32925e-09,17.254,1.31935,0.000819555,14.287,0.0005692,0.85163,218966
strong,1024,1048576,1,1048576,BJ,0,4,4,383,9.32925e-09,14.8152,1.01025,0.000467432,12.3298,0.000324457,0.713329,218966
strong,1024,1048576,1,1048576,AS1,1,4,4,383,9.32925e-09,17.0576,1.28695,0.000661791,14.179,0.000523547,0.785772,218966
strong,1024,1048576,1,1048576,AS2,2,4,4,383,9.32925e-09,17.0154,1.28465,0.00067954,14.1814,0.000535453,0.764482,218966
strong,1024,1048576,1,1048576,BJ,0,4,5,383,9.32925e-09,14.7931,0.997152,0.000465008,12.3274,0.000345163,0.706122,218966
strong,1024,1048576,1,1048576,AS1,1,4,5,383,9.32925e-09,17.0937,1.30965,0.000736713,14.2085,0.000454171,0.778032,218966
strong,1024,1048576,1,1048576,AS2,2,4,5,383,9.32925e-09,17.5937,1.36409,0.000874648,14.5023,0.000621579,0.880031,218966
strong,1024,1048576,1,1048576,BJ,0,4,6,383,9.32925e-09,14.9002,1.05124,0.000492667,12.3475,0.000327102,0.733818,218966
strong,1024,1048576,1,1048576,AS1,1,4,6,383,9.32925e-09,17.3441,1.33936,0.000819344,14.3375,0.000442766,0.849379,218966
strong,1024,1048576,1,1048576,AS2,2,4,6,383,9.32925e-09,17.0503,1.29069,0.000608044,14.1975,0.000459696,0.783976,218966
strong,1024,1048576,1,1048576,BJ,0,4,7,383,9.32925e-09,14.8707,1.01045,0.00056009,12.3768,0.000314794,0.715215,218966
strong,1024,1048576,1,1048576,AS1,1,4,7,383,9.32925e-09,17.1255,1.32453,0.000728856,14.2198,0.000528178,0.791984,218966
strong,1024,1048576,1,1048576,AS2,2,4,7,383,9.32925e-09,17.2907,1.37005,0.000759914,14.3073,0.000459107,0.801396,218966
strong,1024,1048576,1,1048576,BJ,0,4,8,383,9.32925e-09,14.8218,1.01068,0.000491613,12.3309,0.000345323,0.714912,218966
strong,1024,1048576,1,1048576,AS1,1,4,8,383,9.32925e-09,17.0396,1.28891,0.000777181,14.1695,0.000613226,0.795169,218966
strong,1024,1048576,1,1048576,AS2,2,4,8,383,9.32925e-09,16.9299,1.29849,0.000699007,14.0499,0.000611477,0.794813,218966
strong,1024,1048576,1,1048576,BJ,0,4,9,383,9.32925e-09,14.8574,1.03165,0.00052516,12.3385,0.000401739,0.72206,218966
strong,1024,1048576,1,1048576,AS1,1,4,9,383,9.32925e-09,16.9744,1.28352,0.000788057,14.1404,0.000499185,0.774167,218966
strong,1024,1048576,1,1048576,AS2,2,4,9,383,9.32925e-09,17.1157,1.31043,0.000838934,14.2192,0.000548976,0.791925,218966
strong,1024,1048576,1,1048576,BJ,0,4,10,383,9.32925e-09,14.809,1.00344,0.000492631,12.3314,0.000355182,0.711314,218966
strong,1024,1048576,1,1048576,AS1,1,4,10,383,9.32925e-09,17.114,1.29427,0.00071413,14.2511,0.000484625,0.788667,218966
strong,1024,1048576,1,1048576,AS2,2,4,10,383,9.32925e-09,17.035,1.29159,0.000712533,14.1882,0.000446002,0.756793,218966
strong,2048,4194304,1,4194304,BJ,0,4,1,764,9.63899e-09,136.754,15.911,0.00380234,100.97,0.00213537,10.4551,218966
strong,2048,4194304,1,4194304,AS1,1,4,1,764,9.63899e-09,159.582,15.713,0.00392247,122.424,0.00233392,10.8761,218966
strong,2048,4194304,1,4194304,AS2,2,4,1,764,9.63899e-09,159.272,15.7078,0.00374039,122.478,0.00235408,10.6815,218966
strong,2048,4194304,1,4194304,BJ,0,4,2,764,9.63899e-09,136.688,15.9063,0.00389908,100.866,0.00215707,10.51,218966
strong,2048,4194304,1,4194304,AS1,1,4,2,764,9.63899e-09,159.445,15.7115,0.00398312,122.551,0.00253044,10.7198,218966
strong,2048,4194304,1,4194304,AS2,2,4,2,764,9.63899e-09,159.315,15.5978,0.00402792,122.337,0.00253467,10.8152,218966
strong,2048,4194304,1,4194304,BJ,0,4,3,764,9.63899e-09,136.998,15.9408,0.00390281,100.913,0.0021556,10.566,218966
strong,2048,4194304,1,4194304,AS1,1,4,3,764,9.63899e-09,159.277,15.5788,0.00410031,122.445,0.00267673,10.6945,218966
strong,2048,4194304,1,4194304,AS2,2,4,3,764,9.63899e-09,159.1,15.6591,0.00393241,122.49,0.0027636,10.5788,218966
strong,2048,4194304,1,4194304,BJ,0,4,4,764,9.63899e-09,136.739,15.9555,0.00395142,100.732,0.00220244,10.6287,218966
strong,2048,4194304,1,4194304,AS1,1,4,4,764,9.63899e-09,159.272,15.6213,0.00394377,122.096,0.002888,10.9845,218966
strong,2048,4194304,1,4194304,AS2,2,4,4,764,9.63899e-09,158.882,15.4284,0.00418903,121.977,0.00293504,10.9075,218966
strong,2048,4194304,1,4194304,BJ,0,4,5,764,9.63899e-09,136.734,15.8439,0.00381147,100.9,0.00201355,10.4392,218966
strong,2048,4194304,1,4194304,AS1,1,4,5,764,9.63899e-09,158.768,15.491,0.00383272,122.076,0.00238828,10.726,218966
strong,2048,4194304,1,4194304,AS2,2,4,5,764,9.63899e-09,159.227,15.7546,0.00406838,122.469,0.0025895,10.6538,218966
strong,2048,4194304,1,4194304,BJ,0,4,6,764,9.63899e-09,136.752,15.8999,0.00393174,100.951,0.00263971,10.4723,218966
strong,2048,4194304,1,4194304,AS1,1,4,6,764,9.63899e-09,158.86,15.3261,0.00385052,122.221,0.00269107,10.7708,218966
strong,2048,4194304,1,4194304,AS2,2,4,6,764,9.63899e-09,159.447,15.8113,0.00395611,122.496,0.0025818,10.7166,218966
strong,2048,4194304,1,4194304,BJ,0,4,7,764,9.63899e-09,136.613,15.8664,0.003741,100.912,0.0021448,10.4729,218966
strong,2048,4194304,1,4194304,AS1,1,4,7,764,9.63899e-09,159.27,15.7443,0.00402247,122.519,0.00275697,10.6076,218966
strong,2048,4194304,1,4194304,AS2,2,4,7,764,9.63899e-09,159.276,15.7469,0.00394928,122.504,0.00256767,10.6015,218966
strong,2048,4194304,1,4194304,BJ,0,4,8,764,9.63899e-09,137.071,15.8289,0.00390858,100.915,0.002025,10.5337,218966
strong,2048,4194304,1,4194304,AS1,1,4,8,764,9.63899e-09,158.878,15.1397,0.00407302,122.227,0.00254014,10.862,218966
strong,2048,4194304,1,4194304,AS2,2,4,8,764,9.63899e-09,158.936,15.2489,0.00406801,122.229,0.0025303,10.7966,218966
strong,2048,4194304,1,4194304,BJ,0,4,9,764,9.63899e-09,136.817,15.7838,0.00388082,100.94,0.00204862,10.5132,218966
strong,2048,4194304,1,4194304,AS1,1,4,9,764,9.63899e-09,158.725,15.4477,0.0039974,122.02,0.00260673,10.7501,218966
strong,2048,4194304,1,4194304,AS2,2,4,9,764,9.63899e-09,158.821,15.5662,0.00404871,122.111,0.00243876,10.668,218966
strong,2048,4194304,1,4194304,BJ,0,4,10,764,9.63899e-09,136.73,15.8234,0.00395601,100.884,0.00222707,10.5981,218966
strong,2048,4194304,1,4194304,AS1,1,4,10,764,9.63899e-09,159.016,15.6372,0.0040275,122.202,0.00256542,10.7035,218966
strong,2048,4194304,1,4194304,AS2,2,4,10,764,9.63899e-09,159.068,15.5975,0.00385806,122.168,0.00264884,10.7319,218966
