scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,1.40256,0.0921173,0.00511018,1.15303,0.0336537,0.055362,218978
weak,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,1.64169,0.137063,0.0026974,1.34656,0.0321863,0.0579173,218978
weak,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,1.66982,0.136225,0.00520545,1.39464,0.0151047,0.0559809,218978
weak,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,1.39857,0.0881714,0.00388275,1.15494,0.0305814,0.0558426,218978
weak,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,1.64,0.137867,0.00263506,1.35065,0.0259931,0.0575259,218978
weak,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,1.671,0.138587,0.00559813,1.39458,0.0182808,0.053112,218978
weak,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,1.39337,0.0871266,0.00270505,1.15712,0.0205513,0.0599237,218978
weak,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,1.64166,0.135372,0.00259905,1.34291,0.0358074,0.059331,218978
weak,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,1.67158,0.139131,0.00728096,1.39573,0.0165424,0.0535503,218978
weak,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,1.40259,0.0917313,0.00829457,1.15663,0.0262331,0.0592979,218978
weak,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,1.64314,0.133889,0.00340029,1.3317,0.055705,0.0547924,218978
weak,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,1.67013,0.138956,0.00904155,1.38202,0.0299995,0.052833,218978
weak,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,1.40031,0.0919092,0.00292234,1.15769,0.0214491,0.0603228,218978
weak,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,1.64504,0.138035,0.00722806,1.36112,0.0263777,0.0526426,218978
weak,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,1.67007,0.136659,0.0051741,1.39309,0.0167759,0.0558462,218978
weak,1024,1048576,16,65536,BJ,0,4,6,571,9.18973e-09,1.39866,0.0949814,0.00691358,1.15362,0.0252675,0.0564882,218978
weak,1024,1048576,16,65536,AS1,1,4,6,556,9.88594e-09,1.64738,0.140907,0.00405306,1.35605,0.0292591,0.054292,218978
weak,1024,1048576,16,65536,AS2,2,4,6,551,9.87306e-09,1.66659,0.132471,0.0032642,1.36145,0.0521315,0.0544479,218978
weak,1024,1048576,16,65536,BJ,0,4,7,571,9.18973e-09,1.39852,0.0899848,0.00591709,1.15238,0.0332821,0.0545125,218978
weak,1024,1048576,16,65536,AS1,1,4,7,556,9.88594e-09,1.64047,0.134776,0.00260823,1.34866,0.0320334,0.057253,218978
weak,1024,1048576,16,65536,AS2,2,4,7,551,9.87306e-09,1.67048,0.137347,0.00432403,1.38122,0.0283579,0.0565121,218978
weak,1024,1048576,16,65536,BJ,0,4,8,571,9.18973e-09,1.39938,0.0912872,0.00684573,1.15502,0.0262462,0.0579835,218978
weak,1024,1048576,16,65536,AS1,1,4,8,556,9.88594e-09,1.64432,0.138998,0.00687229,1.36698,0.0174289,0.0536912,218978
weak,1024,1048576,16,65536,AS2,2,4,8,551,9.87306e-09,1.67012,0.136665,0.00814852,1.39216,0.0216883,0.0534611,218978
weak,1024,1048576,16,65536,BJ,0,4,9,571,9.18973e-09,1.3996,0.0883922,0.00308812,1.15679,0.0256513,0.0601251,218978
weak,1024,1048576,16,65536,AS1,1,4,9,556,9.88594e-09,1.64335,0.137816,0.00402563,1.36052,0.0230653,0.0550554,218978
weak,1024,1048576,16,65536,AS2,2,4,9,551,9.87306e-09,1.66921,0.135076,0.0051228,1.39529,0.0136195,0.0572246,218978
weak,1024,1048576,16,65536,BJ,0,4,10,571,9.18973e-09,1.40098,0.0870125,0.0029436,1.1579,0.0272636,0.0601445,218978
weak,1024,1048576,16,65536,AS1,1,4,10,556,9.88594e-09,1.63896,0.135573,0.00513703,1.36106,0.0152092,0.058148,218978
weak,1024,1048576,16,65536,AS2,2,4,10,551,9.87306e-09,1.66678,0.136453,0.00775238,1.38744,0.02201,0.0546724,218978
