scaling,grid_size,processes,method,runs,iterations,mean_runtime,sd_runtime,cv_percent,cg_runs,cg_iterations,cg_mean_runtime,cg_sd_runtime,cg_cv_percent,runtime_ratio_vs_CG
strong,512,1,AS1,10,201,2.24511,0.02519013784091795,1.1220001621710274,10,941,1.362758,0.006377331033521128,0.4679723790666522,1.6474751936880943
strong,512,1,AS2,10,201,2.24585,0.024667495932006504,1.0983590147163214,10,941,1.362758,0.006377331033521128,0.4679723790666522,1.6480182101297516
strong,512,1,BJ,10,201,1.9255209999999998,0.0016147889438973982,0.0838624426270811,10,941,1.362758,0.006377331033521128,0.4679723790666522,1.4129588672383504
strong,512,2,AS1,10,310,1.737997,0.006014273854755869,0.34604627365616103,10,941,0.6869916,0.014539712943826935,2.116432419818078,2.5298664496043326
strong,512,2,AS2,10,322,1.8156009999999998,0.006689651128588259,0.36845381383840725,10,941,0.6869916,0.014539712943826935,2.116432419818078,2.6428285294900253
strong,512,2,BJ,10,335,1.614645,0.006383365970325572,0.39534176059292114,10,941,0.6869916,0.014539712943826935,2.116432419818078,2.3503125802411557
strong,512,4,AS1,10,288,0.806694,0.001960754729972974,0.24306053224307778,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.484975137742023
strong,512,4,AS2,10,292,0.8274322,0.0008629361763446983,0.10429086230203494,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.548857987250661
strong,512,4,BJ,10,299,0.7148165,0.001098886936859267,0.15372993444601055,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.2019517072740973
strong,512,8,AS1,10,281,0.3703344,0.0018236643940764386,0.4924372119026584,10,941,0.169651,0.0016913274208279335,0.9969451525944047,2.182919051464477
strong,512,8,AS2,10,281,0.38128229999999996,0.0008005103996826074,0.20995215347856627,10,941,0.169651,0.0016913274208279335,0.9969451525944047,2.247450943407348
strong,512,8,BJ,10,289,0.3477764,0.0005715511447903111,0.16434443072914412,10,941,0.169651,0.0016913274208279335,0.9969451525944047,2.049951960200647
strong,512,16,AS1,10,291,0.2021502,0.0005329871376392593,0.263658971220043,10,941,0.09170388,0.001509352159629349,1.645897817659786,2.20438001096573
strong,512,16,AS2,10,289,0.2116881,0.0013181921500465914,0.6227048899048135,10,941,0.09170388,0.001509352159629349,1.645897817659786,2.308387605846121
strong,512,16,BJ,10,309,0.1925171,0.0007910439586043484,0.41089542622673436,10,941,0.09170388,0.001509352159629349,1.645897817659786,2.099334292071393
strong,512,32,AS1,10,295,0.1174086,0.0021057448510628687,1.7935184058602767,10,941,0.05501199,0.001599820935431351,2.9081313645104476,2.1342365546129125
strong,512,32,AS2,10,294,0.1311299,0.008062747718158285,6.14867220836612,10,941,0.05501199,0.001599820935431351,2.9081313645104476,2.3836603620410752
strong,512,32,BJ,10,324,0.10962449999999999,0.001766709386275953,1.6116008613730994,10,941,0.05501199,0.001599820935431351,2.9081313645104476,1.9927383103210772
strong,1024,1,AS1,10,383,17.06468,0.11913323820178996,0.6981275840026885,10,1898,10.86769,0.13584703366491138,1.2500083611596522,1.5702214546053486
strong,1024,1,AS2,10,383,17.15326,0.19385060226886036,1.1301093918523963,10,1898,10.86769,0.13584703366491138,1.2500083611596522,1.5783722207755282
strong,1024,1,BJ,10,383,14.83194,0.03422202669496786,0.2307319655754261,10,1898,10.86769,0.13584703366491138,1.2500083611596522,1.3647739307985414
strong,1024,2,AS1,10,618,13.513300000000001,0.009558823730518565,0.07073641324116658,10,1898,5.527106999999999,0.048639598648289505,0.8800191248023516,2.4449137677269506
strong,1024,2,AS2,10,583,12.761750000000001,0.013389900837738089,0.10492213714998404,10,1898,5.527106999999999,0.048639598648289505,0.8800191248023516,2.3089384735992993
strong,1024,2,BJ,10,628,12.14648,0.012296142123085545,0.10123214398809816,10,1898,5.527106999999999,0.048639598648289505,0.8800191248023516,2.197619839818553
strong,1024,4,AS1,10,553,6.349165,0.005049904839587281,0.07953651920508098,10,1898,2.7893800000000004,0.013566454543796201,0.4863609312390638,2.276192200417297
strong,1024,4,AS2,10,578,6.674272,0.007374476704598575,0.11049110231945258,10,1898,2.7893800000000004,0.013566454543796201,0.4863609312390638,2.3927439072482053
strong,1024,4,BJ,10,577,5.589979,0.005882014866428763,0.10522427483947192,10,1898,2.7893800000000004,0.013566454543796201,0.4863609312390638,2.0040220407402356
strong,1024,8,AS1,10,538,3.1080650000000003,0.0033187891031385523,0.10677991300499032,10,1898,1.393815,0.015274582554761388,1.09588306588474,2.229897798488322
strong,1024,8,AS2,10,572,3.349706,0.006929840787011903,0.20687907496991984,10,1898,1.393815,0.015274582554761388,1.09588306588474,2.4032644217489407
strong,1024,8,BJ,10,579,2.8159970000000003,0.002515856602520267,0.08934159384829839,10,1898,1.393815,0.015274582554761388,1.09588306588474,2.020352055330155
strong,1024,16,AS1,10,556,1.6466239999999999,0.006496216334657216,0.39451728716800044,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,2.36542547086235
strong,1024,16,AS2,10,551,1.667605,0.0025942339909884793,0.155566455544837,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,2.3955653156624765
strong,1024,16,BJ,10,571,1.390338,0.002200049494392728,0.1582384639125686,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,1.997262834932455
strong,1024,32,AS1,10,562,0.8094493,0.0019404580816566673,0.23972571001749796,10,1898,0.3796008,0.003181650927148074,0.8381570658302283,2.132369847481881
strong,1024,32,AS2,10,571,0.8617013,0.002749343802518068,0.3190599576115376,10,1898,0.3796008,0.003181650927148074,0.8381570658302283,2.2700197154484396
strong,1024,32,BJ,10,596,0.7682632,0.0036597341676381074,0.4763646322820235,10,1898,0.3796008,0.003181650927148074,0.8381570658302283,2.0238713933163472
strong,1024,64,AS1,10,567,0.607625,0.01483444689453121,2.4413819205153198,10,1898,0.30334669999999997,0.013580267220820392,4.476813896713033,2.0030710734614883
strong,1024,64,AS2,10,566,0.6659493000000001,0.02734534086275026,4.106219627042217,10,1898,0.30334669999999997,0.013580267220820392,4.476813896713033,2.1953405130169545
strong,1024,64,BJ,10,636,0.5718483,0.007691884121881026,1.3450917178351367,10,1898,0.30334669999999997,0.013580267220820392,4.476813896713033,1.8851311057611637
strong,2048,1,AS1,10,764,159.1093,0.29908863420583354,0.18797683994954006,10,3826,156.7172,0.23750031578926303,0.15154706425922812,1.0152638000168457
strong,2048,1,AS2,10,764,159.1344,0.20676728733315847,0.12993248935061086,10,3826,156.7172,0.23750031578926303,0.15154706425922812,1.0154239611223275
strong,2048,1,BJ,10,764,136.7896,0.14014373573822808,0.1024520400222152,10,3826,156.7172,0.23750031578926303,0.15154706425922812,0.8728435679044803
strong,2048,2,AS1,10,1150,113.83279999999999,0.23833813514976557,0.20937562385337583,10,3826,57.54123,1.4066041913851324,2.4445153351520856,1.9782823551043311
