grid_size,unknowns,processes,owned_rows,method,overlap,relative_overlap_pct,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
512,262144,8,64,BJ,0,0.000000,4,1,289,9.81919e-09,0.35282,0.0251778,0.00121279,0.288625,0.00637891,0.0152199,219194
512,262144,8,64,AS,1,1.562500,4,1,281,9.59095e-09,0.379786,0.0242359,0.000860571,0.313898,0.0101249,0.014558,219194
512,262144,8,64,AS,2,3.125000,4,1,281,9.7634e-09,0.38957,0.0257354,0.00156206,0.32757,0.00511137,0.0142268,219194
512,262144,8,64,AS,6,9.375000,4,1,309,9.40555e-09,0.469496,0.0277815,0.00128137,0.398647,0.00847761,0.0159343,219194
512,262144,8,64,AS,12,18.750000,4,1,300,9.05393e-09,0.521067,0.026303,0.000963827,0.446931,0.0139929,0.0156569,219194
512,262144,8,64,AS,19,29.687500,4,1,307,9.76344e-09,0.609567,0.0264515,0.000831201,0.530204,0.0175466,0.0167624,219194
512,262144,8,64,AS,32,50.000000,4,1,300,8.62576e-09,0.810928,0.0361963,0.00154374,0.729771,0.0107856,0.0159264,219194
512,262144,8,64,BJ,0,0.000000,4,2,289,9.81919e-09,0.351496,0.0256916,0.00126743,0.288615,0.00485801,0.0149291,219194
512,262144,8,64,AS,1,1.562500,4,2,281,9.59095e-09,0.379727,0.02583,0.00166872,0.317851,0.00435445,0.014479,219194
512,262144,8,64,AS,2,3.125000,4,2,281,9.7634e-09,0.391608,0.0252591,0.0011165,0.323316,0.0114702,0.0146429,219194
512,262144,8,64,AS,6,9.375000,4,2,309,9.40555e-09,0.470395,0.0274126,0.00112208,0.398695,0.00958756,0.0160023,219194
512,262144,8,64,AS,12,18.750000,4,2,300,9.05393e-09,0.520713,0.0268193,0.00168913,0.454828,0.00540494,0.0154986,219194
512,262144,8,64,AS,19,29.687500,4,2,307,9.76344e-09,0.609609,0.0267542,0.00126337,0.529675,0.0185821,0.0159152,219194
512,262144,8,64,AS,32,50.000000,4,2,300,8.62576e-09,0.810794,0.0370048,0.00243521,0.733389,0.00626026,0.0157344,219194
512,262144,8,64,BJ,0,0.000000,4,3,289,9.81919e-09,0.352289,0.0252649,0.00102365,0.288703,0.00613524,0.0147647,219194
512,262144,8,64,AS,1,1.562500,4,3,281,9.59095e-09,0.379627,0.0249851,0.00171743,0.317552,0.00562663,0.0143047,219194
512,262144,8,64,AS,2,3.125000,4,3,281,9.7634e-09,0.391848,0.0248183,0.00121409,0.323322,0.0122083,0.0145193,219194
512,262144,8,64,AS,6,9.375000,4,3,309,9.40555e-09,0.473884,0.0284511,0.00148452,0.400315,0.0101423,0.0160213,219194
512,262144,8,64,AS,12,18.750000,4,3,300,9.05393e-09,0.519269,0.0280363,0.00170746,0.450592,0.00725552,0.0151388,219194
512,262144,8,64,AS,19,29.687500,4,3,307,9.76344e-09,0.609017,0.0262673,0.000962017,0.529686,0.0180865,0.0164044,219194
512,262144,8,64,AS,32,50.000000,4,3,300,8.62576e-09,0.812055,0.0359079,0.00221904,0.737068,0.00416222,0.0161543,219194
512,262144,8,64,BJ,0,0.000000,4,4,289,9.81919e-09,0.35201,0.025191,0.00123444,0.288733,0.00542425,0.0152631,219194
512,262144,8,64,AS,1,1.562500,4,4,281,9.59095e-09,0.379205,0.0245516,0.00114054,0.315377,0.00817308,0.0140798,219194
512,262144,8,64,AS,2,3.125000,4,4,281,9.7634e-09,0.389703,0.0243218,0.000848232,0.323351,0.0105336,0.0145243,219194
512,262144,8,64,AS,6,9.375000,4,4,309,9.40555e-09,0.470919,0.0279809,0.00173297,0.403528,0.00519406,0.0155469,219194
512,262144,8,64,AS,12,18.750000,4,4,300,9.05393e-09,0.519955,0.0266715,0.00148171,0.450544,0.00931923,0.0152702,219194
512,262144,8,64,AS,19,29.687500,4,4,307,9.76344e-09,0.609122,0.026674,0.001095,0.529903,0.0178715,0.0159815,219194
512,262144,8,64,AS,32,50.000000,4,4,300,8.62576e-09,0.812073,0.0368787,0.00214999,0.737,0.00321081,0.0162098,219194
512,262144,8,64,BJ,0,0.000000,4,5,289,9.81919e-09,0.354135,0.0257338,0.000901412,0.28886,0.00700022,0.0151557,219194
512,262144,8,64,AS,1,1.562500,4,5,281,9.59095e-09,0.379637,0.0242437,0.000770435,0.313606,0.00961313,0.0151489,219194
512,262144,8,64,AS,2,3.125000,4,5,281,9.7634e-09,0.390901,0.025697,0.00191847,0.329061,0.00489612,0.0142847,219194
512,262144,8,64,AS,6,9.375000,4,5,309,9.40555e-09,0.471443,0.0273483,0.00163394,0.404764,0.00485627,0.0156921,219194
512,262144,8,64,AS,12,18.750000,4,5,300,9.05393e-09,0.519764,0.0272922,0.0015941,0.451223,0.00771759,0.01521,219194
512,262144,8,64,AS,19,29.687500,4,5,307,9.76344e-09,0.609281,0.0273056,0.0011002,0.53013,0.0172022,0.0160224,219194
512,262144,8,64,AS,32,50.000000,4,5,300,8.62576e-09,0.81254,0.036549,0.00203578,0.737042,0.00342922,0.0165473,219194
512,262144,8,64,BJ,0,0.000000,4,6,289,9.81919e-09,0.351945,0.0255272,0.00157494,0.288552,0.00570634,0.0147528,219194
512,262144,8,64,AS,1,1.562500,4,6,281,9.59095e-09,0.380872,0.025133,0.00185335,0.316984,0.00767635,0.0141243,219194
