method,n,block_size,tol,max_iter,repeats,iterations_avg,runtime_avg,relative_residual
CG,100,0,1e-08,100000,5,50,0.0002214,0
PCG-BJ,100,20,1e-08,100000,5,5,2.05526e-05,1.54616e-12
CG,500,0,1e-08,100000,5,250,0.00203083,0
PCG-BJ,500,20,1e-08,100000,5,26,0.000292084,2.34268e-14
CG,1000,0,1e-08,100000,5,500,0.00441962,0
PCG-BJ,1000,20,1e-08,100000,5,52,0.000548438,5.37559e-12
CG,5000,0,1e-08,100000,5,2500,0.0734513,0
PCG-BJ,5000,20,1e-08,100000,5,262,0.0127288,3.93844e-12
CG,10000,0,1e-08,100000,5,5000,0.256713,0
PCG-BJ,10000,20,1e-08,100000,5,518,0.0569145,9.08795e-09
