grid_size,unknowns,block_size,repeat,cg_iterations,cg_residual,cg_runtime,pcg_iterations,pcg_residual,pcg_runtime,solution_difference
256,65536,64,1,470,9.6476e-09,0.281974,403,9.1575e-09,0.39952,1.74743e-10
256,65536,64,1,470,9.6476e-09,0.313504,403,9.1575e-09,0.360044,1.74743e-10
256,65536,64,2,470,9.6476e-09,0.270777,403,9.1575e-09,0.448595,1.74743e-10
256,65536,64,3,470,9.6476e-09,0.287561,403,9.1575e-09,0.424352,1.74743e-10
256,65536,64,4,470,9.6476e-09,0.251521,403,9.1575e-09,0.351143,1.74743e-10
256,65536,64,5,470,9.6476e-09,0.244098,403,9.1575e-09,0.357011,1.74743e-10
256,65536,64,6,470,9.6476e-09,0.254086,403,9.1575e-09,0.383061,1.74743e-10
256,65536,64,7,470,9.6476e-09,0.281998,403,9.1575e-09,0.442001,1.74743e-10
256,65536,64,8,470,9.6476e-09,0.258539,403,9.1575e-09,0.396517,1.74743e-10
256,65536,64,9,470,9.6476e-09,0.262244,403,9.1575e-09,0.418256,1.74743e-10
256,65536,64,10,470,9.6476e-09,0.234224,403,9.1575e-09,0.393753,1.74743e-10
32,1024,64,1,59,8.34067e-09,0.00102347,54,6.68857e-09,0.00161137,1.70094e-10
32,1024,64,2,59,8.34067e-09,0.00106199,54,6.68857e-09,0.00148834,1.70094e-10
32,1024,64,3,59,8.34067e-09,0.000945615,54,6.68857e-09,0.00156722,1.70094e-10
64,4096,64,1,119,9.42261e-09,0.00875618,106,7.12927e-09,0.00954455,1.29569e-10
64,4096,64,2,119,9.42261e-09,0.0109912,106,7.12927e-09,0.0123161,1.29569e-10
64,4096,64,3,119,9.42261e-09,0.00776744,106,7.12927e-09,0.0110222,1.29569e-10
128,16384,64,1,239,9.23906e-09,0.0511167,210,8.33814e-09,0.0722442,1.14274e-10
128,16384,64,2,239,9.23906e-09,0.0448273,210,8.33814e-09,0.0656624,1.14274e-10
128,16384,64,3,239,9.23906e-09,0.0411516,210,8.33814e-09,0.0624457,1.14274e-10
256,65536,64,1,470,9.6476e-09,0.356088,403,9.1575e-09,0.549448,1.74743e-10
256,65536,64,2,470,9.6476e-09,0.338115,403,9.1575e-09,0.563569,1.74743e-10
256,65536,64,3,470,9.6476e-09,0.348612,403,9.1575e-09,0.530097,1.74743e-10
512,262144,64,1,941,9.84818e-09,3.31896,803,9.56744e-09,5.04022,9.86272e-11
512,262144,64,2,941,9.84818e-09,3.22887,803,9.56744e-09,4.3863,9.86272e-11
512,262144,64,3,941,9.84818e-09,3.00301,803,9.56744e-09,5.52385,9.86272e-11
1024,1048576,64,1,1001,0.055761,14.5246,1001,0.00019479,30.4406,0.000307381
1024,1048576,64,2,1001,0.055761,15.0549,1001,0.00019479,34.1471,0.000307381
1024,1048576,64,3,1001,0.055761,14.8432,1001,0.00019479,32.122,0.000307381
1024,1048576,64,1,1898,9.95882e-09,26.4946,1600,9.92657e-09,34.098,4.24194e-11
1024,1048576,64,2,1898,9.95882e-09,22.9302,1600,9.92657e-09,32.2327,4.24194e-11
1024,1048576,64,3,1898,9.95882e-09,23.7004,1600,9.92657e-09,32.9695,4.24194e-11
256,65536,1,1,470,9.6476e-09,0.295314,470,9.6476e-09,0.489176,0
256,65536,1,2,470,9.6476e-09,0.276589,470,9.6476e-09,0.492532,0
256,65536,1,3,470,9.6476e-09,0.292495,470,9.6476e-09,0.469897,0
256,65536,8,1,470,9.6476e-09,0.258575,438,9.60832e-09,0.376815,8.20745e-11
256,65536,8,2,470,9.6476e-09,0.263554,438,9.60832e-09,0.372998,8.20745e-11
256,65536,8,3,470,9.6476e-09,0.263993,438,9.60832e-09,0.369282,8.20745e-11
256,65536,16,1,470,9.6476e-09,0.257809,426,9.33084e-09,0.395505,8.24058e-11
256,65536,16,2,470,9.6476e-09,0.254855,426,9.33084e-09,0.383824,8.24058e-11
256,65536,16,3,470,9.6476e-09,0.258195,426,9.33084e-09,0.375717,8.24058e-11
256,65536,32,1,470,9.6476e-09,0.258633,419,9.28927e-09,0.395201,8.57029e-11
256,65536,32,2,470,9.6476e-09,0.255284,419,9.28927e-09,0.418679,8.57029e-11
256,65536,32,3,470,9.6476e-09,0.285353,419,9.28927e-09,0.431409,8.57029e-11
256,65536,64,1,470,9.6476e-09,0.274834,403,9.1575e-09,0.438516,1.74743e-10
256,65536,64,2,470,9.6476e-09,0.288152,403,9.1575e-09,0.441366,1.74743e-10
256,65536,64,3,470,9.6476e-09,0.288877,403,9.1575e-09,0.438019,1.74743e-10
256,65536,128,1,470,9.6476e-09,0.255879,415,9.50456e-09,0.433775,8.09654e-11
256,65536,128,2,470,9.6476e-09,0.259184,415,9.50456e-09,-0.47587,8.09654e-11
256,65536,128,3,470,9.6476e-09,0.263695,415,9.50456e-09,0.424785,8.09654e-11
256,65536,256,1,470,9.6476e-09,0.26362,413,9.42012e-09,0.422661,8.31124e-11
256,65536,256,2,470,9.6476e-09,0.257508,413,9.42012e-09,0.444067,8.31124e-11
256,65536,256,3,470,9.6476e-09,0.263715,413,9.42012e-09,0.426104,8.31124e-11
256,65536,128,2,470,9.6476e-09,0.574971,415,9.50456e-09,0.696441,8.09654e-11
