scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,1024,1048576,16,65536,BJ,0,4,1,571,9.18973e-09,13.5809,211944
weak,1024,1048576,16,65536,AS1,1,4,1,556,9.88594e-09,6.27909,211944
weak,1024,1048576,16,65536,AS2,2,4,1,551,9.87306e-09,6.67526,211944
weak,1024,1048576,16,65536,BJ,0,4,2,571,9.18973e-09,17.5857,211944
weak,1024,1048576,16,65536,AS1,1,4,2,556,9.88594e-09,2.59527,211944
weak,1024,1048576,16,65536,AS2,2,4,2,551,9.87306e-09,4.795,211944
weak,1024,1048576,16,65536,BJ,0,4,3,571,9.18973e-09,20.875,211944
weak,1024,1048576,16,65536,AS1,1,4,3,556,9.88594e-09,15.8269,211944
weak,1024,1048576,16,65536,AS2,2,4,3,551,9.87306e-09,13.04,211944
weak,1024,1048576,16,65536,BJ,0,4,4,571,9.18973e-09,2.30235,211944
weak,1024,1048576,16,65536,AS1,1,4,4,556,9.88594e-09,19.6635,211944
weak,1024,1048576,16,65536,AS2,2,4,4,551,9.87306e-09,5.50785,211944
weak,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,8.52979,211944
weak,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,7.32794,211944
weak,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,2.40468,211944
