scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
strong,512,262144,32,8192,BJ,0,4,1,324,9.77187e-09,0.11557,211487
strong,512,262144,32,8192,AS1,1,4,1,295,7.55314e-09,0.123432,211487
strong,512,262144,32,8192,AS2,2,4,1,294,8.03923e-09,0.134739,211487
strong,512,262144,32,8192,BJ,0,4,2,324,9.77187e-09,0.114993,211487
strong,512,262144,32,8192,AS1,1,4,2,295,7.55314e-09,0.12334,211487
strong,512,262144,32,8192,AS2,2,4,2,294,8.03923e-09,0.134168,211487
strong,512,262144,32,8192,BJ,0,4,3,324,9.77187e-09,0.115145,211487
strong,512,262144,32,8192,AS1,1,4,3,295,7.55314e-09,0.123949,211487
strong,512,262144,32,8192,AS2,2,4,3,294,8.03923e-09,0.135191,211487
strong,512,262144,32,8192,BJ,0,4,4,324,9.77187e-09,0.115326,211487
strong,512,262144,32,8192,AS1,1,4,4,295,7.55314e-09,0.123808,211487
strong,512,262144,32,8192,AS2,2,4,4,294,8.03923e-09,0.13407,211487
strong,512,262144,32,8192,BJ,0,4,5,324,9.77187e-09,0.115969,211487
strong,512,262144,32,8192,AS1,1,4,5,295,7.55314e-09,0.122915,211487
strong,512,262144,32,8192,AS2,2,4,5,294,8.03923e-09,0.134541,211487
strong,1024,1048576,32,32768,BJ,0,4,1,596,8.20908e-09,0.821804,211487
strong,1024,1048576,32,32768,AS1,1,4,1,562,8.79959e-09,0.858786,211487
strong,1024,1048576,32,32768,AS2,2,4,1,571,9.77984e-09,0.915276,211487
strong,1024,1048576,32,32768,BJ,0,4,2,596,8.20908e-09,0.820229,211487
strong,1024,1048576,32,32768,AS1,1,4,2,562,8.79959e-09,0.864211,211487
strong,1024,1048576,32,32768,AS2,2,4,2,571,9.77984e-09,0.91421,211487
strong,1024,1048576,32,32768,BJ,0,4,3,596,8.20908e-09,0.820557,211487
strong,1024,1048576,32,32768,AS1,1,4,3,562,8.79959e-09,0.856617,211487
strong,1024,1048576,32,32768,AS2,2,4,3,571,9.77984e-09,0.920806,211487
strong,1024,1048576,32,32768,BJ,0,4,4,596,8.20908e-09,0.820764,211487
strong,1024,1048576,32,32768,AS1,1,4,4,562,8.79959e-09,0.867372,211487
strong,1024,1048576,32,32768,AS2,2,4,4,571,9.77984e-09,0.917656,211487
strong,1024,1048576,32,32768,BJ,0,4,5,596,8.20908e-09,0.821143,211487
strong,1024,1048576,32,32768,AS1,1,4,5,562,8.79959e-09,0.860985,211487
strong,1024,1048576,32,32768,AS2,2,4,5,571,9.77984e-09,0.916689,211487
strong,2048,4194304,32,131072,BJ,0,4,1,1102,9.23498e-09,6.26376,211487
strong,2048,4194304,32,131072,AS1,1,4,1,1072,9.48762e-09,8.51338,211487
strong,2048,4194304,32,131072,AS2,2,4,1,1101,9.99227e-09,9.01475,211487
strong,2048,4194304,32,131072,BJ,0,4,2,1102,9.23498e-09,6.25622,211487
strong,2048,4194304,32,131072,AS1,1,4,2,1072,9.48762e-09,8.51774,211487
strong,2048,4194304,32,131072,AS2,2,4,2,1101,9.99227e-09,9.01036,211487
strong,2048,4194304,32,131072,BJ,0,4,3,1102,9.23498e-09,6.25698,211487
strong,2048,4194304,32,131072,AS1,1,4,3,1072,9.48762e-09,8.51073,211487
strong,2048,4194304,32,131072,AS2,2,4,3,1101,9.99227e-09,8.98677,211487
strong,2048,4194304,32,131072,BJ,0,4,4,1102,9.23498e-09,6.2655,211487
strong,2048,4194304,32,131072,AS1,1,4,4,1072,9.48762e-09,8.51467,211487
strong,2048,4194304,32,131072,AS2,2,4,4,1101,9.99227e-09,8.99122,211487
strong,2048,4194304,32,131072,BJ,0,4,5,1102,9.23498e-09,6.26618,211487
strong,2048,4194304,32,131072,AS1,1,4,5,1072,9.48762e-09,8.51607,211487
strong,2048,4194304,32,131072,AS2,2,4,5,1101,9.99227e-09,8.99204,211487
