scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,2896,8386816,128,65522,BJ,0,4,1,2135,9.62245e-09,7.7875,211497
weak,2896,8386816,128,65522,AS1,1,4,1,1900,9.50243e-09,10.3834,211497
weak,2896,8386816,128,65522,AS2,2,4,1,1909,9.94903e-09,11.7612,211497
weak,2896,8386816,128,65522,BJ,0,4,2,2135,9.62245e-09,7.84586,211497
weak,2896,8386816,128,65522,AS1,1,4,2,1900,9.50243e-09,10.4323,211497
weak,2896,8386816,128,65522,AS2,2,4,2,1909,9.94903e-09,11.2381,211497
weak,2896,8386816,128,65522,BJ,0,4,3,2135,9.62245e-09,7.84003,211497
weak,2896,8386816,128,65522,AS1,1,4,3,1900,9.50243e-09,10.5249,211497
weak,2896,8386816,128,65522,AS2,2,4,3,1909,9.94903e-09,11.2648,211497
weak,2896,8386816,128,65522,BJ,0,4,4,2135,9.62245e-09,7.72373,211497
weak,2896,8386816,128,65522,AS1,1,4,4,1900,9.50243e-09,10.5513,211497
weak,2896,8386816,128,65522,AS2,2,4,4,1909,9.94903e-09,11.2748,211497
weak,2896,8386816,128,65522,BJ,0,4,5,2135,9.62245e-09,7.77289,211497
weak,2896,8386816,128,65522,AS1,1,4,5,1900,9.50243e-09,10.3949,211497
weak,2896,8386816,128,65522,AS2,2,4,5,1909,9.94903e-09,11.2353,211497
