scaling,n,unknowns,processes,method,overlap,iterations,relative_residual,runtime,run_id,job_id
strong,512,262144,1,AS,1,201,9.4415e-09,2.76946,1,211483
strong,512,262144,1,AS,1,201,9.4415e-09,2.99524,2,211483
strong,512,262144,1,AS,1,201,9.4415e-09,2.82957,3,211483
strong,512,262144,1,AS,1,201,9.4415e-09,2.63944,4,211483
strong,512,262144,1,AS,1,201,9.4415e-09,2.96662,5,211483
strong,512,262144,1,AS,2,201,9.4415e-09,2.97185,1,211483
strong,512,262144,1,AS,2,201,9.4415e-09,2.76777,2,211483
strong,512,262144,1,AS,2,201,9.4415e-09,2.78219,3,211483
strong,512,262144,1,AS,2,201,9.4415e-09,2.95738,4,211483
strong,512,262144,1,AS,2,201,9.4415e-09,2.73036,5,211483
strong,512,262144,1,BJ,0,201,9.4415e-09,2.30897,1,211483
strong,512,262144,1,BJ,0,201,9.4415e-09,2.57429,2,211483
strong,512,262144,1,BJ,0,201,9.4415e-09,2.42256,3,211483
strong,512,262144,1,BJ,0,201,9.4415e-09,2.42139,4,211483
strong,512,262144,1,BJ,0,201,9.4415e-09,2.41884,5,211483
strong,512,262144,2,AS,1,310,8.5658e-09,2.40109,1,211484
strong,512,262144,2,AS,1,310,8.5658e-09,2.43802,2,211484
strong,512,262144,2,AS,1,310,8.5658e-09,2.53498,3,211484
strong,512,262144,2,AS,1,310,8.5658e-09,2.50801,4,211484
strong,512,262144,2,AS,1,310,8.5658e-09,2.47026,5,211484
strong,512,262144,2,AS,2,322,7.74869e-09,2.52601,1,211484
strong,512,262144,2,AS,2,322,7.74869e-09,2.50056,2,211484
strong,512,262144,2,AS,2,322,7.74869e-09,2.65064,3,211484
strong,512,262144,2,AS,2,322,7.74869e-09,2.52004,4,211484
strong,512,262144,2,AS,2,322,7.74869e-09,2.61114,5,211484
strong,512,262144,2,BJ,0,335,7.05933e-09,2.24523,1,211484
strong,512,262144,2,BJ,0,335,7.05933e-09,2.23046,2,211484
strong,512,262144,2,BJ,0,335,7.05933e-09,2.34622,3,211484
strong,512,262144,2,BJ,0,335,7.05933e-09,2.24568,4,211484
strong,512,262144,2,BJ,0,335,7.05933e-09,2.31016,5,211484
strong,512,262144,4,AS,1,288,8.47553e-09,1.20041,1,211478
strong,512,262144,4,AS,1,288,8.47553e-09,1.17053,2,211478
strong,512,262144,4,AS,1,288,8.47553e-09,1.2728,3,211478
strong,512,262144,4,AS,1,288,8.47553e-09,1.36216,4,211478
strong,512,262144,4,AS,1,288,8.47553e-09,1.05942,5,211478
strong,512,262144,4,AS,2,292,8.75927e-09,0.831752,1,211478
strong,512,262144,4,AS,2,292,8.75927e-09,1.25714,2,211478
strong,512,262144,4,AS,2,292,8.75927e-09,1.38795,3,211478
strong,512,262144,4,AS,2,292,8.75927e-09,1.33953,4,211478
strong,512,262144,4,AS,2,292,8.75927e-09,0.95063,5,211478
strong,512,262144,4,BJ,0,299,9.16747e-09,1.07681,1,211478
strong,512,262144,4,BJ,0,299,9.16747e-09,1.00232,2,211478
strong,512,262144,4,BJ,0,299,9.16747e-09,1.27886,3,211478
strong,512,262144,4,BJ,0,299,9.16747e-09,1.10265,4,211478
strong,512,262144,4,BJ,0,299,9.16747e-09,1.02795,5,211478
strong,512,262144,8,AS,1,281,9.59095e-09,0.370073,1,211485
strong,512,262144,8,AS,1,281,9.59095e-09,0.368934,2,211485
strong,512,262144,8,AS,1,281,9.59095e-09,0.369722,3,211485
strong,512,262144,8,AS,1,281,9.59095e-09,0.371185,4,211485
strong,512,262144,8,AS,1,281,9.59095e-09,0.369977,5,211485
strong,512,262144,8,AS,2,281,9.7634e-09,0.381799,1,211485
strong,512,262144,8,AS,2,281,9.7634e-09,0.381385,2,211485
strong,512,262144,8,AS,2,281,9.7634e-09,0.381871,3,211485
strong,512,262144,8,AS,2,281,9.7634e-09,0.380041,4,211485
strong,512,262144,8,AS,2,281,9.7634e-09,0.381391,5,211485
strong,512,262144,8,BJ,0,289,9.81919e-09,0.349969,1,211485
strong,512,262144,8,BJ,0,289,9.81919e-09,0.35054,2,211485
strong,512,262144,8,BJ,0,289,9.81919e-09,0.349186,3,211485
strong,512,262144,8,BJ,0,289,9.81919e-09,0.350115,4,211485
strong,512,262144,8,BJ,0,289,9.81919e-09,0.348858,5,211485
strong,512,262144,16,AS,1,291,8.90873e-09,0.201597,1,211486
strong,512,262144,16,AS,1,291,8.90873e-09,0.201555,2,211486
strong,512,262144,16,AS,1,291,8.90873e-09,0.201695,3,211486
strong,512,262144,16,AS,1,291,8.90873e-09,0.201214,4,211486
strong,512,262144,16,AS,1,291,8.90873e-09,0.201331,5,211486
