n,unknowns,processes,local_rows,local_unknowns,method,overlap,run_id,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time
512,262144,1,512,262144,BJ,0,1,201,9.4415e-09,3.69958,0.252568,0.000268689,3.08757,0.000224226,0.181605
512,262144,1,512,262144,AS1,1,1,201,9.4415e-09,3.21824,0.33025,0.00033122,2.60555,0.000341385,0.13601
512,262144,1,512,262144,AS2,2,1,201,9.4415e-09,4.35326,0.42951,0.000360037,3.52134,0.000299802,0.205035
512,262144,1,512,262144,BJ,0,2,201,9.4415e-09,3.53076,0.260108,0.000289766,2.89325,0.000277538,0.178291
512,262144,1,512,262144,AS1,1,2,201,9.4415e-09,3.04924,0.296773,0.000337042,2.46514,0.000337637,0.149167
512,262144,1,512,262144,AS2,2,2,201,9.4415e-09,3.22666,0.356707,0.000353467,2.58711,0.000355816,0.141852
512,262144,1,512,262144,BJ,0,3,201,9.4415e-09,2.48674,0.186235,0.000284624,2.00927,0.000241393,0.162462
512,262144,1,512,262144,AS1,1,3,201,9.4415e-09,2.86886,0.273911,0.000286349,2.33836,0.00025271,0.126486
512,262144,1,512,262144,AS2,2,3,201,9.4415e-09,3.15876,0.294804,0.000326542,2.54721,0.000301659,0.13822
1024,1048576,1,1024,1048576,BJ,0,1,383,9.32925e-09,24.2046,2.56477,0.00136933,18.7426,0.00116169,1.50097
1024,1048576,1,1024,1048576,AS1,1,1,383,9.32925e-09,27.1871,2.51673,0.00143298,21.6333,0.00127219,1.4944
1024,1048576,1,1024,1048576,AS2,2,1,383,9.32925e-09,26.1028,2.35376,0.00148818,20.6292,0.00124662,1.52315
1024,1048576,1,1024,1048576,BJ,0,2,383,9.32925e-09,23.0712,2.2232,0.00119818,18.3068,0.00107506,1.36854
1024,1048576,1,1024,1048576,AS1,1,2,383,9.32925e-09,25.921,2.34442,0.00148148,20.2829,0.00123873,1.66226
1024,1048576,1,1024,1048576,AS2,2,2,383,9.32925e-09,26.2738,2.37982,0.0124697,20.8649,0.00119368,1.46983
1024,1048576,1,1024,1048576,BJ,0,3,383,9.32925e-09,22.9772,2.28889,0.00127806,17.8857,0.00111861,1.45131
1024,1048576,1,1024,1048576,AS1,1,3,383,9.32925e-09,27.3973,2.49346,0.00149912,21.7552,0.00137839,1.55114
1024,1048576,1,1024,1048576,AS2,2,3,383,9.32925e-09,27.7695,2.41371,0.0014381,22.2167,0.0013585,1.5823
2048,4194304,1,2048,4194304,BJ,0,1,764,9.63899e-09,207.136,22.5554,0.00447366,153.738,0.00314805,15.1317
2048,4194304,1,2048,4194304,AS1,1,1,764,9.63899e-09,237.594,22.5248,0.00464241,184.085,0.00392922,15.1996
2048,4194304,1,2048,4194304,AS2,2,1,764,9.63899e-09,236.855,22.4635,0.0155383,183.518,0.00385734,15.3477
