scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,16,16384,BJ,0,4,1,309,9.99903e-09,0.192759,0.016029,0.00277434,0.155513,0.00680384,0.00792018,213292
strong,512,262144,16,16384,AS1,1,4,1,291,8.90873e-09,0.206975,0.0171924,0.00319885,0.170195,0.0111971,0.00739434,213292
strong,512,262144,16,16384,AS2,2,4,1,289,8.49987e-09,0.213944,0.0155011,0.00299578,0.179941,0.00878194,0.00741378,213292
strong,512,262144,16,16384,AS1,1,4,2,291,8.90873e-09,0.20461,0.0145054,0.00187705,0.170043,0.00801844,0.0071721,213292
strong,512,262144,16,16384,AS2,2,4,2,289,8.49987e-09,0.210965,0.0154747,0.00188463,0.178065,0.00583104,0.00698287,213292
strong,512,262144,16,16384,BJ,0,4,2,309,9.99903e-09,0.19302,0.0168952,0.00413742,0.155204,0.00718671,0.00949627,213292
strong,512,262144,16,16384,AS2,2,4,3,289,8.49987e-09,0.213784,0.0158582,0.00245372,0.178767,0.008085,0.00748481,213292
strong,512,262144,16,16384,BJ,0,4,3,309,9.99903e-09,0.193956,0.0167743,0.00359624,0.155635,0.00764102,0.00870723,213292
strong,512,262144,16,16384,AS1,1,4,3,291,8.90873e-09,0.204897,0.0157018,0.00196142,0.169455,0.0081521,0.00709194,213292
strong,2048,4194304,16,262144,BJ,0,4,1,1079,9.60647e-09,13.1525,1.82036,0.0814116,9.07401,0.280488,1.41235,213292
strong,2048,4194304,16,262144,AS1,1,4,1,1066,9.85555e-09,17.4158,2.13553,0.0995826,12.7659,0.535106,1.44782,213292
strong,2048,4194304,16,262144,AS2,2,4,1,1036,8.97052e-09,17.1382,2.1681,0.122529,12.537,0.889952,1.41872,213292
strong,2048,4194304,16,262144,AS1,1,4,2,1066,9.85555e-09,17.3357,2.16431,0.111166,12.6458,0.982684,1.47165,213292
strong,2048,4194304,16,262144,AS2,2,4,2,1036,8.97052e-09,16.9731,2.10337,0.578762,12.4225,1.06481,1.41781,213292
strong,2048,4194304,16,262144,BJ,0,4,2,1079,9.60647e-09,13.1352,1.82314,0.0888756,9.05658,0.264179,1.41028,213292
strong,2048,4194304,16,262144,AS2,2,4,3,1036,8.97052e-09,17.1553,2.0993,0.108734,12.5976,0.503382,1.43054,213292
strong,2048,4194304,16,262144,BJ,0,4,3,1079,9.60647e-09,13.1365,1.85095,0.0772054,9.06248,0.283493,1.43537,213292
strong,2048,4194304,16,262144,AS1,1,4,3,1066,9.85555e-09,17.4784,2.1756,0.133032,12.7772,0.497649,1.45879,213292
