scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
critical,2048,4194304,2,2097152,BJ,0,4,1,1215,9.36541e-09,130.603,12.7595,0.387102,99.382,2.8895,8.15125,213718
critical,2048,4194304,2,2097152,AS1,1,4,1,1150,9.92848e-09,143.422,11.9906,0.215026,114.3,0.561619,8.34198,213718
critical,2048,4194304,2,2097152,AS2,2,4,1,1112,9.81766e-09,137.878,11.7554,0.499695,109.724,0.624673,7.85497,213718
critical,2048,4194304,2,2097152,BJ,0,4,2,1215,9.36541e-09,129.069,12.4277,0.288641,94.6139,6.52273,8.25873,213718
critical,2048,4194304,2,2097152,AS1,1,4,2,1150,9.92848e-09,140.772,11.7912,0.316992,112.131,0.661862,8.05242,213718
critical,2048,4194304,2,2097152,AS2,2,4,2,1112,9.81766e-09,136.94,11.7065,0.562179,108.983,0.658029,7.7305,213718
critical,2048,4194304,2,2097152,BJ,0,4,3,1215,9.36541e-09,131.141,12.7097,0.519345,100.806,2.25777,8.03635,213718
critical,2048,4194304,2,2097152,AS1,1,4,3,1150,9.92848e-09,141.686,11.9604,0.38659,112.614,0.510624,8.33137,213718
critical,2048,4194304,2,2097152,AS2,2,4,3,1112,9.81766e-09,136.279,11.6282,0.481167,108.343,0.739698,7.77126,213718
critical,2048,4194304,2,2097152,BJ,0,4,4,1215,9.36541e-09,130.711,12.3807,0.299353,96.0299,6.49296,8.29771,213718
critical,2048,4194304,2,2097152,AS1,1,4,4,1150,9.92848e-09,141.543,12.1486,0.687971,112.561,0.668462,8.04801,213718
critical,2048,4194304,2,2097152,AS2,2,4,4,1112,9.81766e-09,137.294,11.6962,0.49925,109.23,0.82748,7.72542,213718
critical,2048,4194304,2,2097152,BJ,0,4,5,1215,9.36541e-09,131.951,12.5655,0.429044,97.3581,6.24202,8.28397,213718
critical,2048,4194304,2,2097152,AS1,1,4,5,1150,9.92848e-09,145.402,12.5753,0.77981,115.714,0.640251,8.21377,213718
critical,2048,4194304,2,2097152,AS2,2,4,5,1112,9.81766e-09,145.599,13.4875,1.19068,114.47,1.20643,8.10538,213718
