n,p,local_unknowns,method,iteration_reduction_pct,runtime_change_pct
256,1,65536,AS1,0.0,6.613846258926542
362,2,65522,AS1,5.439330543933054,9.98569072181259
512,1,262144,AS1,0.0,16.91315283569557
512,2,131072,AS1,7.462686567164179,8.565929116037882
512,4,65536,AS1,3.678929765886288,11.097853709910078
512,8,32768,AS1,2.7681660899653977,5.788577362884208
512,16,16384,AS1,5.825242718446602,5.634846983447886
512,32,8192,AS1,8.950617283950617,7.008802380576868
724,8,65884,AS1,1.7316017316017316,15.537945824249407
1024,1,1048576,AS1,0.0,15.902686602878338
1024,2,524288,AS1,1.5923566878980893,15.178781057886749
1024,4,262144,AS1,4.15944540727903,12.638195308984347
1024,8,131072,AS1,7.081174438687392,10.356888711992383
1024,16,65536,AS1,2.626970227670753,18.037633715315664
1024,32,32768,AS1,5.704697986577181,4.9573431287682785
1024,64,16384,AS1,10.849056603773585,0.23880313267407294
1448,32,66608,AS1,6.439024390243903,18.958780951912903
2048,1,4194304,AS1,0.0,14.14994643208536
2048,2,2097152,AS1,5.349794238683128,9.634045964342178
2048,4,1048576,AS1,6.719022687609075,6.882408086001729
2048,8,524288,AS1,3.963963963963964,17.496246767173414
2048,16,262144,AS1,1.2048192771084338,29.48246008934446
2048,32,131072,AS1,2.722323049001815,35.97712963578104
2048,64,65536,AS1,5.579773321708806,36.28061446134929
2048,128,32768,AS1,10.70559610705596,5.483546167869442
2896,128,66608,AS1,11.007025761124122,34.1718926938946
256,1,65536,AS2,0.0,7.203235006826907
362,2,65522,AS2,4.602510460251046,11.510513907787718
512,1,262144,AS2,0.0,16.98906228773964
512,2,131072,AS2,3.8805970149253732,12.574015073278995
512,4,65536,AS2,2.3411371237458196,9.016384239992815
512,8,32768,AS2,2.7681660899653977,9.02509796027606
512,16,16384,AS2,6.472491909385114,10.089707493800162
512,32,8192,AS2,9.25925925925926,16.58674218331619
724,8,65884,AS2,2.813852813852814,16.238297781387594
1024,1,1048576,AS2,0.0,16.193711634389434
1024,2,524288,AS2,7.165605095541402,8.064333380446055
1024,4,262144,AS2,-0.1733102253032929,14.07827678024038
1024,8,131072,AS2,1.2089810017271156,18.940366246726672
1024,16,65536,AS2,3.502626970227671,19.92791623324709
1024,32,32768,AS2,4.194630872483222,11.697901107005302
1024,64,16384,AS2,11.0062893081761,8.459176845255463
1448,32,66608,AS2,6.341463414634147,23.758122405476012
2048,1,4194304,AS2,0.0,14.649306289431925
2048,2,2097152,AS2,8.477366255144032,5.8379438436267375
2048,4,1048576,AS2,2.7050610820244327,12.619167210883418
2048,8,524288,AS2,0.36036036036036034,22.704009756302703
2048,16,262144,AS2,3.985171455050973,27.245039304636915
2048,32,131072,AS2,0.09074410163339383,43.71477010818739
2048,64,65536,AS2,3.8360941586748036,46.22684553243112
2048,128,32768,AS2,11.19221411192214,14.161961241788608
2896,128,66608,AS2,10.585480093676814,45.68690128639945
