n,p,local_unknowns,raw_fastest,raw_minimum_time,near_tie_methods,selected_method,selected_penalty_pct
256,1,65536,BJ,0.3016006,BJ,BJ,0.0
512,1,262144,BJ,2.42921,BJ,BJ,0.0
1024,1,1048576,BJ,19.05678,BJ,BJ,0.0
2048,1,4194304,BJ,164.6508,BJ,BJ,0.0
362,2,65522,BJ,0.8089856000000001,BJ,BJ,0.0
512,2,131072,BJ,2.27555,BJ,BJ,0.0
1024,2,524288,BJ,17.122059999999998,BJ,BJ,0.0
2048,2,2097152,BJ,139.717,BJ,BJ,0.0
512,4,65536,BJ,0.9085072,BJ,BJ,0.0
1024,4,262144,BJ,8.413274,BJ,BJ,0.0
2048,4,1048576,BJ,67.65074,BJ,BJ,0.0
512,8,32768,BJ,0.3497336,BJ,BJ,0.0
724,8,65884,BJ,1.122864,BJ,BJ,0.0
1024,8,131072,BJ,2.818974,BJ,BJ,0.0
2048,8,524288,BJ,23.7795,BJ,BJ,0.0
512,16,16384,BJ,0.190731,BJ,BJ,0.0
1024,16,65536,BJ,1.395876,BJ,BJ,0.0
2048,16,262144,BJ,11.5508,BJ,BJ,0.0
512,32,8192,BJ,0.1154006,BJ,BJ,0.0
1024,32,32768,BJ,0.8208994000000001,BJ,BJ,0.0
1448,32,66608,BJ,2.604524,BJ,BJ,0.0
2048,32,131072,BJ,6.261728,BJ,BJ,0.0
1024,64,16384,BJ,0.6354188,"BJ,AS1",BJ,0.0
2048,64,65536,BJ,4.21247,BJ,BJ,0.0
2048,128,32768,BJ,2.25449,BJ,BJ,0.0
2896,128,66608,BJ,7.794002000000001,BJ,BJ,0.0
