scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,32,8192,BJ,0,4,1,324,9.77187e-09,0.713537,0.222225,0.212941,0.135069,0.576051,0.00629147,212471
strong,512,262144,32,8192,AS1,1,4,1,295,7.55314e-09,0.180353,0.0213093,0.0125895,0.142203,0.0435152,0.0057459,212471
strong,512,262144,32,8192,AS2,2,4,1,294,8.03923e-09,0.172283,0.0130715,0.00319327,0.144146,0.0422985,0.00513937,212471
strong,512,262144,32,8192,BJ,0,4,2,324,9.77187e-09,0.254147,0.0553209,0.0460732,0.113849,0.12159,0.00582492,212471
strong,512,262144,32,8192,AS1,1,4,2,295,7.55314e-09,0.207135,0.0208908,0.0118634,0.145632,0.0757023,0.00576772,212471
strong,512,262144,32,8192,AS2,2,4,2,294,8.03923e-09,0.227892,0.0145243,0.00576811,0.19544,0.0983492,0.00569889,212471
strong,512,262144,32,8192,BJ,0,4,3,324,9.77187e-09,0.273498,0.0752095,0.0656722,0.146504,0.164908,0.00568224,212471
strong,512,262144,32,8192,AS1,1,4,3,295,7.55314e-09,0.157375,0.0116564,0.00294135,0.129222,0.0206081,0.00514263,212471
strong,512,262144,32,8192,AS2,2,4,3,294,8.03923e-09,0.184176,0.0131313,0.00326164,0.144859,0.0570148,0.00518841,212471
strong,512,262144,32,8192,BJ,0,4,4,324,9.77187e-09,0.756943,0.172221,0.163065,0.138394,0.619162,0.0160981,212471
strong,512,262144,32,8192,AS1,1,4,4,295,7.55314e-09,0.19761,0.0172326,0.00804805,0.160207,0.0758365,0.0052239,212471
strong,512,262144,32,8192,AS2,2,4,4,294,8.03923e-09,0.17211,0.0123159,0.00294239,0.144102,0.0212852,0.00537964,212471
strong,512,262144,32,8192,BJ,0,4,5,324,9.77187e-09,0.814192,0.17705,0.167823,0.138083,0.676334,0.00628812,212471
strong,512,262144,32,8192,AS1,1,4,5,295,7.55314e-09,0.164154,0.0129283,0.00297374,0.13488,0.0427188,0.00519658,212471
strong,512,262144,32,8192,AS2,2,4,5,294,8.03923e-09,0.459974,0.0724927,0.0651829,0.219188,0.298415,0.00569081,212471
strong,1024,1048576,32,32768,BJ,0,4,1,596,8.20908e-09,1.8645,0.205803,0.145324,0.845967,0.928494,0.0401383,212471
strong,1024,1048576,32,32768,AS1,1,4,1,562,8.79959e-09,1.61987,0.14348,0.0773046,1.07255,0.555694,0.0420417,212471
strong,1024,1048576,32,32768,AS2,2,4,1,571,9.77984e-09,1.40126,0.0876297,0.022248,1.11111,0.334428,0.0420416,212471
strong,1024,1048576,32,32768,BJ,0,4,2,596,8.20908e-09,1.62694,0.203109,0.138634,0.871987,0.703163,0.0412675,212471
strong,1024,1048576,32,32768,AS1,1,4,2,562,8.79959e-09,1.2792,0.0797055,0.0237784,0.930475,0.318229,0.0401187,212471
strong,1024,1048576,32,32768,AS2,2,4,2,571,9.77984e-09,1.35993,0.0922403,0.0261468,1.03751,0.264586,0.0405501,212471
strong,1024,1048576,32,32768,BJ,0,4,3,596,8.20908e-09,2.44576,0.312352,0.233212,0.85648,1.44913,0.0582273,212471
strong,1024,1048576,32,32768,AS1,1,4,3,562,8.79959e-09,1.48748,0.100405,0.0420314,1.04053,0.49275,0.0390171,212471
strong,1024,1048576,32,32768,AS2,2,4,3,571,9.77984e-09,1.17311,0.0793749,0.0136197,0.992257,0.267364,0.0390867,212471
strong,1024,1048576,32,32768,BJ,0,4,4,596,8.20908e-09,1.10685,0.122283,0.0489531,0.847992,0.287256,0.0402872,212471
strong,1024,1048576,32,32768,AS1,1,4,4,562,8.79959e-09,2.81742,0.334724,0.262195,1.25199,1.75615,0.0499478,212471
strong,1024,1048576,32,32768,AS2,2,4,4,571,9.77984e-09,1.93208,0.142588,0.0838266,1.25603,0.796566,0.0403691,212471
strong,1024,1048576,32,32768,BJ,0,4,5,596,8.20908e-09,1.0439,0.0858481,0.0176706,0.841486,0.249312,0.0412582,212471
strong,1024,1048576,32,32768,AS1,1,4,5,562,8.79959e-09,1.7033,0.138436,0.0738684,1.10597,0.641632,0.0450129,212471
strong,1024,1048576,32,32768,AS2,2,4,5,571,9.77984e-09,1.36494,0.10107,0.0200545,1.00613,0.301196,0.0402007,212471
strong,2048,4194304,32,131072,BJ,0,4,1,1102,9.235e-09,10.6146,0.807962,0.292295,6.13858,3.33548,0.450473,212471
strong,2048,4194304,32,131072,AS1,1,4,1,1072,9.48762e-09,14.7067,1.31762,0.542613,8.53765,5.5093,0.513733,212471
strong,2048,4194304,32,131072,AS2,2,4,1,1101,9.99226e-09,14.7877,1.25711,0.453982,8.77418,5.21458,0.532848,212471
strong,2048,4194304,32,131072,BJ,0,4,2,1102,9.235e-09,8.8619,0.690268,0.18289,6.16411,2.04384,0.433694,212471
strong,2048,4194304,32,131072,AS1,1,4,2,1072,9.48762e-09,10.8208,0.996454,0.268753,7.60975,2.94597,0.556604,212471
strong,2048,4194304,32,131072,AS2,2,4,2,1101,9.99226e-09,13.2779,1.08986,0.325772,8.18441,4.26961,0.54868,212471
strong,2048,4194304,32,131072,BJ,0,4,3,1102,9.235e-09,11.901,0.902476,0.375415,6.25622,4.56217,0.441685,212471
strong,2048,4194304,32,131072,AS1,1,4,3,1072,9.48762e-09,12.1124,1.06008,0.332469,7.61865,3.90588,0.538938,212471
strong,2048,4194304,32,131072,AS2,2,4,3,1101,9.99226e-09,11.8329,1.04966,0.297576,8.32949,3.78639,0.566628,212471
strong,2048,4194304,32,131072,BJ,0,4,4,1102,9.235e-09,9.79428,0.718302,0.25076,6.27032,3.1487,0.411197,212471
strong,2048,4194304,32,131072,AS1,1,4,4,1072,9.48762e-09,14.8016,1.28183,0.519778,8.4997,5.56873,0.503007,212471
strong,2048,4194304,32,131072,AS2,2,4,4,1101,9.99226e-09,12.5961,1.04495,0.271362,8.06073,3.65343,0.571809,212471
strong,2048,4194304,32,131072,BJ,0,4,5,1102,9.235e-09,11.4613,0.824462,0.335377,6.43175,3.96965,0.423296,212471
strong,2048,4194304,32,131072,AS1,1,4,5,1072,9.48762e-09,10.8095,0.989724,0.264104,7.61906,2.86969,0.546419,212471
strong,2048,4194304,32,131072,AS2,2,4,5,1101,9.99226e-09,14.3531,1.20158,0.423319,8.85941,4.78156,0.535039,212471
