scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,1448,2096704,32,66608,BJ,0,4,1,1025,9.50055e-09,6.07656,0.50273,0.267669,2.93831,2.70409,0.142069,212462
weak,1448,2096704,32,66608,AS1,1,4,1,959,9.15483e-09,6.19463,0.510941,0.193632,3.88057,2.25006,0.149509,212462
weak,1448,2096704,32,66608,AS2,2,4,1,960,9.97051e-09,6.95951,0.567695,0.21503,4.08345,2.87998,0.144876,212462
weak,1448,2096704,32,66608,BJ,0,4,2,1025,9.50055e-09,4.08275,0.348913,0.103667,2.89698,0.856692,0.142977,212462
weak,1448,2096704,32,66608,AS1,1,4,2,959,9.15483e-09,6.44261,0.556313,0.238487,3.87396,2.49886,0.144276,212462
weak,1448,2096704,32,66608,AS2,2,4,2,960,9.97051e-09,5.48006,0.42023,0.0972269,3.8206,1.37725,0.14547,212462
weak,1448,2096704,32,66608,BJ,0,4,3,1025,9.50055e-09,4.0508,0.344438,0.0963601,2.89807,0.757239,0.145122,212462
weak,1448,2096704,32,66608,AS1,1,4,3,959,9.15483e-09,4.59373,0.382431,0.0536442,3.57748,1.2574,0.141218,212462
weak,1448,2096704,32,66608,AS2,2,4,3,960,9.97051e-09,5.77783,0.39297,0.0693033,4.08361,1.85283,0.142834,212462
weak,1448,2096704,32,66608,BJ,0,4,4,1025,9.50055e-09,4.67776,0.370187,0.134337,2.90503,1.57948,0.142202,212462
weak,1448,2096704,32,66608,AS1,1,4,4,959,9.15483e-09,5.96075,0.521816,0.209285,3.50893,2.0262,0.142379,212462
weak,1448,2096704,32,66608,AS2,2,4,4,960,9.97051e-09,5.05354,0.376479,0.0694699,3.92912,1.37574,0.150139,212462
weak,1448,2096704,32,66608,BJ,0,4,5,1025,9.50055e-09,5.07894,0.410859,0.199502,2.97361,1.81675,0.145653,212462
weak,1448,2096704,32,66608,AS1,1,4,5,959,9.15483e-09,5.20629,0.399485,0.101308,3.45335,1.62494,0.147708,212462
weak,1448,2096704,32,66608,AS2,2,4,5,960,9.97051e-09,7.08389,0.611852,0.277796,4.20383,2.98077,0.159658,212462
