scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,2048,4194304,64,65536,BJ,0,4,1,1147,8.75946e-09,4.68222,0.293834,0.0335231,3.22894,0.813867,0.154512,216366
strong,2048,4194304,64,65536,AS1,1,4,1,1083,9.25241e-09,5.64236,0.580403,0.0222617,4.486,0.198347,0.194306,216366
strong,2048,4194304,64,65536,AS2,2,4,1,1103,9.39658e-09,6.08029,0.620063,0.017924,4.89697,0.159553,0.217083,216366
strong,2048,4194304,64,65536,BJ,0,4,2,1147,8.75946e-09,4.0617,0.271946,0.0175545,3.20439,0.23955,0.155171,216366
strong,2048,4194304,64,65536,AS1,1,4,2,1083,9.25241e-09,5.64055,0.594809,0.00919146,4.10425,0.550123,0.206734,216366
strong,2048,4194304,64,65536,AS2,2,4,2,1103,9.39658e-09,6.11209,0.600222,0.0317544,4.82711,0.282972,0.214945,216366
strong,2048,4194304,64,65536,BJ,0,4,3,1147,8.75946e-09,4.04742,0.270789,0.012213,3.21294,0.208247,0.167113,216366
strong,2048,4194304,64,65536,AS1,1,4,3,1083,9.25241e-09,5.60782,0.594314,0.00984121,4.05183,0.567316,0.209586,216366
strong,2048,4194304,64,65536,AS2,2,4,3,1103,9.39658e-09,6.18859,0.599755,0.0384414,4.93407,0.254829,0.213208,216366
strong,2048,4194304,64,65536,BJ,0,4,4,1147,8.75946e-09,4.03825,0.28324,0.0182471,3.20162,0.207919,0.154848,216366
strong,2048,4194304,64,65536,AS1,1,4,4,1083,9.25241e-09,5.62195,0.586113,0.0202843,4.52115,0.135903,0.195139,216366
strong,2048,4194304,64,65536,AS2,2,4,4,1103,9.39658e-09,6.08437,0.609971,0.0390912,4.92628,0.149764,0.21063,216366
strong,2048,4194304,64,65536,BJ,0,4,5,1147,8.75946e-09,4.04243,0.28011,0.0262424,3.19264,0.225028,0.154403,216366
strong,2048,4194304,64,65536,AS1,1,4,5,1083,9.25241e-09,5.62147,0.586228,0.0289897,4.4841,0.17284,0.194615,216366
strong,2048,4194304,64,65536,AS2,2,4,5,1103,9.39658e-09,6.08416,0.620716,0.0357966,4.94629,0.113893,0.215507,216366
