scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.715288,0.0470178,0.00209786,0.59642,0.00528392,0.0301632,216368
weak,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,0.806138,0.070805,0.00114143,0.666593,0.00302186,0.0295966,216368
weak,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.828273,0.0735795,0.00444462,0.687435,0.0034047,0.0283048,216368
weak,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.7151,0.0474049,0.00343019,0.596663,0.00460988,0.0300958,216368
weak,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,0.814923,0.0711509,0.00109722,0.675202,0.0032914,0.0296332,216368
weak,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.827433,0.070426,0.00116972,0.684566,0.00557588,0.0305744,216368
weak,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.714205,0.0460302,0.000979771,0.597208,0.00321126,0.0315243,216368
weak,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.80588,0.0707039,0.00114838,0.665658,0.00424609,0.0296345,216368
weak,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.828955,0.0713206,0.00105416,0.686186,0.00557618,0.0298187,216368
weak,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.714696,0.0482178,0.00276922,0.59628,0.00435689,0.0294616,216368
weak,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,0.806735,0.0712393,0.0011749,0.664816,0.00522389,0.02983,216368
weak,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,0.829463,0.0737003,0.00509635,0.686678,0.00560345,0.0278666,216368
weak,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,0.714994,0.0468957,0.00230177,0.595775,0.00681507,0.0291249,216368
weak,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,0.80553,0.0711683,0.00114423,0.665229,0.00370803,0.0295851,216368
weak,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.82869,0.0741452,0.00550019,0.685607,0.00507102,0.0282505,216368
