grid_size,processes,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
1024,16,BJ,0,1,1,974,9.65795e-09,0.926872,0.171482,0.00435987,0.50783,0.0214169,0.110246,219192
1024,16,BJ,0,1,2,974,9.65795e-09,0.925559,0.166541,0.00421415,0.508288,0.0318318,0.102669,219192
1024,16,BJ,0,1,3,974,9.65795e-09,0.92678,0.170792,0.00929094,0.507004,0.0344238,0.0989122,219192
1024,16,BJ,0,1,4,974,9.65795e-09,0.92251,0.166837,0.00404132,0.507802,0.0301266,0.101988,219192
1024,16,BJ,0,1,5,974,9.65795e-09,0.922298,0.168789,0.00742311,0.507862,0.0276523,0.101959,219192
1024,16,BJ,0,1,6,974,9.65795e-09,0.92692,0.168115,0.00420077,0.504713,0.0346966,0.103086,219192
1024,16,BJ,0,1,7,974,9.65795e-09,0.927487,0.177384,0.00417021,0.508067,0.0219604,0.104277,219192
1024,16,BJ,0,1,8,974,9.65795e-09,0.926189,0.173252,0.0079909,0.509705,0.0235653,0.103321,219192
1024,16,BJ,0,1,9,974,9.65795e-09,0.932692,0.169238,0.00457927,0.507734,0.038141,0.101858,219192
1024,16,BJ,0,1,10,974,9.65795e-09,0.931139,0.170394,0.00793415,0.506852,0.0379734,0.0999943,219192
1024,16,AS1,1,1,1,1098,9.80756e-09,1.62806,0.290887,0.00504296,1.02364,0.0644554,0.1158,219192
1024,16,AS1,1,1,2,1098,9.80756e-09,1.62748,0.293195,0.0142532,1.02904,0.062195,0.111745,219192
1024,16,AS1,1,1,3,1098,9.80756e-09,1.63576,0.304766,0.00465244,1.00048,0.0807166,0.116687,219192
1024,16,AS1,1,1,4,1098,9.80756e-09,1.63334,0.291346,0.0117048,1.03445,0.0648037,0.111577,219192
1024,16,AS1,1,1,5,1098,9.80756e-09,1.62131,0.300002,0.00485874,1.01322,0.0549326,0.118805,219192
1024,16,AS1,1,1,6,1098,9.80756e-09,1.62705,0.297091,0.015423,1.03227,0.0513112,0.114968,219192
1024,16,AS1,1,1,7,1098,9.80756e-09,1.62227,0.301581,0.0143722,1.03394,0.0400406,0.114322,219192
1024,16,AS1,1,1,8,1098,9.80756e-09,1.62453,0.298912,0.00969247,1.04195,0.0303474,0.118048,219192
1024,16,AS1,1,1,9,1098,9.80756e-09,1.62805,0.296013,0.00543053,1.00854,0.0737212,0.116655,219192
1024,16,AS1,1,1,10,1098,9.80756e-09,1.62487,0.293293,0.00991194,1.04338,0.034223,0.119202,219192
1024,16,AS2,2,1,1,1186,9.84749e-09,1.78636,0.319322,0.0104158,1.15384,0.0472578,0.122886,219192
1024,16,AS2,2,1,2,1186,9.84749e-09,1.79159,0.330632,0.0121908,1.1631,0.0331933,0.123137,219192
1024,16,AS2,2,1,3,1186,9.84749e-09,1.7976,0.310012,0.0133436,1.15661,0.0685782,0.120768,219192
1024,16,AS2,2,1,4,1186,9.84749e-09,1.78921,0.317761,0.00511726,1.1182,0.0842016,0.125929,219192
1024,16,AS2,2,1,5,1186,9.84749e-09,1.7979,0.320955,0.0112996,1.1727,0.0330582,0.12564,219192
1024,16,AS2,2,1,6,1186,9.84749e-09,1.79546,0.31963,0.0119933,1.15521,0.0526717,0.12534,219192
1024,16,AS2,2,1,7,1186,9.84749e-09,1.78859,0.318371,0.0133471,1.15255,0.050004,0.126705,219192
1024,16,AS2,2,1,8,1186,9.84749e-09,1.79458,0.308495,0.00514991,1.11187,0.101471,0.129211,219192
1024,16,AS2,2,1,9,1186,9.84749e-09,1.79782,0.310624,0.00781881,1.16344,0.0583587,0.123636,219192
1024,16,AS2,2,1,10,1186,9.84749e-09,1.79427,0.319007,0.0138412,1.16345,0.0469907,0.12223,219192
1024,16,BJ,0,2,1,750,9.57462e-09,1.09993,0.127314,0.00352087,0.77005,0.0320241,0.0811483,219192
1024,16,BJ,0,2,2,750,9.57462e-09,1.10178,0.136923,0.00337724,0.769686,0.0242824,0.0813175,219192
1024,16,BJ,0,2,3,750,9.57462e-09,1.10234,0.131083,0.00723138,0.771539,0.0318356,0.0785337,219192
1024,16,BJ,0,2,4,750,9.57462e-09,1.10146,0.129554,0.0063905,0.771575,0.0298351,0.0801595,219192
1024,16,BJ,0,2,5,750,9.57462e-09,1.09949,0.133211,0.00591212,0.768885,0.0317658,0.0764627,219192
1024,16,BJ,0,2,6,750,9.57462e-09,1.10756,0.129145,0.00434236,0.770041,0.0387914,0.0803475,219192
1024,16,BJ,0,2,7,750,9.57462e-09,1.10397,0.127564,0.00286521,0.769637,0.0366956,0.0807191,219192
1024,16,BJ,0,2,8,750,9.57462e-09,1.10119,0.1366,0.00475792,0.768634,0.029065,0.077926,219192
1024,16,BJ,0,2,9,750,9.57462e-09,1.10305,0.130624,0.0063162,0.771676,0.0347798,0.0766263,219192
1024,16,BJ,0,2,10,750,9.57462e-09,1.10023,0.129114,0.00316661,0.769536,0.0309568,0.0798535,219192
1024,16,AS1,1,2,1,773,9.82823e-09,1.54645,0.206667,0.00979657,1.12894,0.0375883,0.0806073,219192
1024,16,AS1,1,2,2,773,9.82823e-09,1.54445,0.202747,0.00331701,1.09848,0.0654443,0.0838431,219192
1024,16,AS1,1,2,3,773,9.82823e-09,1.54861,0.204105,0.00933605,1.12497,0.0443367,0.0828525,219192
1024,16,AS1,1,2,4,773,9.82823e-09,1.54231,0.202817,0.00841521,1.11832,0.0494185,0.0794191,219192
1024,16,AS1,1,2,5,773,9.82823e-09,1.54709,0.205769,0.00341354,1.11003,0.0520786,0.0854256,219192
1024,16,AS1,1,2,6,773,9.82823e-09,1.54668,0.211251,0.0037061,1.09791,0.0600395,0.0834329,219192
1024,16,AS1,1,2,7,773,9.82823e-09,1.54827,0.212096,0.00346461,1.10086,0.0571935,0.0843156,219192
1024,16,AS1,1,2,8,773,9.82823e-09,1.54642,0.206542,0.0132958,1.11864,0.0504363,0.0785997,219192
1024,16,AS1,1,2,9,773,9.82823e-09,1.54822,0.203742,0.00360044,1.09681,0.0716302,0.0823042,219192
1024,16,AS1,1,2,10,773,9.82823e-09,1.54999,0.207305,0.00665784,1.12013,0.0503918,0.0799869,219192
1024,16,AS2,2,2,1,805,9.73055e-09,1.64622,0.218953,0.00828275,1.21528,0.0288585,0.085003,219192
1024,16,AS2,2,2,2,805,9.73055e-09,1.64284,0.218305,0.00817068,1.2072,0.0343384,0.0846551,219192
1024,16,AS2,2,2,3,805,9.73055e-09,1.64403,0.212615,0.00389575,1.16926,0.0772303,0.0873058,219192
1024,16,AS2,2,2,4,805,9.73055e-09,1.64375,0.213358,0.00560588,1.17513,0.0760645,0.082914,219192
1024,16,AS2,2,2,5,805,9.73055e-09,1.64416,0.226127,0.0123844,1.21031,0.0292646,0.0823792,219192
1024,16,AS2,2,2,6,805,9.73055e-09,1.64507,0.211784,0.00383766,1.18456,0.0657051,0.0854664,219192
1024,16,AS2,2,2,7,805,9.73055e-09,1.64085,0.218395,0.00971835,1.20776,0.034391,0.0840109,219192
1024,16,AS2,2,2,8,805,9.73055e-09,1.64626,0.219747,0.00979188,1.21017,0.0379295,0.0822868,219192
1024,16,AS2,2,2,9,805,9.73055e-09,1.64764,0.213323,0.00813109,1.20989,0.0455408,0.0820869,219192
1024,16,AS2,2,2,10,805,9.73055e-09,1.6466,0.211314,0.00731086,1.20355,0.0514599,0.0843139,219192
1024,16,BJ,0,4,1,571,9.18973e-09,1.40877,0.101124,0.00253647,1.15422,0.0231489,0.0620188,219192
1024,16,BJ,0,4,2,571,9.18973e-09,1.40495,0.100902,0.00420177,1.15686,0.0194809,0.0591928,219192
1024,16,BJ,0,4,3,571,9.18973e-09,1.40247,0.101417,0.00612723,1.15626,0.0145769,0.0610056,219192
1024,16,BJ,0,4,4,571,9.18973e-09,1.40443,0.100596,0.00491731,1.1546,0.0206009,0.0603132,219192
1024,16,BJ,0,4,5,571,9.18973e-09,1.41053,0.097345,0.00263944,1.15641,0.0275752,0.0608071,219192
1024,16,BJ,0,4,6,571,9.18973e-09,1.40559,0.101559,0.00276448,1.15498,0.0192059,0.0615139,219192
1024,16,BJ,0,4,7,571,9.18973e-09,1.40458,0.103192,0.00458901,1.15452,0.0198558,0.0587645,219192
1024,16,BJ,0,4,8,571,9.18973e-09,1.40246,0.0995576,0.00387963,1.1561,0.0181245,0.0601841,219192
1024,16,BJ,0,4,9,571,9.18973e-09,1.40594,0.102885,0.00419376,1.15487,0.0192891,0.0606621,219192
1024,16,BJ,0,4,10,571,9.18973e-09,1.4032,0.101885,0.00574258,1.15585,0.0154108,0.0609742,219192
1024,16,AS1,1,4,1,556,9.88594e-09,1.67964,0.149168,0.00257846,1.36379,0.0380466,0.0609563,219192
1024,16,AS1,1,4,2,556,9.88594e-09,1.68649,0.151498,0.002401,1.37004,0.0384531,0.0586728,219192
1024,16,AS1,1,4,3,556,9.88594e-09,1.6806,0.146321,0.00420553,1.37366,0.0361655,0.0575219,219192
1024,16,AS1,1,4,4,556,9.88594e-09,1.68225,0.153982,0.00262323,1.36565,0.0360131,0.0588708,219192
1024,16,AS1,1,4,5,556,9.88594e-09,1.68166,0.146982,0.00459003,1.38514,0.0251952,0.0575657,219192
1024,16,AS1,1,4,6,556,9.88594e-09,1.67923,0.145976,0.00248511,1.36408,0.0411945,0.0601024,219192
1024,16,AS1,1,4,7,556,9.88594e-09,1.67969,0.149574,0.00948026,1.36533,0.0409637,0.0570905,219192
1024,16,AS1,1,4,8,556,9.88594e-09,1.68057,0.15015,0.00363887,1.35836,0.0454733,0.058786,219192
1024,16,AS1,1,4,9,556,9.88594e-09,1.68333,0.156087,0.00262569,1.36617,0.0346423,0.0586102,219192
1024,16,AS1,1,4,10,556,9.88594e-09,1.68227,0.151479,0.00266606,1.36781,0.0353581,0.0599706,219192
1024,16,AS2,2,4,1,551,9.87306e-09,1.70656,0.146624,0.00612056,1.41072,0.0262385,0.0564493,219192
