method,sgs_sweeps,iterations,total_mean,total_sd,prec_mean,prec_sd,spmv_mean,reduction_mean,vector_mean,total_cv_pct,prec_cv_pct,iter_change_vs_q1_pct,runtime_change_vs_q1_pct,prec_change_vs_q1_pct
AS1,1,1098,1.627272,0.004522034448736013,1.026091,0.01439291758701716,0.2967086,0.05567467,0.11578089999999999,0.27789050931473125,1.4026940677792865,0.0,0.0,0.0
AS1,2,773,1.5468490000000001,0.002202359593203931,1.111509,0.01221537141837651,0.20630410000000002,0.053855770000000004,0.08207869,0.14237715466758105,1.0989898793780806,-29.599271402550087,-4.942197739529708,8.324602788641556
AS1,4,556,1.6815729999999998,0.0021842926645586104,1.368003,0.007242108425344438,0.1501217,0.037150539999999996,0.05881472,0.12989579783682365,0.5293927297925837,-49.36247723132969,3.3369344522611977,33.32180089290326
AS1,8,400,2.040488,0.0016049769814896588,1.810859,0.007242446563297677,0.11114949999999998,0.02556014,0.04305627,0.07865652635495327,0.3999453609197446,-63.57012750455373,25.39317336007747,76.48132573036892
AS2,1,1186,1.7933379999999999,0.004180786209953119,1.151097,0.019982278843459742,0.3174809,0.05757852,0.1245482,0.23312873590773847,1.7359335350070189,0.0,0.0,0.0
AS2,2,805,1.6447420000000001,0.0020287368812473765,1.199311,0.016542156550260728,0.21639210000000003,0.04807826,0.0840422,0.12334681556422687,1.3793049968073943,-32.1247892074199,-8.286000742748978,4.1885262493082775
AS2,4,551,1.7080549999999999,0.002217838036366827,1.404673,0.012457637594842945,0.1488526,0.03035128,0.057384330000000004,0.12984582091131883,0.8868710080454985,-53.541315345699836,-4.755545245793035,22.029073136321276
AS2,8,396,2.0716740000000002,0.0015512446615540305,1.851343,0.008415571611932042,0.11071500000000001,0.01886146,0.041708220000000004,0.07487880146944115,0.4545657726273328,-66.61045531197301,15.52055440747926,60.83292719901101
BJ,1,974,0.9268446000000001,0.003242086989031071,0.5075857,0.0012714910800578486,0.1702824,0.03017881,0.10283105,0.34979833609982414,0.25049781348407735,0.0,0.0,0.0
BJ,2,750,1.1021,0.002371745723676456,0.7701259,0.0011084842954833863,0.13111319999999999,0.032003159999999996,0.07930941,0.21520240664880283,0.14393546503024848,-22.997946611909647,18.908822471426156,51.723324750874575
BJ,4,571,1.405292,0.0026197786166009757,1.155467,0.0009311289444062335,0.10104626000000001,0.01972689,0.06054363,0.18642236749380028,0.08058464191588625,-41.375770020533885,51.62110239407984,127.6397857544056
BJ,8,437,1.9635179999999999,0.003068154711440329,1.764366,0.002852765519826411,0.07766566999999999,0.02069809,0.04774568,0.1562580384514086,0.1616878538708188,-55.13347022587269,111.8497534538152,247.59962701864927
