scaling,grid_size,processes,method,runs,mean_iterations,iteration_values,max_relative_residual,mean_total_time,std_total_time,cv_pct
strong,512,1,CG,5,941.0,1,9.84818e-09,1.339762,0.0037718059335017963,0.28152805748347814
strong,512,1,BJ,5,201.0,1,9.4415e-09,1.918006,0.0011134091790532047,0.058050349115341904
strong,512,1,AS1,5,201.0,1,9.4415e-09,3.0694000000000004,0.1439411067068752,4.68955192242377
strong,512,1,AS2,5,201.0,1,9.4415e-09,2.2427319999999997,0.0026026563353620993,0.11604847727513137
strong,512,2,CG,5,941.0,1,9.84818e-09,0.6866194,0.006822723451818951,0.9936689018427023
strong,512,2,BJ,5,335.0,1,7.05933e-09,2.2805779999999998,0.012711021595450202,0.5573596516080662
strong,512,2,AS1,5,310.0,1,8.5658e-09,2.4771840000000003,0.05000696581477433,2.0187021155785896
strong,512,2,AS2,5,322.0,1,7.74869e-09,2.61156,0.03995826572813193,1.5300535208125385
strong,512,4,CG,5,941.0,1,9.84818e-09,0.3257474,0.0032035441779379296,0.9834442816544137
strong,512,4,BJ,5,299.0,1,9.16747e-09,0.7144162000000001,0.0006960400132176351,0.09742780373928181
strong,512,4,AS1,5,288.0,1,8.47553e-09,0.8070798,0.0009090999395005981,0.11264065083782275
strong,512,4,AS2,5,292.0,1,8.75927e-09,0.82897,0.0011287087755483462,0.13615797622933837
strong,512,8,CG,5,941.0,1,9.84818e-09,0.1695638,0.0012903110865213911,0.7609590528882881
strong,512,8,BJ,5,289.0,1,9.81919e-09,0.3487482,0.0007150169228766596,0.2050238317722241
strong,512,8,AS1,5,281.0,1,9.59095e-09,0.3715984,0.0014608765519372104,0.3931331652496917
strong,512,8,AS2,5,281.0,1,9.7634e-09,0.3813854,0.0008010719693011376,0.21004264172176954
strong,512,16,CG,5,941.0,1,9.84818e-09,0.09099402,0.00102002280954889,1.1209778505762136
strong,512,16,BJ,5,309.0,1,9.99903e-09,0.19195020000000002,0.0010251269189714984,0.5340587917967777
strong,512,16,AS1,5,291.0,1,8.90873e-09,0.2014622,0.0002481555963503612,0.12317724930550802
strong,512,16,AS2,5,289.0,1,8.49987e-09,0.21067719999999998,0.0005091067667984779,0.241652521866855
strong,512,32,CG,5,941.0,1,9.84818e-09,0.05319406,0.0004724595464164128,0.8881810232503644
strong,512,32,BJ,5,324.0,1,9.77187e-09,0.1090916,0.0009066709987641616,0.8311098185049643
strong,512,32,AS1,5,295.0,1,7.55314e-09,0.1157866,0.0005217775388036593,0.4506372402364862
strong,512,32,AS2,7,294.0,1,8.03923e-09,0.13325499999999998,0.01765357432174384,13.247963920110948
