grid_size,method,p_max,k_1,k_pmax,T_1,T_pmax,speedup,efficiency_pct
512,CG,32,941,941,1.339762,0.05319406,25.18630839608783,78.70721373777447
512,BJ,32,201,324,1.918006,0.1090916,17.581610316467998,54.94253223896249
512,AS1,32,201,295,3.0694000000000004,0.1157866,26.509112453427257,82.84097641696017
512,AS2,32,201,294,2.2427319999999997,0.13325499999999998,16.830377846985105,52.59493077182845
1024,CG,64,1898,1898,10.820920000000001,0.2806564,38.55575714646095,60.24337054134523
1024,BJ,64,383,636,23.06232,0.583699,39.5106381885184,61.73537216956
1024,AS1,64,383,567,26.980520000000002,0.6074724,44.41439644006872,69.39749443760738
1024,AS2,64,383,566,26.98114,0.7012617999999999,38.47513154145856,60.117393033529
2048,CG,128,3826,3826,156.103,1.105608,141.19199571638413,110.3062466534251
2048,BJ,128,764,1233,208.33859999999999,2.267382,91.88509038177068,71.78522686075834
2048,AS1,128,764,1101,239.8098,2.358342,101.68576058943106,79.442000460493
2048,AS2,128,764,1095,240.78119999999998,2.568028,93.76112721512382,73.25088063681548
